,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,kidney,prefrontal cortex,female gonad,placenta,cerebellum,frontal cortex,Ammon's horn,embryonic stem cell,fibroblast,thymus,zone of skin,cerebral cortex,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland
0,"5_1,11_0,11_1,11_3,15_1",0.18602934443165406,0.4696842586980771,0.24448146857981257,0.2959249389080162,0.18335838557878453,0.18524058202088883,0.2799241790033595,0.26370516480414713,0.312191307725855,bos_taurus,,0.3249184099191615,,,,,,,,,,,,,,,,,,,,,,,
1,"5_1,11_0,11_3,15_1",0.258816415267536,0.3938827594210716,0.3063804475121672,0.40095880349200586,0.2542308576616915,0.312590294625802,0.4829784662563377,0.4412233766931639,0.2644752672723485,bos_taurus,,0.24632633221448094,,,,,,,,,,,,,,,,,,,,,,,
2,"5_1,11_0,15_1",0.392794961873272,0.13643298188085132,0.44913808390802024,0.30311625759997796,0.3916685327715693,0.3476293972065628,0.23709735474030286,0.29507145850268884,0.23366203161041565,bos_taurus,,0.21159666593315002,,,,,,,,,,,,,,,,,,,,,,,
3,"5_1,11_0,11_1,15_1",0.16235927842753786,,,,0.1707422239879547,0.15453972614674646,,,0.18967139339138078,bos_taurus,,0.2171585919332076,,,,,,,,,,,,,,,,,,,,,,,
4,"5_1,11_0,11_1,11_3,15_1",0.26126632067417427,,,0.2633422522751254,0.22448181383512367,,,,0.4647228989837055,gorilla_gorilla,,0.3258505066151414,,,0.33333333333333337,0.2493702770780856,,,,,,,,,,,,,,,,,,,
5,"5_1,11_0,11_3,15_1",0.3289763893192239,,,0.39583947840665784,0.23131157449397535,,,,0.29390955612108466,gorilla_gorilla,,0.2699611973894868,,,0.3596710726370228,0.2518891687657431,,,,,,,,,,,,,,,,,,,
6,"5_1,11_0,15_1",0.4097572900066017,,,0.3408182693182166,0.3499714065767501,,,,0.24136754489520992,gorilla_gorilla,,0.20151412772833854,,,0.30699559402964394,0.28715365239294716,,,,,,,,,,,,,,,,,,,
7,"5_1,11_0,11_1,15_1",,,,,0.194235205094151,,,,,gorilla_gorilla,,0.20267416826703322,,,,0.2115869017632242,,,,,,,,,,,,,,,,,,,
8,"5_1,11_0,11_1,11_3,15_1",0.23637487655032965,0.3048209478137361,0.1428829546280697,0.24148061169448926,0.192666346073285,0.21316221628087503,,,0.3289974151025688,homo_sapiens,0.2698349238583725,0.31566272982912885,0.23380350214039422,0.22871717362562816,0.31211228724873885,0.7238458832128496,,,,,,,0.18243799664341848,0.21356695374701576,0.2733152122907437,0.2487722623496677,0.25198080797229777,,,0.2008735754657706,0.20304092774939422,,0.24327408594324101,0.17985230652135034,0.23293079387915636
9,"5_1,11_0,11_1,15_1",0.20343201079876266,0.22703393963272012,0.18874362486008386,0.21156990366848957,0.21204817782516852,0.2058769052160111,,,0.25361455414522915,homo_sapiens,0.21873966565295302,0.259449018818252,0.22888930719048525,0.2153433800682098,,,,,,,,,0.1562845643959572,0.14450301458622442,0.22331691587668487,,0.20490920575455207,,0.24840175893573319,0.23768995342869625,0.22324509636313725,,0.21463033319587127,0.15902020586475585,0.17730916118525805
