TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						danio_rerio	2	SRP044781																																			2.002745483673749e-08																										
						danio_rerio	2	SRP022612																																																													3.53408103414562e-08
						danio_rerio	36	GSE39703																			2.291479513347337e-07								1.0145877425625646e-07																																		
						danio_rerio	36	GSE42846																			5.077935721884494e-07																																										
						danio_rerio	36	GSE63191																											2.488234422622205e-08																																		
						danio_rerio	36	SRP022612																																																													6.979120815914752e-08
						danio_rerio	36	SRP044781											2.5549490986433398e-08	1.0748876366209059e-07							2.2997047576312932e-07										8.177225465437043e-08		1.0955364132389003e-06	1.0147487386990287e-07			5.10700098336806e-06																						2.8298841689226646e-07				
						danio_rerio	36	GSE63133																												5.63110084023345e-08																									3.1917258550061714e-07								
						danio_rerio	36	GSE68666																			2.607930933424882e-07																																										
						danio_rerio	37	GSE39703																			5.162199837363464e-07								2.0291754851251292e-07																												3.7041643233968814e-07						
						danio_rerio	37	GSE42846																			4.411765611546245e-07																																										
						danio_rerio	37	GSE63191																											3.997437796280226e-08																																		
						danio_rerio	37	SRP044781											1.0219796394573359e-07	1.0748876366209059e-07							2.9268969642580094e-07			1.5630297205412273e-07							9.812670558524452e-08		1.8704280226030003e-06	7.610615540242715e-08			7.990954479858259e-06									9.56619017579692e-08													2.612200771313229e-07				
						danio_rerio	37	GSE63133																																																					6.383451710012343e-07								
						danio_rerio	37	GSE68666																			4.5011753349100706e-07																																										
						danio_rerio	32	GSE39703																			3.194550361910097e-07																																										
						danio_rerio	32	GSE42846																			3.1913138857824057e-07																																										
						danio_rerio	32	GSE63191																											2.488234422622205e-08																																		
						danio_rerio	32	SRP022612																																																													3.1806729307310574e-07
						danio_rerio	32	SRP044781											5.1098981972866796e-08	7.165917577472706e-08							3.345025102009154e-07			5.2100990684707574e-08							3.270890186174817e-08		1.1756976142076002e-06	2.5368718467475717e-08			5.74787953814366e-06									3.188730058598974e-08													2.1768339760943575e-07				
						danio_rerio	32	GSE63133																																																					3.7236801641738665e-07								
						danio_rerio	32	GSE68666																			6.319049328324424e-07																																										
						danio_rerio	38	GSE39703																			4.805846019776689e-07								2.0291754851251292e-07																												6.482287565944543e-07						
						danio_rerio	38	GSE42846																			7.501413945163905e-07																																										
						danio_rerio	38	GSE63191																											4.2759969770051384e-08																																		
						danio_rerio	38	SRP022612																																																													4.992974884337736e-07
						danio_rerio	38	SRP044781											1.149727094389503e-07	1.4331835154945412e-07							3.97221730863587e-07			1.5630297205412273e-07							6.541780372349634e-08		1.1756976142076002e-06	2.5368718467475717e-08			7.029636647694859e-06																						1.0884169880471787e-07				
						danio_rerio	38	GSE71681																					7.227019658396848e-08																																								
						danio_rerio	38	GSE63133																																																					3.1917258550061714e-07								
						danio_rerio	38	GSE68666																			2.408517606624538e-06																																										
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	43	GSE39703																			2.759679037835566e-07								2.0291754851251292e-07																												4.6302054042461023e-07						
						danio_rerio	43	GSE42846																			7.741526523522219e-07																																										
						danio_rerio	43	GSE63191																											7.41461345574783e-08																																		
						danio_rerio	43	SRP022612																																																													5.8837445097597584e-08
						danio_rerio	43	SRP044781											6.38737274660835e-08	1.7914793943681764e-07							2.5087688265068653e-07			5.2100990684707574e-08							3.270890186174817e-08		7.214508087183002e-07	2.5368718467475717e-08			5.527577534939547e-06									3.188730058598974e-08													2.612200771313229e-07				
						danio_rerio	43	GSE71681																					1.1123209867681262e-07																																								
						danio_rerio	43	GSE63133																												5.63110084023345e-08																									4.255634473341562e-07								
						danio_rerio	43	GSE68666																			2.053460517936343e-06																																										
						danio_rerio	36	GSE39703																			3.269221558928575e-07																																				7.408328646793763e-07						
						danio_rerio	36	GSE42846																			1.1854094985420374e-06																																										
						danio_rerio	36	GSE63191																											1.397286940053227e-07																																		
						danio_rerio	36	SRP022612																																																													8.23522673411537e-08
						danio_rerio	36	SRP044781											1.0219796394573359e-07	1.4331835154945412e-07							5.226601721889303e-07			5.2100990684707574e-08									1.0420956125931002e-06	2.5368718467475717e-08			6.408785547755997e-06																						2.3945173737037934e-07				
						danio_rerio	36	GSE63133																												5.63110084023345e-08																									3.1917258550061714e-07								
						danio_rerio	36	GSE68666																			1.360057321834616e-06																																										
						danio_rerio	41	GSE39703																			4.3855878545365355e-07																																				4.6302054042461023e-07						
						danio_rerio	41	GSE42846																			1.1236042026498019e-06																																										
						danio_rerio	41	GSE63191																											1.2633965570419683e-07																																		
						danio_rerio	41	SRP022612																																																													1.0659721131507414e-07
						danio_rerio	41	SRP044781											8.94232184525169e-08	7.165917577472706e-08							8.362562755022885e-07			5.2100990684707574e-08							1.3083560744699268e-07		1.2024180145305002e-06	2.5368718467475717e-08			7.65048774763372e-06									3.188730058598974e-08													4.1359845545792793e-07				
						danio_rerio	41	GSE63133																																																					4.255634473341562e-07								
						danio_rerio	41	GSE68666																			2.421864966959879e-07																																										
						danio_rerio	1	SRP022612																																																													5.262935743449145e-08
						danio_rerio	2	GSE68666																			4.7282289798402935e-08																																										
						danio_rerio	1	SRP044781																																																									1.6543938218317117e-06				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	2	SRP044781																																2.5368718467475717e-08																									4.353667952188715e-08				
						danio_rerio	5	SRP044781																						5.2100990684707574e-08										2.5368718467475717e-08							8.919209046325614e-08																		1.9156138989630347e-06				
						danio_rerio	5	SRP022612																																																													4.731798580772724e-08
						danio_rerio	1	SRP022612																																																													3.041239604396769e-08
						danio_rerio	1	SRP022612																																																													3.005299575324122e-08
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									6.530501928283072e-08				
						danio_rerio	1	SRP044781																																																									6.530501928283072e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									4.353667952188715e-08				
						danio_rerio	2	SRP022612																																																													1.4979884125266883e-07
						danio_rerio	1	SRP022612																																																													2.7111263922244028e-08
						danio_rerio	1	GSE68666																			3.9060699545880304e-08																																										
						danio_rerio	1	SRP044781																																							4.459604523162807e-08																						
						danio_rerio	1	GSE68666																			5.6089722915647e-08																																										
						danio_rerio	1	SRP044781																																																									6.530501928283072e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									4.353667952188715e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									4.353667952188715e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	26	GSE39703																			3.312532945210473e-08																																				9.260410808492204e-08						
						danio_rerio	26	SRP022612																																																													1.1846021902398714e-07
						danio_rerio	26	GSE71755																													2.831471522829093e-07																																
						danio_rerio	26	SRP044781											1.916211823982505e-07								1.0453203443778606e-07										5.56051331649719e-07		1.0688160129160002e-07	3.044246216097086e-07			2.002745483673749e-08											2.2383263335646122e-07											5.877451735454766e-07				
						danio_rerio	26	GSE63133																												2.25244033609338e-07																									6.383451710012343e-07								
						danio_rerio	26	GSE68666																			8.908351942845745e-08																																										
						danio_rerio	3	SRP044781																													3.270890186174817e-08						2.002745483673749e-08																						2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3				mus_musculus	1	GSE41637																																				4.448287962946117e-08																									
ENSMUST00000108431	ENSMUSE00001292661	2_3				mus_musculus	1	GSE41637																																				4.448287962946117e-08																									
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3	ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001224263	12_0	mus_musculus	133	GSE43721												2.1040174909498845e-08																							2.1334809998027897e-08																						2.4703860312911198e-08				
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3	ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001224263	12_0	mus_musculus	133	GSE43013						2.3722613129715934e-06						3.5347765130571056e-07																							7.220664539971874e-07																										
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3	ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001224263	12_0	mus_musculus	133	SRP022612																																																													1.0570839456224097e-06
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3	ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001224263	12_0	mus_musculus	133	GSE30352						1.6413741729909652e-06						7.807938423856651e-08		1.441045403220675e-07															1.3660949894382625e-06						3.1812753398638406e-07																						5.778473173426309e-07				
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3	ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001224263	12_0	mus_musculus	133	GSE30617	3.1789723851586116e-07																												1.915946566275824e-06						2.0933280080754814e-07	5.908430595130117e-06																	1.3199718037730552e-06						9.36039751490967e-07		
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3	ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001224263	12_0	mus_musculus	133	GSE41338						1.5617750435469734e-06						4.313518371032052e-08																	2.8922969298676785e-06						3.391027441336296e-07																	6.341357828448515e-07									
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3	ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001224263	12_0	mus_musculus	133	GSE41637						2.2457944059131423e-06						3.565103822780932e-07				3.920490976350358e-07													1.1249085002655382e-06						6.139994484021485e-07	7.210063379352138e-06																6.7728530418003e-07	3.7905175659817506e-06				1.89210722033236e-06				
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3	ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001224263	12_0	mus_musculus	133	GSE36026						1.1767060525000219e-07			6.662227402474152e-08	4.512474057661296e-07			1.7023604845360552e-07	6.293821915176022e-08	5.9054557789431996e-08					2.3696759351497715e-07				1.707763789861246e-06					1.1795923248039148e-07						9.451689710705329e-08	5.46092646437777e-07																	1.3676781545379405e-07								
ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001262683	2_3	ENSMUST00000069057/ENSMUST00000102504	ENSMUSE00001224263	12_0	mus_musculus	133	GSE43520												8.88521501702037e-08										1.023477395142861e-06																										3.650370444475994e-06									5.509707858760205e-07				
