,path,kidney,adult mammalian kidney,heart,liver,lung,prefrontal cortex,Species,embryo,gastrula,brain,cerebellum,female gonad,placenta,testis,colon,skeletal muscle tissue,spleen,blastula,egg cell,mesonephros,frontal cortex,Ammon's horn,embryonic stem cell,fibroblast,thymus,zone of skin,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland
0,"18_0,2_0,2_1,2_2,21_0",,1.0,1.0,1.0,1.0,1.0,bos_taurus,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,"18_0,2_0,2_1,2_2,21_0",,1.0,1.0,1.0,,,monodelphis_domestica,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,"18_0,21_0",0.22222222222222224,,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"18_0,2_0,2_1,2_2,21_0",0.7777777777777778,1.0,1.0,1.0,1.0,1.0,sus_scrofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"18_0,21_0",,,,,,,xenopus_tropicalis,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"24_1,12_0",,,,,,0.09370764915455976,bos_taurus,,,,,,,0.057686256944586414,,,,,,,,,,,,,,,,,,,,,,,,,
6,"24_1,23_0,12_0",,1.0,1.0,1.0,1.0,0.9062923508454402,bos_taurus,,,1.0,,,,0.9423137430554136,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
7,"24_1,23_0,12_0",,1.0,1.0,1.0,,1.0,gorilla_gorilla,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
8,"24_1,23_0,12_0",1.0,1.0,1.0,1.0,1.0,1.0,homo_sapiens,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,"24_1,23_0,12_0",,1.0,1.0,1.0,,,monodelphis_domestica,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,"24_1,23_0,12_0",,1.0,1.0,1.0,1.0,,mus_musculus,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11,"24_1,23_0,12_0",,1.0,1.0,1.0,1.0,,rattus_norvegicus,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12,"24_1,23_0,12_0",1.0,1.0,1.0,1.0,1.0,1.0,sus_scrofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"24_1,12_0",,,,,,,xenopus_tropicalis,0.15796670834805776,,,,,,0.00385502644805451,,,,,,,,,,,,,,,,,,,,,,,,,
14,"24_1,23_0,12_0",,,1.0,1.0,,,xenopus_tropicalis,0.8420332916519423,1.0,1.0,,1.0,,0.9961449735519455,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
