TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0				bos_taurus	2	GSE41637						3.4833675469693797e-08																														3.963848224357192e-08																									
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0				bos_taurus	2	GSE41637						3.4833675469693797e-08																														3.963848224357192e-08																									
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000020634	ENSBTAE00000426684	2_0	bos_taurus	31	GSE41637						2.7209232030430916e-06						3.68731339364029e-07				4.170379776824218e-06													1.432670944516399e-07						2.5163285423848156e-07	2.9645234059657004e-06																2.0738147826360804e-07	1.9777822366591692e-07				2.1346464075065818e-07				
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000020634	ENSBTAE00000426684	2_0	bos_taurus	31	GSE43013						1.8697165646405217e-06																													3.852359760032238e-07														9.726149628332764e-07												
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000077630	ENSBTAE00000426684	2_0	bos_taurus	31	GSE41637						2.7209232030430916e-06						3.68731339364029e-07				4.170379776824218e-06													1.432670944516399e-07						2.5163285423848156e-07	2.9645234059657004e-06																2.0738147826360804e-07	1.9777822366591692e-07				2.1346464075065818e-07				
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000077630	ENSBTAE00000426684	2_0	bos_taurus	31	GSE43013						1.8697165646405217e-06																													3.852359760032238e-07														9.726149628332764e-07												
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000020634	ENSBTAE00000426684	2_0	bos_taurus	31	GSE41637						2.7209232030430916e-06						3.68731339364029e-07				4.170379776824218e-06													1.432670944516399e-07						2.5163285423848156e-07	2.9645234059657004e-06																2.0738147826360804e-07	1.9777822366591692e-07				2.1346464075065818e-07				
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000020634	ENSBTAE00000426684	2_0	bos_taurus	31	GSE43013						1.8697165646405217e-06																													3.852359760032238e-07														9.726149628332764e-07												
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000077630	ENSBTAE00000426684	2_0	bos_taurus	31	GSE41637						2.7209232030430916e-06						3.68731339364029e-07				4.170379776824218e-06													1.432670944516399e-07						2.5163285423848156e-07	2.9645234059657004e-06																2.0738147826360804e-07	1.9777822366591692e-07				2.1346464075065818e-07				
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000077630	ENSBTAE00000426684	2_0	bos_taurus	31	GSE43013						1.8697165646405217e-06																													3.852359760032238e-07														9.726149628332764e-07												
ENSBTAT00000020634	ENSBTAE00000426684	2_2				bos_taurus	1	GSE43013																																																	9.603351800258734e-08												
ENSBTAT00000077630	ENSBTAE00000426684	2_2				bos_taurus	1	GSE43013																																																	9.603351800258734e-08												
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168721	21_0	bos_taurus	31	GSE41637						3.304286282231808e-06						8.99327306506011e-07				6.491201567685603e-06													3.1759373339947716e-07						4.388768429954168e-07	3.0895036301355207e-06																1.1402479959907299e-07	5.290283831302776e-07				2.532063348818482e-07				
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168721	21_0	bos_taurus	31	GSE43013						2.021185595735145e-06																													5.775670780989813e-07														6.782034240762883e-07												
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000077630	ENSBTAE00000168721	21_0	bos_taurus	31	GSE41637						3.304286282231808e-06						8.99327306506011e-07				6.491201567685603e-06													3.1759373339947716e-07						4.388768429954168e-07	3.0895036301355207e-06																1.1402479959907299e-07	5.290283831302776e-07				2.532063348818482e-07				
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000077630	ENSBTAE00000168721	21_0	bos_taurus	31	GSE43013						2.021185595735145e-06																													5.775670780989813e-07														6.782034240762883e-07												
ENSBTAT00000077630	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168721	21_0	bos_taurus	31	GSE41637						3.304286282231808e-06						8.99327306506011e-07				6.491201567685603e-06													3.1759373339947716e-07						4.388768429954168e-07	3.0895036301355207e-06																1.1402479959907299e-07	5.290283831302776e-07				2.532063348818482e-07				
ENSBTAT00000077630	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168721	21_0	bos_taurus	31	GSE43013						2.021185595735145e-06																													5.775670780989813e-07														6.782034240762883e-07												
