TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0				bos_taurus	2	GSE41637						0.0																														0.0																									
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0				bos_taurus	2	GSE41637						0.0																														0.0																									
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000020634	ENSBTAE00000426684	2_0	bos_taurus	31	GSE43013						2.6821260118588592e-08																													0.0														2.5586125687953352e-08												
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000020634	ENSBTAE00000426684	2_0	bos_taurus	31	GSE41637						7.457743245554713e-08						8.92482176829716e-09				1.425157563795219e-07													2.259707607845732e-08						1.2673181400053241e-08	8.80855160968265e-09																0.0	0.0				8.133958520772782e-09				
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000077630	ENSBTAE00000426684	2_0	bos_taurus	31	GSE43013						2.6821260118588592e-08																													0.0														2.5586125687953352e-08												
ENSBTAT00000020634	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000077630	ENSBTAE00000426684	2_0	bos_taurus	31	GSE41637						7.457743245554713e-08						8.92482176829716e-09				1.425157563795219e-07													2.259707607845732e-08						1.2673181400053241e-08	8.80855160968265e-09																0.0	0.0				8.133958520772782e-09				
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000020634	ENSBTAE00000426684	2_0	bos_taurus	31	GSE43013						2.6821260118588592e-08																													0.0														2.5586125687953352e-08												
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000020634	ENSBTAE00000426684	2_0	bos_taurus	31	GSE41637						7.457743245554713e-08						8.92482176829716e-09				1.425157563795219e-07													2.259707607845732e-08						1.2673181400053241e-08	8.80855160968265e-09																0.0	0.0				8.133958520772782e-09				
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000077630	ENSBTAE00000426684	2_0	bos_taurus	31	GSE43013						2.6821260118588592e-08																													0.0														2.5586125687953352e-08												
ENSBTAT00000077630	ENSBTAE00000425410/ENSBTAE00000518338	18_0	ENSBTAT00000077630	ENSBTAE00000426684	2_0	bos_taurus	31	GSE41637						7.457743245554713e-08						8.92482176829716e-09				1.425157563795219e-07													2.259707607845732e-08						1.2673181400053241e-08	8.80855160968265e-09																0.0	0.0				8.133958520772782e-09				
ENSBTAT00000020634	ENSBTAE00000426684	2_2				bos_taurus	1	GSE43013																																																	0.0												
ENSBTAT00000077630	ENSBTAE00000426684	2_2				bos_taurus	1	GSE43013																																																	0.0												
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168721	21_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168721	21_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000077630	ENSBTAE00000168721	21_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000077630	ENSBTAE00000168721	21_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168721	21_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168721	21_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000426684	2_2	ENSBTAT00000077630	ENSBTAE00000168721	21_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000426684	2_2	ENSBTAT00000077630	ENSBTAE00000168721	21_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168724	7_0	bos_taurus	2	GSE41637												0.0																																																	
ENSBTAT00000020634	ENSBTAE00000426684	2_2	ENSBTAT00000077630	ENSBTAE00000168724	7_0	bos_taurus	2	GSE41637												0.0																																																	
ENSBTAT00000077630	ENSBTAE00000426684	2_2	ENSBTAT00000020634	ENSBTAE00000168724	7_0	bos_taurus	2	GSE41637												0.0																																																	
ENSBTAT00000077630	ENSBTAE00000426684	2_2	ENSBTAT00000077630	ENSBTAE00000168724	7_0	bos_taurus	2	GSE41637												0.0																																																	
ENSBTAT00000020634	ENSBTAE00000168721	21_0	ENSBTAT00000020634	ENSBTAE00000168724	7_0	bos_taurus	29	GSE43013						5.3642520237177185e-08																													4.094925281945843e-08														0.0												
ENSBTAT00000020634	ENSBTAE00000168721	21_0	ENSBTAT00000020634	ENSBTAE00000168724	7_0	bos_taurus	29	GSE41637						3.870408385521533e-09						4.46241088414858e-09				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168721	21_0	ENSBTAT00000077630	ENSBTAE00000168724	7_0	bos_taurus	29	GSE43013						5.3642520237177185e-08																													4.094925281945843e-08														0.0												
ENSBTAT00000020634	ENSBTAE00000168721	21_0	ENSBTAT00000077630	ENSBTAE00000168724	7_0	bos_taurus	29	GSE41637						3.870408385521533e-09						4.46241088414858e-09				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168721	21_0	ENSBTAT00000020634	ENSBTAE00000168724	7_0	bos_taurus	29	GSE43013						5.3642520237177185e-08																													4.094925281945843e-08														0.0												
ENSBTAT00000077630	ENSBTAE00000168721	21_0	ENSBTAT00000020634	ENSBTAE00000168724	7_0	bos_taurus	29	GSE41637						3.870408385521533e-09						4.46241088414858e-09				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168721	21_0	ENSBTAT00000077630	ENSBTAE00000168724	7_0	bos_taurus	29	GSE43013						5.3642520237177185e-08																													4.094925281945843e-08														0.0												
ENSBTAT00000077630	ENSBTAE00000168721	21_0	ENSBTAT00000077630	ENSBTAE00000168724	7_0	bos_taurus	29	GSE41637						3.870408385521533e-09						4.46241088414858e-09				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168724	7_0	ENSBTAT00000020634	ENSBTAE00000168727	25_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168724	7_0	ENSBTAT00000020634	ENSBTAE00000168727	25_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168724	7_0	ENSBTAT00000020634	ENSBTAE00000168727	25_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000168724	7_0	ENSBTAT00000020634	ENSBTAE00000168727	25_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168727	25_0	ENSBTAT00000020634	ENSBTAE00000168730	20_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168727	25_0	ENSBTAT00000020634	ENSBTAE00000168730	20_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168727	25_0	ENSBTAT00000077630	ENSBTAE00000168730	20_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168727	25_0	ENSBTAT00000077630	ENSBTAE00000168730	20_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168730	20_0	ENSBTAT00000020634	ENSBTAE00000168735	15_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168730	20_0	ENSBTAT00000020634	ENSBTAE00000168735	15_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168730	20_0	ENSBTAT00000077630	ENSBTAE00000168735	15_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168730	20_0	ENSBTAT00000077630	ENSBTAE00000168735	15_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168730	20_0	ENSBTAT00000020634	ENSBTAE00000168735	15_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000168730	20_0	ENSBTAT00000020634	ENSBTAE00000168735	15_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168730	20_0	ENSBTAT00000077630	ENSBTAE00000168735	15_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000168730	20_0	ENSBTAT00000077630	ENSBTAE00000168735	15_0	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168730	20_0	ENSBTAT00000020634	ENSBTAE00000355283	4_0	bos_taurus	2	GSE41637												0.0																																													0.0				
ENSBTAT00000020634	ENSBTAE00000168730	20_0	ENSBTAT00000077630	ENSBTAE00000355283	4_0	bos_taurus	2	GSE41637												0.0																																													0.0				
ENSBTAT00000077630	ENSBTAE00000168730	20_0	ENSBTAT00000020634	ENSBTAE00000355283	4_0	bos_taurus	2	GSE41637												0.0																																													0.0				
ENSBTAT00000077630	ENSBTAE00000168730	20_0	ENSBTAT00000077630	ENSBTAE00000355283	4_0	bos_taurus	2	GSE41637												0.0																																													0.0				
ENSBTAT00000020634	ENSBTAE00000168735	15_0	ENSBTAT00000020634	ENSBTAE00000355283	4_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168735	15_0	ENSBTAT00000020634	ENSBTAE00000355283	4_0	bos_taurus	32	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168735	15_0	ENSBTAT00000077630	ENSBTAE00000355283	4_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168735	15_0	ENSBTAT00000077630	ENSBTAE00000355283	4_0	bos_taurus	32	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168735	15_0	ENSBTAT00000020634	ENSBTAE00000355283	4_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000168735	15_0	ENSBTAT00000020634	ENSBTAE00000355283	4_0	bos_taurus	32	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168735	15_0	ENSBTAT00000077630	ENSBTAE00000355283	4_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000168735	15_0	ENSBTAT00000077630	ENSBTAE00000355283	4_0	bos_taurus	32	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000355283	4_0	ENSBTAT00000020634	ENSBTAE00000168742	10_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000355283	4_0	ENSBTAT00000020634	ENSBTAE00000168742	10_0	bos_taurus	32	GSE41637						0.0						0.0				3.822234596069688e-09													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000355283	4_0	ENSBTAT00000077630	ENSBTAE00000168742	10_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000355283	4_0	ENSBTAT00000077630	ENSBTAE00000168742	10_0	bos_taurus	32	GSE41637						0.0						0.0				3.822234596069688e-09													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000355283	4_0	ENSBTAT00000020634	ENSBTAE00000168742	10_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000355283	4_0	ENSBTAT00000020634	ENSBTAE00000168742	10_0	bos_taurus	32	GSE41637						0.0						0.0				3.822234596069688e-09													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000355283	4_0	ENSBTAT00000077630	ENSBTAE00000168742	10_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000355283	4_0	ENSBTAT00000077630	ENSBTAE00000168742	10_0	bos_taurus	32	GSE41637						0.0						0.0				3.822234596069688e-09													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000355283	4_0	ENSBTAT00000020634	ENSBTAE00000355268	5_0	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000020634	ENSBTAE00000355283	4_0	ENSBTAT00000077630	ENSBTAE00000355268	5_0	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000077630	ENSBTAE00000355283	4_0	ENSBTAT00000020634	ENSBTAE00000355268	5_0	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000077630	ENSBTAE00000355283	4_0	ENSBTAT00000077630	ENSBTAE00000355268	5_0	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000020634	ENSBTAE00000168742	10_0	ENSBTAT00000020634	ENSBTAE00000168745	16_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168742	10_0	ENSBTAT00000020634	ENSBTAE00000168745	16_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168742	10_0	ENSBTAT00000077630	ENSBTAE00000168745	16_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168742	10_0	ENSBTAT00000077630	ENSBTAE00000168745	16_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168742	10_0	ENSBTAT00000020634	ENSBTAE00000168745	16_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000168742	10_0	ENSBTAT00000020634	ENSBTAE00000168745	16_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168742	10_0	ENSBTAT00000077630	ENSBTAE00000168745	16_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000168742	10_0	ENSBTAT00000077630	ENSBTAE00000168745	16_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168745	16_0	ENSBTAT00000020634	ENSBTAE00000355268	5_0	bos_taurus	28	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168745	16_0	ENSBTAT00000020634	ENSBTAE00000355268	5_0	bos_taurus	28	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000168745	16_0	ENSBTAT00000077630	ENSBTAE00000355268	5_0	bos_taurus	28	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000020634	ENSBTAE00000168745	16_0	ENSBTAT00000077630	ENSBTAE00000355268	5_0	bos_taurus	28	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168745	16_0	ENSBTAT00000020634	ENSBTAE00000355268	5_0	bos_taurus	28	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000168745	16_0	ENSBTAT00000020634	ENSBTAE00000355268	5_0	bos_taurus	28	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000077630	ENSBTAE00000168745	16_0	ENSBTAT00000077630	ENSBTAE00000355268	5_0	bos_taurus	28	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000077630	ENSBTAE00000168745	16_0	ENSBTAT00000077630	ENSBTAE00000355268	5_0	bos_taurus	28	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000020634	ENSBTAE00000355268	5_0	ENSBTAT00000020634	ENSBTAE00000355258	24_1	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
