TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000061089	ENSBTAE00000507190	0_1	ENSBTAT00000061089	ENSBTAE00000234401	9_0	bos_taurus	31	GSE41637						1.9002397360897041e-06						3.796463629750949e-07				7.013701270043854e-07													4.161452628814575e-07						2.0959832651024858e-07	1.2318057296684097e-06																2.365395599015026e-07	3.507410951527132e-07				1.4594295144883202e-07				
ENSBTAT00000061089	ENSBTAE00000507190	0_1	ENSBTAT00000061089	ENSBTAE00000234401	9_0	bos_taurus	31	GSE43013						8.362546070967465e-07																													2.720908384213927e-07														5.408063185126825e-07												
ENSBTAT00000061089	ENSBTAE00000507190	0_1	ENSBTAT00000061089	ENSBTAE00000234403	22_0	bos_taurus	1	GSE41637																3.440011136462719e-08																																													
ENSBTAT00000061089	ENSBTAE00000507190	0_1	ENSBTAT00000076532	ENSBTAE00000234403	22_0	bos_taurus	1	GSE41637																3.440011136462719e-08																																													
ENSBTAT00000061089	ENSBTAE00000234401	9_2	ENSBTAT00000061089	ENSBTAE00000234402	14_0	bos_taurus	31	GSE41637						1.1741641791005042e-06						5.041067820664755e-07				7.574617024241901e-07													4.490180991998865e-07						2.632360525666824e-07	7.840225660594325e-07																1.9023901988370193e-07	5.736645051115738e-07				9.363665856144227e-08				
ENSBTAT00000061089	ENSBTAE00000234401	9_2	ENSBTAT00000061089	ENSBTAE00000234402	14_0	bos_taurus	31	GSE43013						1.3711254807363825e-06																													1.492430799630174e-07														5.215311775739552e-07												
ENSBTAT00000061089	ENSBTAE00000234401	9_2	ENSBTAT00000076532	ENSBTAE00000234402	14_0	bos_taurus	31	GSE41637						1.1741641791005042e-06						5.041067820664755e-07				7.574617024241901e-07													4.490180991998865e-07						2.632360525666824e-07	7.840225660594325e-07																1.9023901988370193e-07	5.736645051115738e-07				9.363665856144227e-08				
ENSBTAT00000061089	ENSBTAE00000234401	9_2	ENSBTAT00000076532	ENSBTAE00000234402	14_0	bos_taurus	31	GSE43013						1.3711254807363825e-06																													1.492430799630174e-07														5.215311775739552e-07												
ENSBTAT00000076532	ENSBTAE00000499157	9_2	ENSBTAT00000061089	ENSBTAE00000234402	14_0	bos_taurus	31	GSE41637						1.1741641791005042e-06						5.041067820664755e-07				7.574617024241901e-07													4.490180991998865e-07						2.632360525666824e-07	7.840225660594325e-07																1.9023901988370193e-07	5.736645051115738e-07				9.363665856144227e-08				
ENSBTAT00000076532	ENSBTAE00000499157	9_2	ENSBTAT00000061089	ENSBTAE00000234402	14_0	bos_taurus	31	GSE43013						1.3711254807363825e-06																													1.492430799630174e-07														5.215311775739552e-07												
