Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow macrophage	brain	cerebellum	colon	embryo	female gonad	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	24_0,23_0,6_0	1.7293668312548173e-07				1.0036664769215361e-07	1.1281185144153238e-06	6.812559050130466e-08	1.0943412698442895e-07	3.5073660183520777e-07		1.078950945967519e-07			1.3877170401731863e-07					7.036348148532974e-08	8.223824741665247e-07					6.551367932783183e-08			3.8626700129283455e-08	1.5511252379356523e-06		3.528146838055438e-08		9.062406534394936e-07		8.14947366772048e-08
monodelphis_domestica	24_0,23_0,6_0							8.222980726478859e-08	6.712428577215005e-07			2.2705658506230835e-07			4.6441027219527174e-08					3.2153076854769725e-07						8.009621823361058e-08						1.3078834388607666e-07				
xenopus_tropicalis	24_0,23_0,6_0							1.8042210259368505e-07			2.425766856788027e-07	5.130716546459629e-08		2.0260848617464565e-07	1.646773638110678e-07					8.16885020143587e-07			2.4643389341819796e-07									2.3736418139683954e-07				
bos_taurus	24_0,23_0,6_0					2.559385965008209e-07		2.700002643049731e-07		6.747593182225131e-07					1.6584742566177045e-07					3.9278741530173903e-07	2.567496686841634e-06						4.0148928007072096e-07		1.2717831048130415e-07	2.6274862511003463e-06		1.1818699017133468e-07				
gorilla_gorilla	24_0,23_0,6_0					2.1018033079303822e-07			5.7812938836338855e-08				2.5989308193528995e-07							5.36607251882484e-07							2.9067181354785705e-07					4.5861717697831663e-08				
sus_scrofa	24_0,23_0,6_0														4.372885928297964e-07			1.7589512147844774e-07		2.718934290255103e-07	4.443569958370916e-06						9.853106026928454e-08									
homo_sapiens	24_0,23_0,6_0		3.1063408847967203e-07	4.995300589677688e-07	7.621483977540318e-08	1.0162023168369613e-07		8.936517479083661e-08	5.8711614382492186e-08			1.515184367186775e-07	1.3234298737100984e-07		8.821129257742046e-08	3.606099124614812e-07	2.2359498293749514e-07	8.446918645549956e-08	9.108603502595242e-06	1.3931722512574823e-07	1.7621592358847138e-07	4.890713016904638e-07		1.1338860691622797e-06	6.965183887174052e-08	4.904303408077431e-07	2.5403285791007093e-07	1.3649833845709394e-07			1.7338818361817898e-07	6.787469102511966e-08	1.7596752327058697e-07		2.782667638029248e-08	
rattus_norvegicus	24_0,23_0,6_0					2.2756587903508524e-07		7.758000961527079e-08		7.907218591159318e-07					4.385144842960515e-07					1.2842536786554723e-07	2.779630248024975e-06								9.859771707205752e-08	4.0395475411640495e-06		8.406476013935931e-08				
homo_sapiens	24_0,6_0												3.0906600623794104e-08						1.3152932966046898e-07	1.3383828555511758e-08	4.129910406687283e-08	7.089785065816614e-08		8.114299932238923e-08		2.8571177961381884e-08										
sus_scrofa	24_0,6_0																				1.9112128853208245e-07															
