TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMODT00000004512	ENSMODE00000038369	11_0	ENSMODT00000004512	ENSMODE00000038371	20_0	monodelphis_domestica	12	GSE30352						8.144287454254556e-08						5.139192458132283e-08		1.7279478305795118e-07															4.155845276200198e-08						1.0547332737760611e-07																						8.76359442573436e-08				
ENSMODT00000004512	ENSMODE00000038369	11_0	ENSMODT00000004512	ENSMODE00000038371	20_0	monodelphis_domestica	12	GSE43520																						1.4474077802392556e-07																										6.605336557089858e-08													
ENSMODT00000004512	ENSMODE00000038371	20_0	ENSMODT00000004512	ENSMODE00000038372	18_0	monodelphis_domestica	14	GSE30352						1.4864818731069474e-07						5.139192458132283e-08		8.616800209836318e-08															4.644102721952716e-08						3.2664155496257607e-07																						8.76359442573436e-08				
ENSMODT00000004512	ENSMODE00000038371	20_0	ENSMODT00000004512	ENSMODE00000038372	18_0	monodelphis_domestica	14	GSE43520																						8.21709405738027e-08																										4.7069535448161286e-08									2.4259174540830836e-08				
ENSMODT00000004512	ENSMODE00000038372	18_0	ENSMODT00000004512	ENSMODE00000038375	21_0	monodelphis_domestica	11	GSE30352						8.144287454254556e-08						8.565320763553806e-08		1.3016956086999434e-07																					2.3533992453798507e-07																						1.5164501479145475e-07				
ENSMODT00000004512	ENSMODE00000038372	18_0	ENSMODT00000004512	ENSMODE00000038375	21_0	monodelphis_domestica	11	GSE43520																						3.307118927993326e-07																										8.009621823361058e-08													
ENSMODT00000004512	ENSMODE00000038372	18_0	ENSMODT00000004512	ENSMODE00000038377	19_0	monodelphis_domestica	1	GSE43520																						4.0940603822321216e-08																																							
ENSMODT00000004512	ENSMODE00000038375	21_0	ENSMODT00000004512	ENSMODE00000038377	19_0	monodelphis_domestica	9	GSE30352												3.426128305421522e-08		8.616800209836318e-08															6.192136962603622e-08						4.848515460289853e-07																						2.02193353055273e-07				
ENSMODT00000004512	ENSMODE00000038375	21_0	ENSMODT00000004512	ENSMODE00000038377	19_0	monodelphis_domestica	9	GSE43520																						1.2340127732528416e-07																																							
ENSMODT00000004512	ENSMODE00000038377	19_0	ENSMODT00000004512	ENSMODE00000038380	14_0	monodelphis_domestica	9	GSE30352												1.0278384916264568e-07		1.741711196416255e-07																					9.1301630424591e-08																						1.2472355025086896e-07				
ENSMODT00000004512	ENSMODE00000038377	19_0	ENSMODT00000004512	ENSMODE00000038380	14_0	monodelphis_domestica	9	GSE43520																						6.170063866264208e-08																										4.928485621425974e-08													
ENSMODT00000004512	ENSMODE00000038380	14_0	ENSMODT00000004512	ENSMODE00000038385	13_0	monodelphis_domestica	11	GSE30352						8.144287454254556e-08						8.043650648312904e-08																	3.179330384695161e-08						1.4403829411339406e-07																										
ENSMODT00000004512	ENSMODE00000038380	14_0	ENSMODT00000004512	ENSMODE00000038385	13_0	monodelphis_domestica	11	GSE43520												1.8632253763470713e-07										4.3480179993009725e-07																										2.3534767724080643e-07									2.4259174540830836e-08				
