TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMODT00000004512	ENSMODE00000038369	11_0	ENSMODT00000004512	ENSMODE00000038371	20_0	monodelphis_domestica	12	GSE30352						0.0						0.0		0.0															0.0						0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038369	11_0	ENSMODT00000004512	ENSMODE00000038371	20_0	monodelphis_domestica	12	GSE43520																						0.0																										0.0													
ENSMODT00000004512	ENSMODE00000038371	20_0	ENSMODT00000004512	ENSMODE00000038372	18_0	monodelphis_domestica	14	GSE30352						0.0						0.0		0.0															0.0						0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038371	20_0	ENSMODT00000004512	ENSMODE00000038372	18_0	monodelphis_domestica	14	GSE43520																						0.0																										0.0									0.0				
ENSMODT00000004512	ENSMODE00000038372	18_0	ENSMODT00000004512	ENSMODE00000038375	21_0	monodelphis_domestica	11	GSE30352						0.0						0.0		0.0																					0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038372	18_0	ENSMODT00000004512	ENSMODE00000038375	21_0	monodelphis_domestica	11	GSE43520																						0.0																										0.0													
ENSMODT00000004512	ENSMODE00000038372	18_0	ENSMODT00000004512	ENSMODE00000038377	19_0	monodelphis_domestica	1	GSE43520																						0.0																																							
ENSMODT00000004512	ENSMODE00000038375	21_0	ENSMODT00000004512	ENSMODE00000038377	19_0	monodelphis_domestica	9	GSE30352												0.0		0.0															0.0						0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038375	21_0	ENSMODT00000004512	ENSMODE00000038377	19_0	monodelphis_domestica	9	GSE43520																						0.0																																							
ENSMODT00000004512	ENSMODE00000038377	19_0	ENSMODT00000004512	ENSMODE00000038380	14_0	monodelphis_domestica	9	GSE30352												0.0		0.0																					0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038377	19_0	ENSMODT00000004512	ENSMODE00000038380	14_0	monodelphis_domestica	9	GSE43520																						0.0																										0.0													
ENSMODT00000004512	ENSMODE00000038380	14_0	ENSMODT00000004512	ENSMODE00000038385	13_0	monodelphis_domestica	11	GSE30352						0.0						0.0																	0.0						0.0																										
ENSMODT00000004512	ENSMODE00000038380	14_0	ENSMODT00000004512	ENSMODE00000038385	13_0	monodelphis_domestica	11	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000004512	ENSMODE00000038385	13_0	ENSMODT00000004512	ENSMODE00000038388	12_0	monodelphis_domestica	10	GSE30352						0.0						0.0		0.0															0.0						0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038385	13_0	ENSMODT00000004512	ENSMODE00000038388	12_0	monodelphis_domestica	10	GSE43520																						0.0																										0.0									0.0				
ENSMODT00000004512	ENSMODE00000038385	13_0	ENSMODT00000004512	ENSMODE00000038390	2_0	monodelphis_domestica	1	GSE30352																													0.0																																
ENSMODT00000004512	ENSMODE00000038388	12_0	ENSMODT00000004512	ENSMODE00000038390	2_0	monodelphis_domestica	8	GSE30352						0.0						0.0		0.0																					0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038388	12_0	ENSMODT00000004512	ENSMODE00000038390	2_0	monodelphis_domestica	8	GSE43520																						0.0																																							
ENSMODT00000004512	ENSMODE00000038390	2_0	ENSMODT00000004512	ENSMODE00000038393	26_0	monodelphis_domestica	8	GSE30352												0.0		0.0																					0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038390	2_0	ENSMODT00000004512	ENSMODE00000038393	26_0	monodelphis_domestica	8	GSE43520																						0.0																										0.0													
ENSMODT00000004512	ENSMODE00000038393	26_0	ENSMODT00000004512	ENSMODE00000038398	24_0	monodelphis_domestica	8	GSE30352												0.0		0.0															0.0						0.0																										
ENSMODT00000004512	ENSMODE00000038393	26_0	ENSMODT00000004512	ENSMODE00000038398	24_0	monodelphis_domestica	8	GSE43520												0.0										0.0																																							
ENSMODT00000004512	ENSMODE00000038398	24_0	ENSMODT00000004512	ENSMODE00000038401	23_0	monodelphis_domestica	12	GSE30352												0.0		0.0															0.0						0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038398	24_0	ENSMODT00000004512	ENSMODE00000038401	23_0	monodelphis_domestica	12	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000004512	ENSMODE00000038401	23_0	ENSMODT00000004512	ENSMODE00000038406	6_0	monodelphis_domestica	14	GSE30352						0.0						0.0		0.0															0.0						0.0																						0.0				
ENSMODT00000004512	ENSMODE00000038401	23_0	ENSMODT00000004512	ENSMODE00000038406	6_0	monodelphis_domestica	14	GSE43520												0.0										0.0																										0.0													
ENSMODT00000004512	ENSMODE00000038406	6_0	ENSMODT00000004512	ENSMODE00000038410	22_0	monodelphis_domestica	10	GSE30352						0.0						0.0		0.0																					0.0																										
