Species	path	Ammon's horn	adipose tissue	adrenal gland	adult mammalian kidney	bone marrow	bone marrow macrophage	brain	cerebellum	colon	embryonic stem cell	female gonad	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	10_0,20_1,27_0	3.6481439575116735e-08			7.170016290516508e-08	1.9986682207422456e-07	5.891285575280025e-07	3.351176118680324e-08		7.209210842045095e-07		1.0264437044226242e-07		1.7331156735030527e-07					7.966713589639249e-08	9.246115509937621e-07				3.28454887977485e-07			3.469814697941942e-08	5.686591303801643e-06		2.3584830675780813e-08		4.0051766668308115e-06		2.408003947165465e-07
monodelphis_domestica	10_0,20_1,27_0				1.0792675003942198e-07				9.299762534472024e-07										1.1766996226899255e-07											6.756964937396348e-08				
bos_taurus	10_0,20_1,27_0				9.178370146924824e-08					3.7394685128547376e-07				4.0167762837608385e-08					1.8202382818002375e-07	1.8890470801655938e-06							8.226711041461987e-08	1.6934506014950897e-06		2.94632836128456e-07				
gorilla_gorilla	10_0,20_1,27_0				3.164137784711333e-07				1.3963548030829857e-07				6.497327048382249e-08	1.326763681371851e-07					4.5809308473715516e-07						1.4014160258667566e-07					4.042615003503131e-08				
sus_scrofa	10_0,20_1,27_0													9.995167836109634e-08			2.1986890184805964e-07		2.9261077956583976e-07	5.781418978095493e-06														
homo_sapiens	10_0,20_1,27_0		1.755245201256133e-07	1.1539115700729654e-06	4.611132319906133e-08			1.6285747746205644e-07				8.851452435206222e-08		8.224796506430493e-08	1.026140697520314e-07			4.499899871985106e-06	7.095553251646268e-08	5.925973134375999e-07	5.211245389433835e-07	2.530796627637086e-07	6.857741950304748e-08	1.917677602208746e-07		8.983953463015537e-08				7.216261392992662e-08			3.130592412183971e-08	
rattus_norvegicus	10_0,20_1,27_0				2.0323482900444954e-07			4.2265533121839816e-08		2.88338696554687e-06				3.205439453562682e-07					9.807521918891959e-08	2.055371470714641e-06							5.380132159886252e-08	8.53256972627238e-06		1.0563098777494685e-07				
rattus_norvegicus	10_0,27_0									4.920741372673283e-08									6.346554496816282e-08									1.2220915478215368e-08						
mus_musculus	10_0,27_0				9.508007487023448e-09					1.1326284593786088e-08										4.765216208937467e-08				5.976798665261322e-08				7.531284572492449e-08				6.589430051532449e-08		3.1469974586775524e-08
mus_musculus	1_2,18_0,26_0				7.604576522139928e-08		4.6378205592629986e-07	4.765311975204032e-08		3.003208200844087e-07	3.645655284845802e-08	8.931203455604186e-08		1.0958590655675424e-07					5.712977857068969e-08	7.560778249735602e-07				1.893328870615622e-07			4.10529132364062e-08	3.7392875448837104e-06		3.374300753285372e-08		4.184725324566584e-06		1.4757442107601262e-07
monodelphis_domestica	1_2,18_0,26_0											5.175522063622203e-08																		6.815618427170244e-08				
bos_taurus	1_2,18_0,26_0				1.443173662994831e-07					7.494466070583235e-07				9.968260783028794e-08					2.1523121119843743e-07	1.979469964691223e-06								3.0655985721782626e-06		1.2946676865456108e-07				
gorilla_gorilla	1_2,18_0,26_0				3.6429876297713605e-07									1.0844038427425302e-07					3.541884699080759e-07						2.997879984928373e-07					4.917379562808905e-08				
sus_scrofa	1_2,18_0,26_0				7.998860455594061e-08									7.496375877082225e-08			3.078164625872836e-07		2.0430865541989276e-07	2.4367964287840513e-06														
homo_sapiens	1_2,18_0,26_0		1.426001339491137e-07	9.419187356542473e-07	3.1467204724569247e-08			1.3879854219550548e-07				6.842536385744465e-08		4.818092691465229e-08	7.577770896335278e-08	1.0547118520083865e-07		7.4105685954582935e-06	6.719700549267005e-08	4.3282639851646384e-07	7.304787064103014e-07	4.493224024173805e-07	6.079096784524469e-08	8.200985083986982e-08					1.2894864792460323e-07	8.978052711641455e-08	6.374626348867645e-08			
rattus_norvegicus	1_2,18_0,26_0				1.460657443282087e-07					1.6560226247484415e-06				1.857482694654067e-07					1.0999978264812061e-07	1.4337024793673247e-06							2.6535148094518977e-08	4.898933616135467e-06						
homo_sapiens	1_2,26_0																	1.1143689603311827e-07																
bos_taurus	1_2,26_0									3.6857766825133774e-08									1.2673181400053241e-08	7.200801996523163e-08								4.460257237093381e-08						
mus_musculus	1_2,26_0																			3.4366361911051516e-08								7.471772799506802e-08				7.856549768637665e-08		2.3415585426263758e-08
