,path,colon,liver,spleen,adult mammalian kidney,brain,heart,lung,skeletal muscle tissue,testis,Species,kidney,cerebellum,frontal cortex,prefrontal cortex,placenta,thymus,zone of skin,Ammon's horn,bone marrow,bone marrow macrophage,female gonad,adipose tissue,adrenal gland,heart left ventricle,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,thyroid gland,embryonic stem cell,intestine,stomach,thoracic mammary gland
0,"10_0,20_1,27_0",1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,
1,"10_0,20_1,27_0",,1.0,,1.0,,1.0,,,1.0,gorilla_gorilla,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
2,"10_0,20_1,27_0",,1.0,,1.0,1.0,1.0,1.0,,1.0,homo_sapiens,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
3,"10_0,20_1,27_0",,1.0,,1.0,,,,,1.0,monodelphis_domestica,,1.0,,,,,,,,,,,,,,,,,,,,,,
4,"10_0,27_0",0.015467839252702072,,0.013070825853830395,0.11708190741282887,,,0.04901156080202287,,,mus_musculus,,,,,0.153952769294083,0.016185986695849693,0.1155835453828488,,,,,,,,,,,,,,,,,
5,"10_0,20_1,27_0",0.9845321607472979,1.0,0.9869291741461697,0.8829180925871711,1.0,1.0,0.9509884391979773,1.0,1.0,mus_musculus,,,,,0.846047230705917,0.9838140133041503,0.8844164546171512,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
6,"10_0,27_0",0.016779481702110265,0.39287634486146705,0.0014302182453134551,,,,,,,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,
7,"10_0,20_1,27_0",0.9832205182978898,0.607123655138533,0.9985697817546866,1.0,1.0,1.0,1.0,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,
8,"10_0,20_1,27_0",,1.0,,,,1.0,1.0,,,sus_scrofa,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,"1_2,26_0",0.04687468116589248,0.05560744685768365,0.014340735630266981,,,,0.03510055701489297,,,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,
10,"1_2,18_0,26_0",0.9531253188341076,0.9443925531423164,0.985659264369733,1.0,,1.0,0.964899442985107,,1.0,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,
11,"1_2,18_0,26_0",,1.0,,1.0,,1.0,,,1.0,gorilla_gorilla,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,"1_2,26_0",,,,,,,,,,homo_sapiens,,,,,,,,,,,,,,,0.014814785253636305,,,,,,,,,
13,"1_2,18_0,26_0",,1.0,,1.0,1.0,1.0,1.0,,1.0,homo_sapiens,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,0.9851852147463637,1.0,1.0,1.0,,,,1.0,1.0,1.0
14,"1_2,18_0,26_0",,,,,,,,,1.0,monodelphis_domestica,,,,,,,,,,,1.0,,,,,,,,,,,,,
15,"1_2,26_0",,,0.019590357812660213,,,,0.04347727832182576,,,mus_musculus,,,,,,0.01842836929544916,0.13694125115991518,,,,,,,,,,,,,,,,,
16,"1_2,18_0,26_0",1.0,1.0,0.9804096421873398,1.0,1.0,1.0,0.9565227216781743,1.0,1.0,mus_musculus,,,,,1.0,0.9815716307045509,0.8630587488400848,,,1.0,1.0,,,,,,,,,,1.0,,,
17,"1_2,18_0,26_0",1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,
18,"1_2,18_0,26_0",,1.0,,1.0,,1.0,1.0,,,sus_scrofa,1.0,,,,,,,,,,,,,,,,,,,,,,,
