TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000008366	ENSBTAE00000067520	25_0	ENSBTAT00000008366	ENSBTAE00000067522	12_0	bos_taurus	20	GSE41637						1.404947875259483e-07										7.011085455681681e-07													2.902486355919576e-08						2.3673990433843094e-07	1.8903343930870107e-06																4.2738960016431424e-08	1.8603077973315912e-06				5.0641266976369646e-08				
ENSBTAT00000008366	ENSBTAE00000067520	25_0	ENSBTAT00000008366	ENSBTAE00000067522	12_0	bos_taurus	20	GSE43013						1.0728504047435437e-07																													8.189850563891686e-08																										
ENSBTAT00000008366	ENSBTAE00000067520	25_0	ENSBTAT00000071978	ENSBTAE00000067522	12_0	bos_taurus	20	GSE41637						1.404947875259483e-07										7.011085455681681e-07													2.902486355919576e-08						2.3673990433843094e-07	1.8903343930870107e-06																4.2738960016431424e-08	1.8603077973315912e-06				5.0641266976369646e-08				
ENSBTAT00000008366	ENSBTAE00000067520	25_0	ENSBTAT00000071978	ENSBTAE00000067522	12_0	bos_taurus	20	GSE43013						1.0728504047435437e-07																													8.189850563891686e-08																										
ENSBTAT00000008366	ENSBTAE00000067520	25_0	ENSBTAT00000082351	ENSBTAE00000067522	12_0	bos_taurus	20	GSE41637						1.404947875259483e-07										7.011085455681681e-07													2.902486355919576e-08						2.3673990433843094e-07	1.8903343930870107e-06																4.2738960016431424e-08	1.8603077973315912e-06				5.0641266976369646e-08				
ENSBTAT00000008366	ENSBTAE00000067520	25_0	ENSBTAT00000082351	ENSBTAE00000067522	12_0	bos_taurus	20	GSE43013						1.0728504047435437e-07																													8.189850563891686e-08																										
ENSBTAT00000071978	ENSBTAE00000067520	25_0	ENSBTAT00000008366	ENSBTAE00000067522	12_0	bos_taurus	20	GSE41637						1.404947875259483e-07										7.011085455681681e-07													2.902486355919576e-08						2.3673990433843094e-07	1.8903343930870107e-06																4.2738960016431424e-08	1.8603077973315912e-06				5.0641266976369646e-08				
ENSBTAT00000071978	ENSBTAE00000067520	25_0	ENSBTAT00000008366	ENSBTAE00000067522	12_0	bos_taurus	20	GSE43013						1.0728504047435437e-07																													8.189850563891686e-08																										
ENSBTAT00000071978	ENSBTAE00000067520	25_0	ENSBTAT00000071978	ENSBTAE00000067522	12_0	bos_taurus	20	GSE41637						1.404947875259483e-07										7.011085455681681e-07													2.902486355919576e-08						2.3673990433843094e-07	1.8903343930870107e-06																4.2738960016431424e-08	1.8603077973315912e-06				5.0641266976369646e-08				
ENSBTAT00000071978	ENSBTAE00000067520	25_0	ENSBTAT00000071978	ENSBTAE00000067522	12_0	bos_taurus	20	GSE43013						1.0728504047435437e-07																													8.189850563891686e-08																										
ENSBTAT00000071978	ENSBTAE00000067520	25_0	ENSBTAT00000082351	ENSBTAE00000067522	12_0	bos_taurus	20	GSE41637						1.404947875259483e-07										7.011085455681681e-07													2.902486355919576e-08						2.3673990433843094e-07	1.8903343930870107e-06																4.2738960016431424e-08	1.8603077973315912e-06				5.0641266976369646e-08				
ENSBTAT00000071978	ENSBTAE00000067520	25_0	ENSBTAT00000082351	ENSBTAE00000067522	12_0	bos_taurus	20	GSE43013						1.0728504047435437e-07																													8.189850563891686e-08																										
ENSBTAT00000082351	ENSBTAE00000067520	25_0	ENSBTAT00000008366	ENSBTAE00000067522	12_0	bos_taurus	20	GSE41637						1.404947875259483e-07										7.011085455681681e-07													2.902486355919576e-08						2.3673990433843094e-07	1.8903343930870107e-06																4.2738960016431424e-08	1.8603077973315912e-06				5.0641266976369646e-08				
ENSBTAT00000082351	ENSBTAE00000067520	25_0	ENSBTAT00000008366	ENSBTAE00000067522	12_0	bos_taurus	20	GSE43013						1.0728504047435437e-07																													8.189850563891686e-08																										
ENSBTAT00000082351	ENSBTAE00000067520	25_0	ENSBTAT00000071978	ENSBTAE00000067522	12_0	bos_taurus	20	GSE41637						1.404947875259483e-07										7.011085455681681e-07													2.902486355919576e-08						2.3673990433843094e-07	1.8903343930870107e-06																4.2738960016431424e-08	1.8603077973315912e-06				5.0641266976369646e-08				
ENSBTAT00000082351	ENSBTAE00000067520	25_0	ENSBTAT00000071978	ENSBTAE00000067522	12_0	bos_taurus	20	GSE43013						1.0728504047435437e-07																													8.189850563891686e-08																										
ENSBTAT00000082351	ENSBTAE00000067520	25_0	ENSBTAT00000082351	ENSBTAE00000067522	12_0	bos_taurus	20	GSE41637						1.404947875259483e-07										7.011085455681681e-07													2.902486355919576e-08						2.3673990433843094e-07	1.8903343930870107e-06																4.2738960016431424e-08	1.8603077973315912e-06				5.0641266976369646e-08				
ENSBTAT00000082351	ENSBTAE00000067520	25_0	ENSBTAT00000082351	ENSBTAE00000067522	12_0	bos_taurus	20	GSE43013						1.0728504047435437e-07																													8.189850563891686e-08																										
ENSBTAT00000008366	ENSBTAE00000067520	25_0	ENSBTAT00000008366	ENSBTAE00000067523	1_0	bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000008366	ENSBTAE00000067520	25_0	ENSBTAT00000071978	ENSBTAE00000067523	1_0	bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000008366	ENSBTAE00000067520	25_0	ENSBTAT00000082351	ENSBTAE00000067523	1_0	bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000071978	ENSBTAE00000067520	25_0	ENSBTAT00000008366	ENSBTAE00000067523	1_0	bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000071978	ENSBTAE00000067520	25_0	ENSBTAT00000071978	ENSBTAE00000067523	1_0	bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000071978	ENSBTAE00000067520	25_0	ENSBTAT00000082351	ENSBTAE00000067523	1_0	bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000082351	ENSBTAE00000067520	25_0	ENSBTAT00000008366	ENSBTAE00000067523	1_0	bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000082351	ENSBTAE00000067520	25_0	ENSBTAT00000071978	ENSBTAE00000067523	1_0	bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000082351	ENSBTAE00000067520	25_0	ENSBTAT00000082351	ENSBTAE00000067523	1_0	bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000008366	ENSBTAE00000067522	12_1	ENSBTAT00000008366	ENSBTAE00000067523	1_0	bos_taurus	25	GSE41637						2.7246089258095856e-07										6.673863518409934e-07													1.1553213825319672e-07						3.434344802846554e-07	3.8219118544575644e-06																8.402149230812011e-08	2.5546379259363266e-06				9.363665856144227e-08				
ENSBTAT00000008366	ENSBTAE00000067522	12_1	ENSBTAT00000008366	ENSBTAE00000067523	1_0	bos_taurus	25	GSE43013						1.6092756071153157e-07																													1.4439176952474532e-07																										
ENSBTAT00000008366	ENSBTAE00000067522	12_1	ENSBTAT00000071978	ENSBTAE00000067523	1_0	bos_taurus	25	GSE41637						2.7246089258095856e-07										6.673863518409934e-07													1.1553213825319672e-07						3.434344802846554e-07	3.8219118544575644e-06																8.402149230812011e-08	2.5546379259363266e-06				9.363665856144227e-08				
ENSBTAT00000008366	ENSBTAE00000067522	12_1	ENSBTAT00000071978	ENSBTAE00000067523	1_0	bos_taurus	25	GSE43013						1.6092756071153157e-07																													1.4439176952474532e-07																										
ENSBTAT00000008366	ENSBTAE00000067522	12_1	ENSBTAT00000082351	ENSBTAE00000067523	1_0	bos_taurus	25	GSE41637						2.7246089258095856e-07										6.673863518409934e-07													1.1553213825319672e-07						3.434344802846554e-07	3.8219118544575644e-06																8.402149230812011e-08	2.5546379259363266e-06				9.363665856144227e-08				
ENSBTAT00000008366	ENSBTAE00000067522	12_1	ENSBTAT00000082351	ENSBTAE00000067523	1_0	bos_taurus	25	GSE43013						1.6092756071153157e-07																													1.4439176952474532e-07																										
ENSBTAT00000071978	ENSBTAE00000067522	12_1	ENSBTAT00000008366	ENSBTAE00000067523	1_0	bos_taurus	25	GSE41637						2.7246089258095856e-07										6.673863518409934e-07													1.1553213825319672e-07						3.434344802846554e-07	3.8219118544575644e-06																8.402149230812011e-08	2.5546379259363266e-06				9.363665856144227e-08				
ENSBTAT00000071978	ENSBTAE00000067522	12_1	ENSBTAT00000008366	ENSBTAE00000067523	1_0	bos_taurus	25	GSE43013						1.6092756071153157e-07																													1.4439176952474532e-07																										
ENSBTAT00000071978	ENSBTAE00000067522	12_1	ENSBTAT00000071978	ENSBTAE00000067523	1_0	bos_taurus	25	GSE41637						2.7246089258095856e-07										6.673863518409934e-07													1.1553213825319672e-07						3.434344802846554e-07	3.8219118544575644e-06																8.402149230812011e-08	2.5546379259363266e-06				9.363665856144227e-08				
ENSBTAT00000071978	ENSBTAE00000067522	12_1	ENSBTAT00000071978	ENSBTAE00000067523	1_0	bos_taurus	25	GSE43013						1.6092756071153157e-07																													1.4439176952474532e-07																										
ENSBTAT00000071978	ENSBTAE00000067522	12_1	ENSBTAT00000082351	ENSBTAE00000067523	1_0	bos_taurus	25	GSE41637						2.7246089258095856e-07										6.673863518409934e-07													1.1553213825319672e-07						3.434344802846554e-07	3.8219118544575644e-06																8.402149230812011e-08	2.5546379259363266e-06				9.363665856144227e-08				
ENSBTAT00000071978	ENSBTAE00000067522	12_1	ENSBTAT00000082351	ENSBTAE00000067523	1_0	bos_taurus	25	GSE43013						1.6092756071153157e-07																													1.4439176952474532e-07																										
ENSBTAT00000082351	ENSBTAE00000067522	12_1	ENSBTAT00000008366	ENSBTAE00000067523	1_0	bos_taurus	25	GSE41637						2.7246089258095856e-07										6.673863518409934e-07													1.1553213825319672e-07						3.434344802846554e-07	3.8219118544575644e-06																8.402149230812011e-08	2.5546379259363266e-06				9.363665856144227e-08				
ENSBTAT00000082351	ENSBTAE00000067522	12_1	ENSBTAT00000008366	ENSBTAE00000067523	1_0	bos_taurus	25	GSE43013						1.6092756071153157e-07																													1.4439176952474532e-07																										
ENSBTAT00000082351	ENSBTAE00000067522	12_1	ENSBTAT00000071978	ENSBTAE00000067523	1_0	bos_taurus	25	GSE41637						2.7246089258095856e-07										6.673863518409934e-07													1.1553213825319672e-07						3.434344802846554e-07	3.8219118544575644e-06																8.402149230812011e-08	2.5546379259363266e-06				9.363665856144227e-08				
ENSBTAT00000082351	ENSBTAE00000067522	12_1	ENSBTAT00000071978	ENSBTAE00000067523	1_0	bos_taurus	25	GSE43013						1.6092756071153157e-07																													1.4439176952474532e-07																										
