TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSGGOT00000008355	ENSGGOE00000364294	4_1	ENSGGOT00000008355	ENSGGOE00000085158	9_0	gorilla_gorilla	3	GSE30352						0.0																																																							
ENSGGOT00000008355	ENSGGOE00000364294	4_1	ENSGGOT00000008355	ENSGGOE00000085158	9_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000364294	4_1	ENSGGOT00000027259	ENSGGOE00000085158	9_0	gorilla_gorilla	3	GSE30352						0.0																																																							
ENSGGOT00000008355	ENSGGOE00000364294	4_1	ENSGGOT00000027259	ENSGGOE00000085158	9_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085154	4_1	ENSGGOT00000008355	ENSGGOE00000085158	9_0	gorilla_gorilla	3	GSE30352						0.0																																																							
ENSGGOT00000027259	ENSGGOE00000085154	4_1	ENSGGOT00000008355	ENSGGOE00000085158	9_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085154	4_1	ENSGGOT00000027259	ENSGGOE00000085158	9_0	gorilla_gorilla	3	GSE30352						0.0																																																							
ENSGGOT00000027259	ENSGGOE00000085154	4_1	ENSGGOT00000027259	ENSGGOE00000085158	9_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085158	9_0	ENSGGOT00000008355	ENSGGOE00000231982	1_0	gorilla_gorilla	1	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085158	9_0	ENSGGOT00000027259	ENSGGOE00000231982	1_0	gorilla_gorilla	1	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085158	9_0	ENSGGOT00000008355	ENSGGOE00000231982	1_0	gorilla_gorilla	1	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085158	9_0	ENSGGOT00000027259	ENSGGOE00000231982	1_0	gorilla_gorilla	1	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000231982	1_0	ENSGGOT00000008355	ENSGGOE00000085164	22_0	gorilla_gorilla	2	GSE30352																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000231982	1_0	ENSGGOT00000008355	ENSGGOE00000085164	22_0	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000231982	1_0	ENSGGOT00000027259	ENSGGOE00000085164	22_0	gorilla_gorilla	2	GSE30352																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000231982	1_0	ENSGGOT00000027259	ENSGGOE00000085164	22_0	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000231982	1_0	ENSGGOT00000008355	ENSGGOE00000085164	22_0	gorilla_gorilla	2	GSE30352																																																									0.0				
