gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
NEBL	11_0	I	3_0,11_0,2_0	3_0,2_0	monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,rattus_norvegicus	monodelphis_domestica,sus_scrofa	[3.571668192853674e-05, 3.071380414193603e-05, 2.3314060986837204e-05, 6.900605242201619e-05, 5.004882487273981e-05]	[1.3946268884773108e-07, 3.1180941182192834e-07]	ENSBTAT00000075769,ENST00000417816,ENSGGOT00000049274,ENSMMUT00000070281,ENSSSCT00000040834,ENSSSCT00000045325,ENSSSCT00000059223,ENSSSCT00000062235	
NEBL	5_2	I	16_0,5_2,5_3,5_4	16_0,5_4	monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,rattus_norvegicus	[8.302527915998342e-06, 3.487299228336847e-05, 1.7043914267076206e-06, 6.763593151849023e-05, 0.00022123486382259695, 8.296357988834883e-06]	[4.528842773151893e-07, 1.2263740788157597e-07]	ENSBTAT00000061339,ENSBTAT00000067562,ENSBTAT00000075769,ENSBTAT00000085898,ENST00000377122,ENSGGOT00000005469,ENSMMUT00000014819,ENSMMUT00000043169,ENSMODT00000011714,ENSRNOT00000068553,ENSRNOT00000082549,ENSSSCT00000012137,ENSSSCT00000036863,ENSSSCT00000040533,ENSSSCT00000059223,ENSSSCT00000062235	
NEBL	9_4	I	5_8,9_4,9_5	5_8,9_5	monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,sus_scrofa	[4.589837384052011e-06, 2.0786825574375302e-05, 2.48673669995169e-05, 1.8745769476860138e-06, 9.247732175167304e-05, 0.00025374411149149266, 1.607305750552961e-05]	[1.853996262377085e-06, 1.2256347112387182e-06]	ENSBTAT00000061339,ENSBTAT00000067562,ENSBTAT00000075769,ENSBTAT00000085898,ENST00000377122,ENSGGOT00000005469,ENSMMUT00000014819,ENSMMUT00000043169,ENSMODT00000011714,ENSRNOT00000068553,ENSRNOT00000082549,ENSSSCT00000012137,ENSSSCT00000040533,ENSSSCT00000059223,ENSSSCT00000062235,ENSXETT00000036218	
NEBL	9_4	E	8_0,9_4,9_5	8_0,9_2,9_3,5_8,9_5	homo_sapiens,sus_scrofa	homo_sapiens,sus_scrofa	[0.0001293378717236473, 4.651034127699069e-05]	[0.00015961229005904037, 6.012421290451872e-05]	ENSSSCT00000036863	
NEBL	9_4	E	8_0,9_4,9_5	8_0,9_3,5_8,9_5	homo_sapiens,sus_scrofa	homo_sapiens,sus_scrofa	[0.0001293378717236473, 4.651034127699069e-05]	[8.995069932667887e-05, 3.8202373950422715e-05]	ENSSSCT00000036863	
NEBL	9_4	E	9_3,9_4,9_5	9_3,5_8,9_5	xenopus_tropicalis,sus_scrofa	homo_sapiens,sus_scrofa	[1.0576141692406197e-05, 4.647285939760528e-05]	[0.00013480884887925786, 5.511920948410564e-05]		
NEBL	9_3	I	8_0,9_3,5_8,9_4	8_0,9_4	bos_taurus,homo_sapiens,sus_scrofa,rattus_norvegicus	homo_sapiens,sus_scrofa	[2.359472555263087e-05, 0.0001725230390159852, 6.85467636813559e-05, 1.1152652131594726e-05]	[7.585357946053308e-07, 3.24842954673563e-07]	ENSBTAT00000067562,ENSSSCT00000040533	ENSSSCT00000036863
NEBL	9_3	E	8_0,9_3,5_8,9_5	8_0,9_4,9_5	homo_sapiens,sus_scrofa	homo_sapiens,sus_scrofa	[8.995069932667887e-05, 3.8202373950422715e-05]	[0.0001293378717236473, 4.651034127699069e-05]		ENSSSCT00000036863
NEBL	4_0	I	13_0,4_0,11_0	13_0,11_0	monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	gorilla_gorilla,homo_sapiens,bos_taurus	[1.8565003706569874e-05, 6.597967292752935e-06, 2.1405489784237554e-06, 6.134534259412286e-05, 0.00023033218858436178, 7.068503478747474e-06]	[1.1430917671387095e-07, 1.8035994059100035e-07, 1.702679565506717e-07]	ENSBTAT00000061339,ENSBTAT00000067562,ENSBTAT00000085898,ENST00000377122,ENSGGOT00000005469,ENSMMUT00000014819,ENSMMUT00000043169,ENSMODT00000011714,ENSRNOT00000068553,ENSRNOT00000082549,ENSSSCT00000012137	
NEBL	5_11	I	5_10,5_11,1_1	5_10,1_1	monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens	bos_taurus,homo_sapiens,sus_scrofa,rattus_norvegicus	[9.353136677590085e-06, 3.407859405389818e-05, 2.8764216526885188e-05, 3.141205026453223e-06, 9.006517377353735e-05, 0.0003771993383760631]	[1.2277027326491256e-07, 1.0299712189382777e-07, 1.1244563815623336e-06, 1.698776083349595e-05]	ENSBTAT00000061339,ENSBTAT00000067562,ENSBTAT00000075769,ENSBTAT00000085898,ENST00000377122,ENSGGOT00000005469,ENSMMUT00000014819,ENSMMUT00000043169,ENSMODT00000011714,ENSSSCT00000012137,ENSSSCT00000036863,ENSSSCT00000040533,ENSSSCT00000059223,ENSSSCT00000062235,ENSXETT00000036218	ENSRNOT00000082549
