Species	path	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	colon	embryo	female gonad	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland
monodelphis_domestica	3_0,11_0,2_0				3.5125974964110047e-07	8.734785173465215e-07	2.341446369645611e-06			2.168214341067281e-07			6.515115418454976e-06									1.1767383862040321e-07									
bos_taurus	3_0,11_0,2_0				1.8224041474630447e-07	2.9280094733489883e-06		6.475486949037472e-08					2.3575901819667347e-06				3.8331821369417473e-07	1.4470697769309563e-06					2.222628443054219e-06		1.8218927489502134e-07	5.183338401896039e-07			6.11241010521334e-07		
gorilla_gorilla	3_0,11_0,2_0				5.465517224466805e-07		3.0898316974371712e-06				2.5826875017319438e-06						1.5966017011531196e-07						4.4626994124332434e-06						2.3480757781768015e-07		
sus_scrofa	3_0,11_0,2_0				1.561515025600259e-07								3.8468902209226935e-05			2.1986890184805972e-07	2.4267347149340405e-06	1.567194565963075e-05					3.77895138644036e-06								
rattus_norvegicus	3_0,11_0,2_0				8.613401564959201e-07	3.0276416591036955e-06		1.38084701480542e-07					1.3077154503847104e-06				3.309926909550524e-08	6.458757752466852e-06							4.4225246824198295e-08	5.595140554800326e-07			4.0057504894059784e-07		
monodelphis_domestica	3_0,2_0					4.658063440867678e-08							4.644102721952716e-08																		
sus_scrofa	3_0,2_0																1.2616624926665867e-07	9.556064426604117e-08					9.008251828922845e-08								
monodelphis_domestica	16_0,5_2,5_3,5_4					9.467091503155539e-08	8.67797072466629e-08						1.9459415428614736e-06									1.3210673114179714e-07									
bos_taurus	16_0,5_2,5_3,5_4				5.244291696869072e-08	2.5765659127663637e-07		2.2933407576418128e-08					9.198995717104286e-06				7.081314901984173e-08	1.7228589304498786e-06					1.6215952492072093e-07						2.9161141705678515e-07		
gorilla_gorilla	16_0,5_2,5_3,5_4						1.139935887451615e-07				5.414439206985208e-08		6.099050966087033e-07																5.5359474312218044e-08		
sus_scrofa	16_0,5_2,5_3,5_4												6.351096229194663e-05				2.1650954923005688e-07	3.280915453134082e-06					1.7078364485028953e-07								
homo_sapiens	16_0,5_2,5_3,5_4			6.138546684821151e-08	6.083775789264086e-08	7.693676614153336e-08	5.472896280338691e-08			8.820077480121186e-08			1.1908850304301255e-05	4.7367426432514e-06	1.7804376885972654e-07	5.913436463115842e-07		3.1618459324174077e-07		8.685271294945871e-07		1.1286687324697296e-07					1.2871135634175287e-07		8.925129428543925e-08		9.043487184792924e-08
rattus_norvegicus	16_0,5_2,5_3,5_4					1.722817819065525e-07		8.561872558102657e-08					1.9840817759908933e-06					3.0425430473426177e-07								1.4515594402849804e-07					
homo_sapiens	16_0,5_4												4.72404604523574e-08							2.272131888458157e-08											
rattus_norvegicus	16_0,5_4												5.590153032598583e-08																1.0834347229604325e-08		
monodelphis_domestica	5_8,9_4,9_5					6.286530191742499e-08				1.1345585929886415e-07			1.053512929574201e-06									1.4378905901586609e-07							6.722022728282392e-08		
xenopus_tropicalis	5_8,9_4,9_5					1.4018880696629603e-07							7.416636264060649e-06						2.3759804218548923e-07										2.0034963503529779e-07		
bos_taurus	5_8,9_4,9_5				4.800441032221541e-08	5.477341877425674e-07							4.920516796688943e-06				8.520599533780912e-08	2.1596172072972077e-06					2.688254130690348e-07			1.0590983126264059e-07			3.2262534974055867e-07		
gorilla_gorilla	5_8,9_4,9_5						9.627577618104441e-08						7.266651538153356e-07																6.998116474446195e-08		
sus_scrofa	5_8,9_4,9_5												8.966914944969853e-05			1.319213411088358e-07	3.224590555503857e-07	1.1467277311924942e-06					3.4063443995246786e-07								
homo_sapiens	5_8,9_4,9_5			8.771792116346902e-08		1.1326997627472569e-07				2.1856716149058079e-07	1.0406259688701225e-07		1.3226171497802216e-05	4.782781891381721e-06	1.7120953136431343e-07	4.973233800217133e-07		2.2395241566959454e-07		2.482062986056086e-06		2.7398175245491495e-07	5.962962068141035e-08				7.778917394252417e-08		3.181154089678009e-07		1.0434273087401145e-07
rattus_norvegicus	5_8,9_4,9_5				1.370948553288487e-07	2.5041656013205297e-07		9.474443267814435e-08					3.88718742009496e-06					4.6092214653547986e-07								2.4210465901209366e-07			4.8754562533219464e-08		
homo_sapiens	5_8,9_5												1.7798745877570498e-07	1.6137026598131176e-07						3.97355736016843e-08											
sus_scrofa	5_8,9_5												1.0994684619720593e-06				1.2616624926665867e-07														
homo_sapiens	8_0,9_4,9_5												6.504371727393121e-06	2.240392941476906e-06						1.6612749809197484e-06											
sus_scrofa	8_0,9_4,9_5												4.511568882023985e-05																		
homo_sapiens	8_0,9_2,9_3,5_8,9_5												8.42231783904618e-06	3.1584437479942076e-06						1.3827044686115519e-06											
sus_scrofa	8_0,9_2,9_3,5_8,9_5												5.843424996185595e-05																		
homo_sapiens	8_0,9_4,9_5												6.504371727393121e-06	2.240392941476906e-06						1.6612749809197484e-06											
sus_scrofa	8_0,9_4,9_5												4.511568882023985e-05																		
homo_sapiens	8_0,9_3,5_8,9_5																														
sus_scrofa	8_0,9_3,5_8,9_5												3.4808171989251796e-05				2.2952765493251046e-07														
xenopus_tropicalis	9_3,9_4,9_5								1.0334202210257185e-07				4.660772661532486e-06																		
sus_scrofa	9_3,9_4,9_5												4.5078206940854444e-05																		
homo_sapiens	9_3,5_8,9_5												6.238190651550447e-06	3.827603964362806e-06						1.729503574671493e-06											
sus_scrofa	9_3,5_8,9_5												5.1849933149818726e-05				2.4093007673291393e-07														
bos_taurus	8_0,9_3,5_8,9_4				5.5373640368385284e-08	4.701542445817123e-07							4.408143399322587e-06				1.0108746752440646e-07	2.232336202343395e-06					2.2080865406774105e-07			5.3390612679821106e-08			3.3739164739111225e-07		
homo_sapiens	8_0,9_3,5_8,9_4															2.691134106835884e-07											8.840199725162257e-08		7.968331175202918e-08		
