,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,prefrontal cortex,kidney,cerebellum,female gonad,placenta,frontal cortex,multi-cellular organism,adrenal tissue,heart left ventricle,intestine,stomach,thyroid gland,mesonephros,embryo,gastrula,adipose tissue,adrenal gland,muscle of leg,prostate gland,temporal lobe,thoracic mammary gland
0,"3_0,11_0,2_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bos_taurus,1.0,,,,,,,,,,,,,,,,,,,,
1,"3_0,11_0,2_0",1.0,,,,1.0,,,,1.0,gorilla_gorilla,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,
2,"3_0,2_0",,0.05062786921885928,,0.007077745593447105,,,,,,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,
3,"3_0,11_0,2_0",1.0,0.9493721307811407,,0.9929222544065529,,,,,,monodelphis_domestica,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
4,"3_0,11_0,2_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,
5,"3_0,2_0",,,,,0.049420737833502565,0.0060606060606060615,,,,sus_scrofa,0.02328294879481663,,,,,,,,,,,,,,,,,,,,
6,"3_0,11_0,2_0",1.0,,,1.0,0.9505792621664975,0.993939393939394,,,,sus_scrofa,0.9767170512051834,1.0,,,,,,,,,,,,,,,,,,,
7,"16_0,5_2,5_3,5_4",1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,bos_taurus,1.0,,,,,,,,,,,,,,,,,,,,
8,"16_0,5_2,5_3,5_4",,,,1.0,,,,,1.0,gorilla_gorilla,,,1.0,,,1.0,,,,,,,,,,,,,,,
9,"16_0,5_4",,,,0.003951162748916361,,,,,,homo_sapiens,,,,,,,0.025493810312828862,,,,,,,,,,,,,,
10,"16_0,5_2,5_3,5_4",1.0,1.0,,0.9960488372510836,,1.0,,,1.0,homo_sapiens,,1.0,1.0,1.0,1.0,,0.9745061896871712,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
11,"16_0,5_2,5_3,5_4",,1.0,,1.0,,,,,,monodelphis_domestica,,,1.0,,1.0,,,,,,,,,,,,,,,,
12,"16_0,5_4",,,,0.027402935187207073,,,,,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,
13,"16_0,5_2,5_3,5_4",,1.0,1.0,0.972597064812793,,1.0,,1.0,,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,
14,"16_0,5_2,5_3,5_4",,,,1.0,1.0,1.0,,,,sus_scrofa,1.0,,,,,,,,,,,,,,,,,,,,
15,"8_0,9_2,9_3,5_8,9_4,9_5",,,,0.5455589092081925,,0.44543772932040065,,,0.4194126312999294,bos_taurus,0.4444444444444444,,,,,,,,,,,,,,,,,,,,
16,"8_0,9_3,5_8,9_4,9_5",1.0,1.0,,0.45444109079180756,1.0,0.5545622706795994,,1.0,0.5805873687000705,bos_taurus,0.5555555555555556,,,,,,,,,,,,,,,,,,,,
17,"8_0,9_2,9_3,5_8,9_4,9_5",,,,1.0,,,,,,gorilla_gorilla,,,,,,,,,,,,,,,,,,,,,
18,"8_0,9_2,9_3,5_8,9_4,9_5",,1.0,,0.4455046814013878,,1.0,,,,homo_sapiens,1.0,0.5015471817817156,,1.0,1.0,1.0,0.4072118910889288,1.0,0.4494595409249772,1.0,0.518615387568824,1.0,,,,,,,,,
19,"8_0,9_3,5_8,9_4,9_5",,,,,,,,,1.0,homo_sapiens,,0.49845281821828447,,,,,,,,,0.48138461243117603,,,,,,,,,,
20,"8_0,9_2,9_3,5_8,9_5",,,,0.3128715039402222,,,,,,homo_sapiens,,,,,,,0.2692694811909246,,0.3220788423503341,,,,,,,,,,,,
21,"8_0,9_3,5_8,9_5",,,,,,,,,,homo_sapiens,,,,,,,,,,,,,,,,,,,,,
22,"8_0,9_4,9_5",,,,0.24162381465839008,,,,,,homo_sapiens,,,,,,,0.3235186277201466,,0.22846161672468865,,,,,,,,,,,,
23,"8_0,9_2,9_3,5_8,9_4,9_5",,1.0,,1.0,,,,,1.0,monodelphis_domestica,,,,,1.0,,,,,,,,,,,,,,,,
24,"8_0,9_3,5_8,9_4,9_5",0.4846038841981545,0.5157542425398166,0.539346749774496,0.4651230100416656,,0.5314395031948815,,0.5331555908022856,0.662053614701918,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,
25,"8_0,9_2,9_3,5_8,9_4,9_5",0.5153961158018454,0.4842457574601834,0.46065325022550396,0.5348769899583344,,0.46856049680511835,,0.4668444091977143,0.3379463852980819,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,
26,"8_0,9_3,9_4,9_5",,,,0.08040554283137163,,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,
27,"8_0,9_2,9_3,5_8,9_4,9_5",,,,0.21869334913293775,,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,
28,"8_0,9_3,5_8,9_4,9_5",,,,0.187561348743843,0.5680384922127013,1.0,,,,sus_scrofa,1.0,,,,,,,,,,,,,,,,,,,,
29,"8_0,9_2,9_3,5_8,9_5",,,,0.1550962567317811,,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,
30,"8_0,9_3,5_8,9_5",,,,0.09238789207926919,0.43196150778729864,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,
31,"8_0,9_4,9_5",,,,0.11974611568493936,,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,
32,"8_0,9_2,9_3,9_4,9_5",,,,0.14610949479585789,,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,
33,"9_3,9_4,9_5",,,,0.3900607483280076,,,,,,xenopus_tropicalis,,,,,,,,,,,,,,1.0,,,,,,,
34,"9_3,5_8,9_4,9_5",,1.0,,0.6099392516719924,,,,,1.0,xenopus_tropicalis,,,,,,,,,,,,,1.0,,,,,,,,
35,"3_0,13_0,11_0,2_0",,0.25531531691666387,,0.31396985674580913,,,,,,bos_taurus,0.2985972941643952,,,,,,,,,,,,,,,,,,,,
36,"3_0,13_0,4_0,11_0,2_0",,,,0.37857133224869843,,,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,,
37,"3_0,11_0,2_0",1.0,0.7446846830833361,1.0,0.30745881100549227,1.0,1.0,1.0,1.0,1.0,bos_taurus,0.7014027058356048,,,,,,,,,,,,,,,,,,,,
38,"3_0,13_0,11_0,2_0",,,,,,,,,,gorilla_gorilla,,,0.29865427385957555,,,,,,,,,,,,,,,,,,
39,"3_0,11_0,2_0",1.0,,,,1.0,,,,1.0,gorilla_gorilla,1.0,,0.7013457261404245,,,1.0,,,,,,,,,,,,,,,
40,"3_0,13_0,4_0,11_0,2_0",,,,1.0,,,,,,gorilla_gorilla,,,,,,,,,,,,,,,,,,,,,
41,"3_0,11_0",1.0,0.9876591014129295,1.0,0.023601520094015907,,0.9302062834810261,,,1.0,homo_sapiens,1.0,1.0,1.0,1.0,1.0,1.0,0.1906653444990897,0.7180674588230465,0.05690892003659836,0.8144466645815746,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
42,"3_0,13_0,11_0",,0.012340898587070498,,0.26956684851190493,,,,,,homo_sapiens,,,,,,,0.22465101405997392,,,,,,,,,,,,,,
43,"3_0,13_0,4_0,11_0",,,,0.46110748157251336,,0.06979371651897395,,,,homo_sapiens,,,,,,,0.5846836414409364,0.2819325411769535,0.6051805991267237,0.18555333541842536,,,,,,,,,,,
