TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMODT00000011714	ENSMODE00000096206	15_0	ENSMODT00000011714	ENSMODE00000096207	16_0	monodelphis_domestica	12	GSE30352												1.2065475972469356e-07		8.662678095958798e-08															1.8654740793247154e-06																												5.054833826381825e-08				
ENSMODT00000011714	ENSMODE00000096206	15_0	ENSMODT00000011714	ENSMODE00000096207	16_0	monodelphis_domestica	12	GSE43520												4.658063440867678e-08										8.188120764464243e-08																										1.2261481608042852e-07									2.4259174540830836e-08				
ENSMODT00000011714	ENSMODE00000096206	15_0	ENSMODT00000011714	ENSMODE00000096208	5_2	monodelphis_domestica	1	GSE30352																													3.179330384695161e-08																																
ENSMODT00000011714	ENSMODE00000096207	16_0	ENSMODT00000011714	ENSMODE00000096208	5_2	monodelphis_domestica	6	GSE30352												8.589996398051816e-08		8.708555982081276e-08															1.5646866213295755e-06																																
ENSMODT00000011714	ENSMODE00000096207	16_0	ENSMODT00000011714	ENSMODE00000096208	5_2	monodelphis_domestica	6	GSE43520																																																6.605336557089858e-08													
ENSMODT00000011714	ENSMODE00000096207	16_0	ENSMODT00000011714	ENSMODE00000096209	5_3	monodelphis_domestica	1	GSE30352																													6.108875059210272e-08																																
ENSMODT00000011714	ENSMODE00000096208	5_2	ENSMODT00000011714	ENSMODE00000096209	5_3	monodelphis_domestica	9	GSE30352												1.6385149805993275e-07		8.708555982081276e-08															2.7444462300812585e-06																																
ENSMODT00000011714	ENSMODE00000096208	5_2	ENSMODT00000011714	ENSMODE00000096209	5_3	monodelphis_domestica	9	GSE43520																						4.123033675148148e-08																										1.3210673114179716e-07									3.638876181124626e-08				
ENSMODT00000011714	ENSMODE00000096209	5_3	ENSMODT00000011714	ENSMODE00000096210	5_4	monodelphis_domestica	6	GSE30352												3.426128305421522e-08		8.616800209836318e-08															1.5286917771735867e-06																												1.2472355025086896e-07				
ENSMODT00000011714	ENSMODE00000096209	5_3	ENSMODT00000011714	ENSMODE00000096210	5_4	monodelphis_domestica	6	GSE43520																																																1.9816009671269575e-07													
ENSMODT00000011714	ENSMODE00000096210	5_4	ENSMODT00000011714	ENSMODE00000096211	9_0	monodelphis_domestica	9	GSE30352												1.2884994597077724e-07		2.6125667946243824e-07															3.091165586438585e-06																												5.054833826381825e-08				
ENSMODT00000011714	ENSMODE00000096210	5_4	ENSMODT00000011714	ENSMODE00000096211	9_0	monodelphis_domestica	9	GSE43520												4.658063440867678e-08																																				2.6421346228359433e-07									7.27775236224925e-08				
ENSMODT00000011714	ENSMODE00000096211	9_0	ENSMODT00000011714	ENSMODE00000096212	9_1	monodelphis_domestica	12	GSE30352						1.344106255362984e-07						1.4598058749788485e-07		2.594215640175391e-07															2.8717891550881786e-06																												1.2472355025086896e-07				
ENSMODT00000011714	ENSMODE00000096211	9_0	ENSMODT00000011714	ENSMODE00000096212	9_1	monodelphis_domestica	12	GSE43520												4.658063440867678e-08										4.152006968064174e-08																										1.3210673114179716e-07									7.27775236224925e-08				
ENSMODT00000011714	ENSMODE00000096212	9_1	ENSMODT00000011714	ENSMODE00000096213	8_0	monodelphis_domestica	7	GSE30352												6.852256610843045e-08																	1.0289111250977764e-06																												5.054833826381825e-08				
ENSMODT00000011714	ENSMODE00000096212	9_1	ENSMODT00000011714	ENSMODE00000096213	8_0	monodelphis_domestica	7	GSE43520												1.3974190322603035e-07																																				1.3210673114179716e-07									6.064793635207709e-08				
ENSMODT00000011714	ENSMODE00000096213	8_0	ENSMODT00000011714	ENSMODE00000096214	9_2	monodelphis_domestica	10	GSE30352												8.043650648312904e-08		2.1587878410713276e-07															2.97460826373343e-06																												1.2472355025086896e-07				
ENSMODT00000011714	ENSMODE00000096213	8_0	ENSMODT00000011714	ENSMODE00000096214	9_2	monodelphis_domestica	10	GSE43520																						4.0940603822321216e-08																										6.605336557089858e-08									2.4259174540830836e-08				
ENSMODT00000011714	ENSMODE00000096213	8_0	ENSMODT00000011714	ENSMODE00000096215	9_3	monodelphis_domestica	1	GSE30352														8.616800209836318e-08																																															
ENSMODT00000011714	ENSMODE00000096214	9_2	ENSMODT00000011714	ENSMODE00000096215	9_3	monodelphis_domestica	9	GSE30352												1.0278384916264568e-07		1.2971078200876956e-07															1.6156686080963675e-06																												1.2472355025086896e-07				
ENSMODT00000011714	ENSMODE00000096214	9_2	ENSMODT00000011714	ENSMODE00000096215	9_3	monodelphis_domestica	9	GSE43520												4.658063440867678e-08																																				4.7069535448161286e-08									2.4259174540830836e-08				
ENSMODT00000011714	ENSMODE00000096215	9_3	ENSMODT00000011714	ENSMODE00000096216	5_8	monodelphis_domestica	13	GSE30352												1.6385149805993275e-07		8.662678095958798e-08															2.2744157794069357e-06																												8.76359442573436e-08				
ENSMODT00000011714	ENSMODE00000096215	9_3	ENSMODT00000011714	ENSMODE00000096216	5_8	monodelphis_domestica	13	GSE43520												4.658063440867678e-08										6.199037159180234e-08																										1.9816009671269575e-07									3.638876181124626e-08				
ENSMODT00000011714	ENSMODE00000096216	5_8	ENSMODT00000011714	ENSMODE00000096217	9_4	monodelphis_domestica	9	GSE30352												3.426128305421522e-08																	1.1010705230288678e-06																																
ENSMODT00000011714	ENSMODE00000096216	5_8	ENSMODT00000011714	ENSMODE00000096217	9_4	monodelphis_domestica	9	GSE43520												4.658063440867678e-08										4.0940603822321216e-08																										9.890993638040506e-08									4.851834908166167e-08				
ENSMODT00000011714	ENSMODE00000096217	9_4	ENSMODT00000011714	ENSMODE00000253039	9_5	monodelphis_domestica	11	GSE30352												7.74580213894544e-08																	1.0059553361195343e-06																												5.054833826381825e-08				
