TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMODT00000011714	ENSMODE00000096206	15_0	ENSMODT00000011714	ENSMODE00000096207	16_0	monodelphis_domestica	12	GSE30352												0.0		0.0															0.0																												0.0				
ENSMODT00000011714	ENSMODE00000096206	15_0	ENSMODT00000011714	ENSMODE00000096207	16_0	monodelphis_domestica	12	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000096206	15_0	ENSMODT00000011714	ENSMODE00000096208	5_2	monodelphis_domestica	1	GSE30352																													0.0																																
ENSMODT00000011714	ENSMODE00000096207	16_0	ENSMODT00000011714	ENSMODE00000096208	5_2	monodelphis_domestica	6	GSE30352												0.0		0.0															0.0																																
ENSMODT00000011714	ENSMODE00000096207	16_0	ENSMODT00000011714	ENSMODE00000096208	5_2	monodelphis_domestica	6	GSE43520																																																0.0													
ENSMODT00000011714	ENSMODE00000096207	16_0	ENSMODT00000011714	ENSMODE00000096209	5_3	monodelphis_domestica	1	GSE30352																													0.0																																
ENSMODT00000011714	ENSMODE00000096208	5_2	ENSMODT00000011714	ENSMODE00000096209	5_3	monodelphis_domestica	9	GSE30352												0.0		0.0															0.0																																
ENSMODT00000011714	ENSMODE00000096208	5_2	ENSMODT00000011714	ENSMODE00000096209	5_3	monodelphis_domestica	9	GSE43520																						0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000096209	5_3	ENSMODT00000011714	ENSMODE00000096210	5_4	monodelphis_domestica	6	GSE30352												0.0		0.0															0.0																												0.0				
ENSMODT00000011714	ENSMODE00000096209	5_3	ENSMODT00000011714	ENSMODE00000096210	5_4	monodelphis_domestica	6	GSE43520																																																0.0													
ENSMODT00000011714	ENSMODE00000096210	5_4	ENSMODT00000011714	ENSMODE00000096211	9_0	monodelphis_domestica	9	GSE30352												0.0		0.0															0.0																												0.0				
ENSMODT00000011714	ENSMODE00000096210	5_4	ENSMODT00000011714	ENSMODE00000096211	9_0	monodelphis_domestica	9	GSE43520												0.0																																				0.0									0.0				
ENSMODT00000011714	ENSMODE00000096211	9_0	ENSMODT00000011714	ENSMODE00000096212	9_1	monodelphis_domestica	12	GSE30352						0.0						0.0		0.0															0.0																												0.0				
ENSMODT00000011714	ENSMODE00000096211	9_0	ENSMODT00000011714	ENSMODE00000096212	9_1	monodelphis_domestica	12	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000096212	9_1	ENSMODT00000011714	ENSMODE00000096213	8_0	monodelphis_domestica	7	GSE30352												0.0																	0.0																												0.0				
ENSMODT00000011714	ENSMODE00000096212	9_1	ENSMODT00000011714	ENSMODE00000096213	8_0	monodelphis_domestica	7	GSE43520												0.0																																				0.0									0.0				
ENSMODT00000011714	ENSMODE00000096213	8_0	ENSMODT00000011714	ENSMODE00000096214	9_2	monodelphis_domestica	10	GSE30352												0.0		0.0															4.5816562944077034e-08																												0.0				
ENSMODT00000011714	ENSMODE00000096213	8_0	ENSMODT00000011714	ENSMODE00000096214	9_2	monodelphis_domestica	10	GSE43520																						0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000096213	8_0	ENSMODT00000011714	ENSMODE00000096215	9_3	monodelphis_domestica	1	GSE30352														0.0																																															
ENSMODT00000011714	ENSMODE00000096214	9_2	ENSMODT00000011714	ENSMODE00000096215	9_3	monodelphis_domestica	9	GSE30352												0.0		0.0															0.0																												0.0				
ENSMODT00000011714	ENSMODE00000096214	9_2	ENSMODT00000011714	ENSMODE00000096215	9_3	monodelphis_domestica	9	GSE43520												0.0																																				0.0									0.0				
ENSMODT00000011714	ENSMODE00000096215	9_3	ENSMODT00000011714	ENSMODE00000096216	5_8	monodelphis_domestica	13	GSE30352												0.0		0.0															3.054437529605136e-08																												0.0				
ENSMODT00000011714	ENSMODE00000096215	9_3	ENSMODT00000011714	ENSMODE00000096216	5_8	monodelphis_domestica	13	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000096216	5_8	ENSMODT00000011714	ENSMODE00000096217	9_4	monodelphis_domestica	9	GSE30352												0.0																	0.0																																
ENSMODT00000011714	ENSMODE00000096216	5_8	ENSMODT00000011714	ENSMODE00000096217	9_4	monodelphis_domestica	9	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000096217	9_4	ENSMODT00000011714	ENSMODE00000253039	9_5	monodelphis_domestica	11	GSE30352												0.0																	0.0																												0.0				
ENSMODT00000011714	ENSMODE00000096217	9_4	ENSMODT00000011714	ENSMODE00000253039	9_5	monodelphis_domestica	11	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000096217	9_4	ENSMODT00000011714	ENSMODE00000096237	5_9	monodelphis_domestica	1	GSE30352																													0.0																																
ENSMODT00000011714	ENSMODE00000253039	9_5	ENSMODT00000011714	ENSMODE00000253038	9_6	monodelphis_domestica	11	GSE30352												0.0		0.0															1.5896651923475806e-08																												0.0				
ENSMODT00000011714	ENSMODE00000253039	9_5	ENSMODT00000011714	ENSMODE00000253038	9_6	monodelphis_domestica	11	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000253039	9_5				monodelphis_domestica	2	GSE30352																													0.0																																
ENSMODT00000011714	ENSMODE00000253039	9_5				monodelphis_domestica	2	GSE43520																						0.0																																							
ENSMODT00000011714	ENSMODE00000253038	9_6	ENSMODT00000011714	ENSMODE00000253037	9_7	monodelphis_domestica	13	GSE30352												0.0		0.0															0.0																												0.0				
ENSMODT00000011714	ENSMODE00000253038	9_6	ENSMODT00000011714	ENSMODE00000253037	9_7	monodelphis_domestica	13	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000253038	9_6				monodelphis_domestica	1	GSE30352																													0.0																																
ENSMODT00000011714	ENSMODE00000253037	9_7	ENSMODT00000011714	ENSMODE00000253036	9_8	monodelphis_domestica	10	GSE30352												0.0																	2.322051360976358e-08																																
ENSMODT00000011714	ENSMODE00000253037	9_7	ENSMODT00000011714	ENSMODE00000253036	9_8	monodelphis_domestica	10	GSE43520												0.0										2.0470301911160608e-08																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000253037	9_7				monodelphis_domestica	1	GSE30352																													0.0																																
ENSMODT00000011714	ENSMODE00000253037	9_7	ENSMODT00000011714	ENSMODE00000096237	5_9	monodelphis_domestica	3	GSE30352														0.0															6.233767914300297e-08																																
ENSMODT00000011714	ENSMODE00000253036	9_8	ENSMODT00000011714	ENSMODE00000096237	5_9	monodelphis_domestica	15	GSE30352												0.0		0.0															7.948325961737903e-09						0.0																						0.0				
ENSMODT00000011714	ENSMODE00000253036	9_8	ENSMODT00000011714	ENSMODE00000096237	5_9	monodelphis_domestica	15	GSE43520												0.0										0.0																										0.0									0.0				
ENSMODT00000011714	ENSMODE00000096237	5_9	ENSMODT00000011714	ENSMODE00000096223	5_10	monodelphis_domestica	7	GSE30352												1.713064152710761e-08		0.0															3.179330384695161e-08																																
