TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSGGOT00000025486	ENSGGOE00000238041	1_0				gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
ENSGGOT00000053860	ENSGGOE00000312846	1_0				gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
ENSGGOT00000025486	ENSGGOE00000238041	1_0	ENSGGOT00000025486	ENSGGOE00000186377	3_0	gorilla_gorilla	8	GSE30352						9.881872176287477e-08								6.981774015414928e-08																					4.095332627216082e-08														8.565371385509636e-08												
ENSGGOT00000025486	ENSGGOE00000238041	1_0	ENSGGOT00000025486	ENSGGOE00000186377	3_0	gorilla_gorilla	8	GSE43520																									3.2486635241911244e-08																																2.6242936779173225e-08				
ENSGGOT00000053860	ENSGGOE00000312846	1_0	ENSGGOT00000025486	ENSGGOE00000186377	3_0	gorilla_gorilla	8	GSE30352						9.881872176287477e-08								6.981774015414928e-08																					4.095332627216082e-08														8.565371385509636e-08												
ENSGGOT00000053860	ENSGGOE00000312846	1_0	ENSGGOT00000025486	ENSGGOE00000186377	3_0	gorilla_gorilla	8	GSE43520																									3.2486635241911244e-08																																2.6242936779173225e-08				
			ENSGGOT00000025486	ENSGGOE00000186377	3_0	gorilla_gorilla	1	GSE30352																																																									7.422814420954784e-08				
						gorilla_gorilla	1	GSE43520																																																									1.7495291186115485e-08				
						gorilla_gorilla	1	GSE30352																																			4.3995924569515276e-08																										
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	3	GSE43520																																																									3.0670038203519685e-08				
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	3	GSE30611																																																									1.354363539539389e-08				
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	2	GSE43520																						3.605941163084062e-08																																							
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	2	GSE30611			4.394361612192842e-08																																																										
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	1	GSE43520																																																4.47345589946391e-08													
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	2	GSE43520																																																4.47345589946391e-08													
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	2	GSE30611																																																										1.51584260157396e-08			
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	23	GSE30352						1.6243403283203302e-07																																											5.996313945891182e-08								8.211301756553461e-08				
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	23	GSE64283																															9.212693359462988e-08	9.711048716544101e-08																													
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	23	GSE43520																						7.211882326168124e-08																										2.857117796138188e-08													
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	23	GSE30611			2.190515623107078e-08			2.1477404639779236e-08																7.05868675783688e-08																			2.4689207943838735e-08																			2.7826676380292482e-08	
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	10	GSE30352						1.2650825131515808e-07																																																							
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	10	GSE30611																						1.4095823343477926e-08																			1.9757967513474407e-08																				
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	2	GSE30352																									7.7875991517124e-08																																				
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	2	GSE64283																																																						6.881468020820295e-08							
ENST00000375855	ENSE00003641651	1_0				homo_sapiens	1	GSE30352																									7.7875991517124e-08																																				
						homo_sapiens	1	GSE30352														4.26044764012101e-08																																															
						homo_sapiens	1	GSE30611																																																		1.3433652446612684e-08											
						homo_sapiens	1	GSE30611				0.0																																																									
						homo_sapiens	1	GSE43520																																																									6.134007640703937e-08				
						homo_sapiens	2	GSE64283																																																						6.938596749295177e-08							
						homo_sapiens	2	GSE43520																																																									3.0670038203519685e-08				
						homo_sapiens	1	GSE30611																																																										0.0			
						macaca_mulatta	1	GSE43520																																																									2.3810556734151657e-08				
ENSMUST00000021828	ENSMUSE00000400684	1_0	ENSMUST00000021828	ENSMUSE00000117551	3_0	mus_musculus	48	GSE43721												2.805356654599846e-08																							8.533923999211159e-09																						4.652560358931609e-07				
ENSMUST00000021828	ENSMUSE00000400684	1_0	ENSMUST00000021828	ENSMUSE00000117551	3_0	mus_musculus	48	SRP022612																																																													2.0454229111297495e-08
