Species	path	Ammon's horn	adult mammalian kidney	brain	cerebellum	colon	female gonad	frontal cortex	intestine	lung	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	spleen	stomach	temporal lobe	testis	thymus
gorilla_gorilla	2_1,8_0,12_0				6.006224578365325e-06			1.2182488215716716e-06						1.5699693857795966e-06				9.60972581921922e-08	
rattus_norvegicus	2_1,8_0,12_0			4.333705235703871e-07		6.768463225500998e-08												1.8690967080353143e-08	
sus_scrofa	2_1,8_0,12_0													1.4713918772632772e-06					
mus_musculus	2_1,8_0,12_0	4.0255510750239754e-07		2.6384147987188344e-07	2.1896462343943154e-06	8.821507567974519e-08													
gorilla_gorilla	2_1,12_0				2.0945322046244785e-07														
mus_musculus	2_1,12_0			1.671991889959701e-08	1.5842710802284394e-07														
gorilla_gorilla	2_1,8_0,1_0				6.006224578365325e-06			1.2182488215716716e-06						1.5699693857795964e-06				9.60972581921922e-08	
mus_musculus	2_1,8_0,1_0	4.0255510750239754e-07		2.6384147987188344e-07	2.1896462343943154e-06	8.821507567974519e-08													
gorilla_gorilla	2_1,1_0				2.0945322046244787e-07														
mus_musculus	2_1,1_0			1.671991889959701e-08	1.5842710802284394e-07														
mus_musculus	9_1,5_1,3_0	1.3361962028937097e-07		1.4670687564963318e-07	2.1083111050441886e-07	5.674412417615997e-08													
monodelphis_domestica	9_1,5_1,3_0			1.819778694439175e-07	2.1878996928061276e-06		4.152006968064174e-08												
bos_taurus	9_1,5_1,3_0			1.5987102468676783e-07		1.1466703788209064e-08								3.8396297866482484e-07					
gorilla_gorilla	9_1,5_1,3_0				2.4072130644811198e-06			1.6243317620955623e-07						6.701783995246241e-07					
sus_scrofa	9_1,5_1,3_0													2.627494940514254e-07					
homo_sapiens	9_1,5_1,3_0			2.917899377879121e-07	6.124113771663251e-07			2.0173080757226807e-07			9.186152170666868e-08	5.7307706893355014e-08		3.7326878711944223e-07				3.480474983870123e-08	
rattus_norvegicus	9_1,5_1,3_0			2.4140365988114303e-07															
gorilla_gorilla	9_1,3_0		7.373294722829741e-08		3.940598843159017e-06			4.548128933867574e-07						9.133606532032918e-07				4.586171769783167e-08	
sus_scrofa	9_1,3_0													8.651829468915226e-07					
mus_musculus	9_1,3_0	1.7939871321575104e-07		2.2876710023789706e-07	1.140919079180778e-06	4.943074087808904e-08				1.9389719438903403e-08			2.988399332630661e-08		0.0				3.318894923488022e-08
monodelphis_domestica	9_1,3_0			6.921878428827212e-08	2.644640103004169e-06														
homo_sapiens	9_1,3_0			1.8542003638679625e-07	4.220657326795882e-06			4.5330410604766157e-07	1.1619817265132294e-07		4.31703117945568e-08			2.0777926311722925e-07		5.992178661334503e-08	2.1708021895579204e-07	1.5809851255584978e-07	
bos_taurus	9_1,3_0			3.512199291618814e-07		9.992463766028363e-08				1.3212827414523973e-08				6.336843441406567e-07					
rattus_norvegicus	9_1,3_0			2.578554165869195e-07		1.6921158063752494e-08												3.611449076534775e-09	
