,path,prefrontal cortex,Species,brain,colon,testis,cerebellum,frontal cortex,Ammon's horn,female gonad,adult mammalian kidney,lung,placenta,spleen,thymus,intestine,multi-cellular organism,stomach,temporal lobe,muscle of leg
0,"2_1,12_0",,gorilla_gorilla,,,,0.033697567222990395,,,,,,,,,,,,,
1,"2_1,8_0,12_0",1.0,gorilla_gorilla,,,1.0,0.9663024327770096,1.0,,,,,,,,,,,,
2,"2_1,1_0",,gorilla_gorilla,,,,0.0336975672229904,,,,,,,,,,,,,
3,"2_1,8_0,1_0",1.0,gorilla_gorilla,,,1.0,0.9663024327770096,1.0,,,,,,,,,,,,
4,"2_1,12_0",,mus_musculus,0.05959450934023721,,,0.06747110712468442,,,,,,,,,,,,,
5,"2_1,8_0,12_0",,mus_musculus,0.9404054906597628,1.0,,0.9325288928753157,,1.0,,,,,,,,,,,
6,"2_1,1_0",,mus_musculus,0.05959450934023721,,,0.06747110712468442,,,,,,,,,,,,,
7,"2_1,8_0,1_0",,mus_musculus,0.9404054906597628,1.0,,0.9325288928753157,,1.0,,,,,,,,,,,
8,"2_1,8_0,12_0",,rattus_norvegicus,1.0,1.0,1.0,,,,,,,,,,,,,,
9,"2_1,8_0,12_0",1.0,sus_scrofa,,,,,,,,,,,,,,,,,
10,"9_1,3_0",0.6226954367586761,bos_taurus,0.6871965283617387,0.8970592898954246,,,,,,,1.0,,,,,,,,
11,"9_1,5_1,3_0",0.377304563241324,bos_taurus,0.3128034716382612,0.10294071010457544,,,,,,,,,,,,,,,
12,"9_1,3_0",0.5767844194495061,gorilla_gorilla,,,1.0,0.6207806564678087,0.7368421052631579,,,1.0,,,,,,,,,
13,"9_1,5_1,3_0",0.4232155805504939,gorilla_gorilla,,,,0.3792193435321913,0.2631578947368421,,,,,,,,,,,,
14,"9_1,3_0",0.35759394258804755,homo_sapiens,0.388550211481777,,0.8195740735192233,0.8732872601905569,0.6920304500145802,,,,,,,,1.0,0.3197046998118781,1.0,1.0,
15,"9_1,5_1,3_0",0.6424060574119526,homo_sapiens,0.6114497885182231,,0.18042592648077665,0.126712739809443,0.3079695499854198,,,,,,,,,0.6802953001881219,,,1.0
16,"9_1,3_0",,monodelphis_domestica,0.27555615594333877,,,0.5472567665758309,,,,,,,,,,,,,
17,"9_1,5_1,3_0",,monodelphis_domestica,0.7244438440566612,,,0.4527432334241691,,,1.0,,,,,,,,,,
18,"9_1,3_0",,mus_musculus,0.609275515559092,0.46555972407248064,,0.8440310109713997,,0.573125258213719,,,1.0,1.0,,1.0,,,,,
19,"9_1,5_1,3_0",,mus_musculus,0.390724484440908,0.5344402759275193,,0.15596898902860032,,0.4268747417862811,,,,,,,,,,,
20,"9_1,3_0",,rattus_norvegicus,0.5164761718726899,1.0,1.0,,,,,,,,,,,,,,
21,"9_1,5_1,3_0",,rattus_norvegicus,0.48352382812731004,,,,,,,,,,,,,,,,
22,"9_1,3_0",0.7670520994752419,sus_scrofa,,,,,,,,,,,,,,,,,
23,"9_1,5_1,3_0",0.23294790052475806,sus_scrofa,,,,,,,,,,,,,,,,,
