TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						macaca_mulatta	2	GSE30352																																																									8.750828812873939e-08				
						macaca_mulatta	2	GSE43520																																																									2.3810556734151657e-08				
						macaca_mulatta	3	GSE41637																																																									7.798838901907471e-08				
						macaca_mulatta	3	GSE43520																																																									7.143167020245498e-08				
						macaca_mulatta	2	GSE41637																																																									2.6357314382072862e-08				
						macaca_mulatta	2	GSE30352																																																									9.448989723467756e-08				
						macaca_mulatta	11	GSE41637						1.3092777463580214e-08										2.8704309019109175e-08													5.5183021111478756e-08																							5.7420087889483326e-08					4.708843439399853e-07				
						macaca_mulatta	11	GSE30352																																																									2.0562065967208636e-07				
						macaca_mulatta	11	GSE43520																																																									1.3095806203783412e-07				
						macaca_mulatta	11	GSE53690																																													1.6654245375324238e-07																
						macaca_mulatta	15	GSE41637						4.837864021931168e-08						1.4533806926989219e-07				1.4352154509554588e-08																																					5.169325057176183e-08				1.045211003427775e-06				
						macaca_mulatta	15	GSE30352						3.957982062425293e-07								9.232183317186244e-08																																											6.431621003157833e-07				
						macaca_mulatta	15	GSE43520																																																									2.9763195917689575e-07				
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE43721												1.402678327299923e-08																																																	
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE43013												3.3549820770825805e-07																																																	
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	SRP022612																																																													2.8302944686104827e-08
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE30352												8.268070297961186e-08		6.804066272701982e-07																																															
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE30617	1.549896301790503e-07																																																										3.318894923488022e-08		
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE41338												1.2094522076493982e-07																																																	
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE41637												1.7676700377192116e-07				9.083567916474776e-08																																													
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE36026														9.440732872764034e-08																																															
