TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						macaca_mulatta	2	GSE30352																																																									0.0				
						macaca_mulatta	2	GSE43520																																																									0.0				
						macaca_mulatta	3	GSE43520																																																									0.0				
						macaca_mulatta	3	GSE41637																																																									0.0				
						macaca_mulatta	2	GSE30352																																																									0.0				
						macaca_mulatta	2	GSE41637																																																									0.0				
						macaca_mulatta	11	GSE30352																																																									0.0				
						macaca_mulatta	11	GSE43520																																																									0.0				
						macaca_mulatta	11	GSE41637						0.0										0.0													0.0																							0.0					0.0				
						macaca_mulatta	11	GSE53690																																													0.0																
						macaca_mulatta	15	GSE30352						0.0								0.0																																											0.0				
						macaca_mulatta	15	GSE43520																																																									0.0				
						macaca_mulatta	15	GSE41637						0.0						0.0				0.0																																					0.0				0.0				
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE41338												0.0																																																	
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE43520												0.0																																																	
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	SRP022612																																																													0.0
ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001315764	0_4	ENSMUST00000090391/ENSMUST00000111086	ENSMUSE00001268987	9_1	mus_musculus	24	GSE30617	0.0																																																										0.0		
