,path,adipose tissue,adrenal gland,adrenal tissue,adult mammalian kidney,brain,colon,female gonad,frontal cortex,heart,heart left ventricle,intestine,kidney,leukocyte,lung,lymph node,multi-cellular organism,muscle of leg,placenta,prefrontal cortex,stomach,testis,liver,Species
0,"4_0,30_1",,,,0.2958303773397711,,,,0.6,,,,,,,,,,,0.3111866630815489,,0.8598374082269791,0.2999999999999999,gorilla_gorilla
1,"4_0,17_0,30_1",,,,0.704169622660229,,,,,1.0,,,,,,,,,,0.41084667921457896,,0.14016259177302093,0.23142295509644908,gorilla_gorilla
2,"4_0,17_0,7_0,30_1",,,,,,,,,,,,,,,,,,,,,,0.1542819700642994,gorilla_gorilla
3,"4_0,4_2,4_3,4_4,17_0,30_1",,,,,,,,0.4,,,,,,,,,,,0.27796665770387213,,,0.1795971856224294,gorilla_gorilla
4,"4_0,4_2,4_3,4_4,17_0,7_0,30_1",,,,,,,,,,,,,,,,,,,,,,0.13469788921682205,gorilla_gorilla
5,"4_0,30_1",1.0,0.050434988266603975,0.5960370861708166,1.0,1.0,1.0,0.6082888661516086,1.0,0.33347243487261075,1.0,0.40856824408868536,0.612355026761568,0.2866088717517664,0.27416262057907415,0.27636186963736986,0.20039336446178266,0.19680258588290508,0.43477252075795747,1.0,0.2471204801690522,1.0,,homo_sapiens
6,"4_0,17_0,30_1",,0.0334157558969476,0.4039629138291833,,,,0.19056149318185606,,0.17363079434327627,,0.19593722880229575,0.2202984844376886,0.2187052509471574,0.20847211978707297,0.1418923579608795,0.2998714696967165,0.17355046717668382,0.3323597193529235,,0.184631758575974,,0.5031506991007745,homo_sapiens
7,"4_0,17_0,7_0,30_1",,0.2018783328091637,,,,,0.20114964066653535,,0.17950375045967185,,0.15115134854952098,,0.22149857359644223,0.20711015302476352,0.2513402764461851,0.22856953304456373,0.20970640792707979,0.232867759889119,,0.16465174311000838,,0.4968493008992255,homo_sapiens
8,"4_0,4_2,4_3,4_4,17_0,30_1",,0.3311828864965062,,,,,,,0.15176034551504303,,0.13082758945628858,0.16734648880074338,0.12366628513193194,0.14809060099088758,0.12162655291506645,0.1426709816353557,0.1996776952322076,,,0.21281319434311208,,,homo_sapiens
9,"4_0,4_2,4_3,4_4,17_0,7_0,30_1",,0.38308803653077855,,,,,,,0.16163267480939805,,0.11351558910320929,,0.14952101857270192,0.16216450561820184,0.20877894304049893,0.12849465116158132,0.2202628437811236,,,0.19078282380185335,,,homo_sapiens
