TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000013320	ENSBTAE00000108704	7_1	ENSBTAT00000013320	ENSBTAE00000108705	2_0	bos_taurus	27	GSE41637						5.484564503064481e-07						1.6675702974472583e-07				1.962460092436095e-06													1.4512431779597879e-07						1.141988934218972e-06	6.683708464728336e-06																3.205422001232356e-08	1.701422633623569e-05				1.3714841985787062e-07				
ENSBTAT00000013320	ENSBTAE00000108704	7_1	ENSBTAT00000013320	ENSBTAE00000108705	2_0	bos_taurus	27	GSE43013						3.5658058242642394e-07																													1.9019233278247585e-07														2.463947797556944e-07												
ENSBTAT00000013320	ENSBTAE00000108705	2_0				bos_taurus	1	GSE41637																													9.67495451973192e-09																																
ENSBTAT00000013320	ENSBTAE00000108705	2_0	ENSBTAT00000013320	ENSBTAE00000253299	5_0	bos_taurus	29	GSE41637						4.107923980353832e-07						1.0181106832526582e-07				1.6430249357711914e-06													9.678281849594346e-08						1.0863143061458738e-06	4.828116286040175e-06																7.382222821225984e-08	1.4231124740490532e-05				2.3537831799325383e-07				
ENSBTAT00000013320	ENSBTAE00000108705	2_0	ENSBTAT00000013320	ENSBTAE00000253299	5_0	bos_taurus	29	GSE43013						3.8184751381287653e-07																													2.6723952798312063e-07														2.975670311316011e-07												
ENSBTAT00000013320	ENSBTAE00000253299	5_0	ENSBTAT00000013320	ENSBTAE00000108711	18_0	bos_taurus	27	GSE41637						2.9455973395320206e-07						2.16164919716333e-07				7.721606106847998e-07													1.103111831056648e-07						8.5223347165329e-07	4.145244574815081e-06																9.61626600369707e-08	2.2673692109102324e-05				2.4401875562318344e-07				
ENSBTAT00000013320	ENSBTAE00000253299	5_0	ENSBTAT00000013320	ENSBTAE00000108711	18_0	bos_taurus	27	GSE43013						3.928603721619207e-07																													4.261852288226822e-07														1.6963640269183436e-07												
ENSBTAT00000013320	ENSBTAE00000108711	18_0				bos_taurus	3	GSE41637																																			1.267318140005324e-08																		7.688246267456994e-08								
ENSBTAT00000013320	ENSBTAE00000108711	18_0	ENSBTAT00000013320	ENSBTAE00000108715	15_0	bos_taurus	26	GSE41637						2.363357365498837e-07						4.591043047375575e-08				6.552452629565642e-07													5.7098933247139236e-08						6.50117013798265e-07	3.308417524553542e-06																6.896533411845348e-08	1.7714946236586553e-05				1.830140667173876e-07				
ENSBTAT00000013320	ENSBTAE00000108711	18_0	ENSBTAT00000013320	ENSBTAE00000108715	15_0	bos_taurus	26	GSE43013						1.9565302171489235e-07																													1.492430799630174e-07														2.558612568795335e-07												
ENSBTAT00000013320	ENSBTAE00000108715	15_0				bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000013320	ENSBTAE00000108715	15_0	ENSBTAT00000013320	ENSBTAE00000253298	3_1	bos_taurus	25	GSE41637						5.374652192292829e-07						9.276574475731584e-08				9.100039723444653e-07													4.2586501467541354e-08						7.121327400443376e-07	3.832432667637284e-06																	2.8053656287634352e-05				8.540656446811421e-08				
ENSBTAT00000013320	ENSBTAE00000108715	15_0	ENSBTAT00000013320	ENSBTAE00000253298	3_1	bos_taurus	25	GSE43013						4.985910839041391e-07																													5.296277455279691e-07														2.0468900550362682e-07												
ENSBTAT00000013320	ENSBTAE00000253298	3_2				bos_taurus	4	GSE41637																1.1466703788209064e-08																			1.267318140005324e-08	2.6425654829047946e-08																	1.8076738570036238e-07								
ENSBTAT00000013320	ENSBTAE00000253298	3_2	ENSBTAT00000013320	ENSBTAE00000108724	13_0	bos_taurus	31	GSE41637						5.269411263073166e-07						2.168149098326954e-07				1.7410028044415123e-06													9.001048019494867e-08						1.202253689058754e-06	6.2436380106802965e-06																1.2713763081486226e-07	3.580017524811143e-05				2.96029236526208e-07				
ENSBTAT00000013320	ENSBTAE00000253298	3_2	ENSBTAT00000013320	ENSBTAE00000108724	13_0	bos_taurus	31	GSE43013						5.885133938768131e-07																													7.753232624447197e-07														3.0072252350621416e-07												
ENSBTAT00000013320	ENSBTAE00000108724	13_0				bos_taurus	1	GSE41637																																																					1.2911956121454455e-08								
ENSBTAT00000013320	ENSBTAE00000108724	13_0	ENSBTAT00000013320	ENSBTAE00000108727	6_1	bos_taurus	31	GSE41637						6.251971648335188e-07						2.5188427436601447e-07				1.7279621759033786e-06													6.582309389561888e-08						1.4077867254324934e-06	6.572148627902863e-06																5.506978449610266e-08	3.348334188889222e-05				2.5374248579760165e-07				
ENSBTAT00000013320	ENSBTAE00000108724	13_0	ENSBTAT00000013320	ENSBTAE00000108727	6_1	bos_taurus	31	GSE43013						8.10987675710294e-07																													4.838271822702386e-07														3.4242829775828173e-07												
ENSBTAT00000013320	ENSBTAE00000108727	6_3				bos_taurus	1	GSE41637																																																					1.9367934182181685e-07								
ENSBTAT00000013320	ENSBTAE00000108727	6_3				bos_taurus	1	GSE41637																																																					6.455978060727228e-08								
ENSBTAT00000013320	ENSBTAE00000108727	6_3	ENSBTAT00000013320	ENSBTAE00000108741	37_1	bos_taurus	22	GSE41637						1.6255715219190438e-07						1.338723265244574e-08				5.095594593008998e-07													2.902486355919576e-08						2.3452013583843358e-07	2.267385695074809e-06																2.1369480008215712e-08	1.2417529805065867e-05				1.7437362908745798e-07				
ENSBTAT00000013320	ENSBTAE00000108727	6_3	ENSBTAT00000013320	ENSBTAE00000108741	37_1	bos_taurus	22	GSE43013						5.364252023717719e-07																													5.24776435089697e-07														2.88100554007762e-07												
ENSBTAT00000013320	ENSBTAE00000108727	6_3	ENSBTAT00000013320	ENSBTAE00000108773	9_0	bos_taurus	1	GSE41637																1.1466703788209064e-08																																													
ENSBTAT00000013320	ENSBTAE00000108741	37_1	ENSBTAT00000013320	ENSBTAE00000108745	28_1	bos_taurus	29	GSE41637						2.7246089258095856e-07						7.268489577864722e-08				9.042370498635658e-07													6.388801641646078e-08						6.26344989898225e-07	3.6805257064602316e-06																3.156874410407599e-08	2.0784099693905186e-05				2.202785532418366e-07				
