TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000013320	ENSBTAE00000108704	7_1	ENSBTAT00000013320	ENSBTAE00000108705	2_0	bos_taurus	27	GSE43013						5.3642520237177185e-08																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000108704	7_1	ENSBTAT00000013320	ENSBTAE00000108705	2_0	bos_taurus	27	GSE41637						4.0783430116491336e-08						0.0				9.337324479308769e-08													0.0						7.777826389192711e-08	2.6809123003001644e-07																0.0	1.9326299373960565e-06				5.2478782828102594e-08				
ENSBTAT00000013320	ENSBTAE00000108705	2_0				bos_taurus	1	GSE41637																													0.0																																
ENSBTAT00000013320	ENSBTAE00000108705	2_0	ENSBTAT00000013320	ENSBTAE00000253299	5_0	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000108705	2_0	ENSBTAT00000013320	ENSBTAE00000253299	5_0	bos_taurus	29	GSE41637						2.0391715058245668e-08						0.0				4.259111871923829e-08													0.0						5.833369791894532e-08	1.6344321129036206e-07																0.0	8.568338656892552e-07				0.0				
ENSBTAT00000013320	ENSBTAE00000253299	5_0	ENSBTAT00000013320	ENSBTAE00000108711	18_0	bos_taurus	27	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000253299	5_0	ENSBTAT00000013320	ENSBTAE00000108711	18_0	bos_taurus	27	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	6.377408186839656e-08				0.0				
ENSBTAT00000013320	ENSBTAE00000108711	18_0				bos_taurus	3	GSE41637																																			0.0																		0.0								
ENSBTAT00000013320	ENSBTAE00000108711	18_0	ENSBTAT00000013320	ENSBTAE00000108715	15_0	bos_taurus	26	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000108711	18_0	ENSBTAT00000013320	ENSBTAE00000108715	15_0	bos_taurus	26	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000013320	ENSBTAE00000108715	15_0				bos_taurus	1	GSE41637																																																					0.0								
ENSBTAT00000013320	ENSBTAE00000108715	15_0	ENSBTAT00000013320	ENSBTAE00000253298	3_1	bos_taurus	25	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000108715	15_0	ENSBTAT00000013320	ENSBTAE00000253298	3_1	bos_taurus	25	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																	0.0				0.0				
ENSBTAT00000013320	ENSBTAE00000253298	3_2				bos_taurus	4	GSE41637																0.0																			0.0	0.0																	0.0								
ENSBTAT00000013320	ENSBTAE00000253298	3_2	ENSBTAT00000013320	ENSBTAE00000108724	13_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000253298	3_2	ENSBTAT00000013320	ENSBTAE00000108724	13_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000013320	ENSBTAE00000108724	13_0				bos_taurus	1	GSE41637																																																					0.0								
ENSBTAT00000013320	ENSBTAE00000108724	13_0	ENSBTAT00000013320	ENSBTAE00000108727	6_1	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000108724	13_0	ENSBTAT00000013320	ENSBTAE00000108727	6_1	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	8.607970747636303e-09				0.0				
ENSBTAT00000013320	ENSBTAE00000108727	6_3				bos_taurus	1	GSE41637																																																					0.0								
ENSBTAT00000013320	ENSBTAE00000108727	6_3				bos_taurus	1	GSE41637																																																					0.0								
ENSBTAT00000013320	ENSBTAE00000108727	6_3	ENSBTAT00000013320	ENSBTAE00000108741	37_1	bos_taurus	22	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000108727	6_3	ENSBTAT00000013320	ENSBTAE00000108741	37_1	bos_taurus	22	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000013320	ENSBTAE00000108727	6_3	ENSBTAT00000013320	ENSBTAE00000108773	9_0	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000013320	ENSBTAE00000108741	37_1	ENSBTAT00000013320	ENSBTAE00000108745	28_1	bos_taurus	29	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000108741	37_1	ENSBTAT00000013320	ENSBTAE00000108745	28_1	bos_taurus	29	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000013320	ENSBTAE00000108741	37_1				bos_taurus	2	GSE41637																																				0.0																	0.0								
ENSBTAT00000013320	ENSBTAE00000322275	21_2	ENSBTAT00000013320	ENSBTAE00000322274	32_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000322275	21_2	ENSBTAT00000013320	ENSBTAE00000322274	32_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	4.3039853738181516e-09				0.0				
ENSBTAT00000013320	ENSBTAE00000322274	32_0				bos_taurus	2	GSE43013																																			0.0																										
ENSBTAT00000013320	ENSBTAE00000322274	32_0				bos_taurus	2	GSE41637																0.0																																													
ENSBTAT00000013320	ENSBTAE00000322274	32_0	ENSBTAT00000013320	ENSBTAE00000322273	23_0	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000322274	32_0	ENSBTAT00000013320	ENSBTAE00000322273	23_0	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000013320	ENSBTAE00000322273	23_0	ENSBTAT00000013320	ENSBTAE00000322272	22_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000322273	23_0	ENSBTAT00000013320	ENSBTAE00000322272	22_0	bos_taurus	32	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	4.3039853738181516e-09				0.0				
ENSBTAT00000013320	ENSBTAE00000322272	22_0	ENSBTAT00000013320	ENSBTAE00000322271	22_1	bos_taurus	30	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000322272	22_0	ENSBTAT00000013320	ENSBTAE00000322271	22_1	bos_taurus	30	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	4.3039853738181516e-09				0.0				
ENSBTAT00000013320	ENSBTAE00000322271	22_2	ENSBTAT00000013320	ENSBTAE00000322270	25_0	bos_taurus	31	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000013320	ENSBTAE00000322271	22_2	ENSBTAT00000013320	ENSBTAE00000322270	25_0	bos_taurus	31	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	8.607970747636303e-09				0.0				
ENSBTAT00000013320	ENSBTAE00000322271	22_2				bos_taurus	1	GSE41637																																																					0.0								
ENSBTAT00000013320	ENSBTAE00000322270	25_0				bos_taurus	1	GSE43013																																			0.0																										
ENSBTAT00000013320	ENSBTAE00000322270	25_0	ENSBTAT00000013320	ENSBTAE00000322269	14_0	bos_taurus	32	GSE43013						0.0																													0.0														0.0												
