Species	path	Ammon's horn	adipose tissue	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	female gonad	frontal cortex	gastrula	heart	intestine	kidney	liver	lung	mesonephros	multi-cellular organism	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland	zone of skin
mus_musculus	3_6,2_0,1_1	0.00011920598138187607			8.694609901425712e-08	9.81022166774024e-05	5.4084254913058055e-05	5.01225559237804e-06	1.1866583782905618e-07		6.669590525357835e-08			1.639572527605845e-07			8.878562357657874e-08							2.391037424067684e-07							2.1988117046858738e-07
bos_taurus	3_6,2_0,1_1				8.925595055484948e-08	0.0001515576548947494			3.47529058898557e-07													5.4855419979461285e-05			1.0163037857402434e-07						
gorilla_gorilla	3_6,2_0,1_1				7.373294722829741e-08		5.8840910062232766e-05					5.3895327866330756e-05					1.0238331568040205e-07					0.0001228997279391695						1.4851971008481718e-07			
sus_scrofa	3_6,2_0,1_1																	7.644851541283297e-07				0.00010916626713613407									
ornithorhynchus_anatinus	3_6,2_0,1_1					4.457897039184207e-05	9.417785773566803e-05				4.032548680179339e-07			1.5479175008985984e-07																	
homo_sapiens	3_6,2_0,1_1			3.0265023342434834e-07	6.164130170504301e-08	6.350785268424358e-05	4.673902314595631e-05		2.0891412087803906e-07		1.0708607401422763e-07	0.00010530432400556297			3.219705710643521e-07	1.621440944370601e-07		1.3723711746514235e-07		4.878272223852221e-06	1.789382359785564e-07	4.155205666384305e-05	1.493935212993979e-07			2.5855939213162e-07	2.5506925727305565e-05	2.5799952971591203e-07			
gorilla_gorilla	3_6,1_1																					1.322978410712209e-07									
mus_musculus	3_6,1_1	5.3285771428018984e-08				9.049725316938221e-08	3.45077065025701e-08																								
ornithorhynchus_anatinus	3_6,1_1					1.1243985662344122e-07	1.0791138409921209e-07																								
homo_sapiens	3_6,1_1						1.226183289843073e-07					4.965226852200247e-08								2.1347228481282657e-08		5.9296101903908886e-08									
bos_taurus	3_6,1_1					1.338723265244574e-07																									
mus_musculus	3_0,2_0,1_1	5.978099392820997e-05			4.7895911050947115e-08	6.137526053808751e-05	2.9573847994366336e-05	3.7056735012868577e-06	1.1337889800713728e-07					7.994858181144932e-08			8.308850039896187e-08	3.802531084830981e-08						1.4533756891391805e-07							8.214311748176605e-08
monodelphis_domestica	3_0,2_0,1_1					0.00011469363498135783	0.00010811291349287422							4.6441027219527174e-08																	
xenopus_tropicalis	3_0,2_0,1_1					0.00018605858200374813				4.556473299329672e-06			1.0314930151793851e-05	5.162506486165155e-07			5.157929852311082e-08		4.4210321931390024e-07					7.259812023139247e-08				4.0402532536906155e-07			
bos_taurus	3_0,2_0,1_1				4.3260323464514415e-08	8.333285856585908e-05			6.689024271226977e-07													2.9403192686013097e-05			1.059343639478425e-07			1.3867473776654863e-07			
gorilla_gorilla	3_0,2_0,1_1				7.373294722829741e-08		2.6680027435749577e-05					3.009886755163077e-05										7.097851298120698e-05						1.474579652185457e-07			
sus_scrofa	3_0,2_0,1_1				1.2859074657558556e-07													1.9112128853208245e-07				5.6243521699538384e-05									
homo_sapiens	3_0,2_0,1_1		2.197180806096421e-08	4.891542795645665e-07	4.5424755666751324e-08	3.240202073180178e-05	3.3074535257663925e-05		3.371717518638015e-07		2.250971362879465e-07	5.594337798978931e-05		1.965434870595163e-07	5.904683310848583e-07	4.0752409199211905e-07		2.154336967687306e-07		6.102255596156528e-07	1.1183639748659775e-07	2.326418221615592e-05	2.793545234012884e-07			4.17280868874002e-07	2.4638604851482397e-05	2.8959326394538217e-07			
rattus_norvegicus	3_0,2_0,1_1				6.068938160979435e-08	8.582416496564178e-05			2.072256877079771e-07					1.626272188015198e-07																	
monodelphis_domestica	3_0,1_1					6.053008535222827e-08																									
mus_musculus	3_0,1_1	1.0054511034297998e-07				3.4334761966751554e-08		2.9527278894716e-08																							
mus_musculus	3_0,2_0,1_1	5.978099392820997e-05			4.7895911050947115e-08	6.137526053808751e-05	2.9573847994366336e-05	3.7056735012868577e-06	1.1337889800713728e-07					7.994858181144932e-08			8.308850039896187e-08	3.802531084830981e-08						1.4533756891391805e-07							8.214311748176605e-08
monodelphis_domestica	3_0,2_0,1_1					0.00011469363498135783	0.00010811291349287422							4.6441027219527174e-08																	
xenopus_tropicalis	3_0,2_0,1_1					0.00018605858200374813				4.556473299329672e-06			1.0314930151793851e-05	5.162506486165155e-07			5.157929852311082e-08		4.4210321931390024e-07					7.259812023139247e-08				4.0402532536906155e-07			
bos_taurus	3_0,2_0,1_1				4.3260323464514415e-08	8.333285856585908e-05			6.689024271226977e-07													2.9403192686013097e-05			1.059343639478425e-07			1.3867473776654863e-07			
gorilla_gorilla	3_0,2_0,1_1				7.373294722829741e-08		2.6680027435749577e-05					3.009886755163077e-05										7.097851298120698e-05						1.474579652185457e-07			
sus_scrofa	3_0,2_0,1_1				1.2859074657558556e-07													1.9112128853208245e-07				5.6243521699538384e-05									
homo_sapiens	3_0,2_0,1_1		2.197180806096421e-08	4.891542795645665e-07	4.5424755666751324e-08	3.240202073180178e-05	3.3074535257663925e-05		3.371717518638015e-07		2.250971362879465e-07	5.594337798978931e-05		1.965434870595163e-07	5.904683310848583e-07	4.0752409199211905e-07		2.154336967687306e-07		6.102255596156528e-07	1.1183639748659775e-07	2.326418221615592e-05	2.793545234012884e-07			4.17280868874002e-07	2.4638604851482397e-05	2.8959326394538217e-07			
rattus_norvegicus	3_0,2_0,1_1				6.068938160979435e-08	8.582416496564178e-05			2.072256877079771e-07					1.626272188015198e-07																	
gorilla_gorilla	3_0,3_1,3_2,3_3,3_5,3_6,1_1																					9.448808791572166e-08									
homo_sapiens	3_0,3_1,3_2,3_3,3_5,3_6,1_1						4.728161813285469e-08					1.885638817257993e-07								1.6634022246909898e-08		5.985196653307801e-08									
bos_taurus	3_0,3_1,3_2,3_3,3_5,3_6,1_1					6.681462609330247e-08																									
mus_musculus	3_0,3_1,3_2,3_3,3_5,3_6,1_1	6.218350347911109e-08				4.616194978874118e-08	9.237908153770485e-08																								
gorilla_gorilla	6_0,2_0,1_1				1.1059942084244612e-07		2.5158253021428816e-05															6.651198774958529e-05						1.3433649682895908e-07			
homo_sapiens	6_0,2_0,1_1						3.26183402939687e-05					5.2657403326572e-05								3.865951381684034e-07						2.5861018005199996e-07					
xenopus_tropicalis	6_0,2_0,1_1					0.00013016327508601983				2.4514010769390157e-06			5.408665240770423e-06																		
gorilla_gorilla	6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1																					1.582300181818087e-06									
homo_sapiens	6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1						6.349245863554777e-07					6.971490027878822e-06								5.613260817109646e-07		1.4031722795052053e-06									
bos_taurus	6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1					1.914466187071022e-06																									
mus_musculus	6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	1.4659638985564866e-06				1.420544946519582e-06	1.691874641914773e-07																								
gorilla_gorilla	6_0,2_0,1_1				1.1059942084244612e-07		2.5158253021428816e-05															6.651198774958529e-05						1.3433649682895908e-07			
homo_sapiens	6_0,2_0,1_1						3.26183402939687e-05					5.2657403326572e-05								3.865951381684034e-07						2.5861018005199996e-07					
xenopus_tropicalis	6_0,2_0,1_1					0.00013016327508601983				2.4514010769390157e-06			5.408665240770423e-06																		
mus_musculus	6_0,3_1,3_2,3_3,3_5,3_6,1_1	9.294585994521952e-05				0.00017013876397504123	5.720215723914708e-05																								
bos_taurus	6_0,3_1,3_2,3_3,3_5,3_6,1_1					0.0001797733515458191																									
gorilla_gorilla	6_0,3_1,3_2,3_3,3_5,3_6,1_1																					0.00010251289576440724									
ornithorhynchus_anatinus	6_0,3_1,3_2,3_3,3_5,3_6,1_1					4.1908231744414524e-05	0.00011132645900561085																								
homo_sapiens	6_0,3_1,3_2,3_3,3_5,3_6,1_1						3.2355440036665354e-05					0.00046103841913714365								3.217777990327927e-05		4.505369344141801e-05									
homo_sapiens	7_0,2_0,1_1			2.9247438502021216e-07		2.8296630604807272e-05												1.4020008845542632e-07					1.6966365988138554e-07					1.673787630803699e-07			
ornithorhynchus_anatinus	7_0,2_0,1_1										3.8915835826233097e-07						5.3255239849617856e-08														
gorilla_gorilla	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1																					2.1043481139483044e-05									
homo_sapiens	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1						9.488946584829063e-06					5.004310921173671e-05								3.34884513423768e-06		1.0724585335206563e-05									
bos_taurus	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1					1.2818696892944925e-05																									
mus_musculus	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	1.493558882032895e-05				1.932339155278508e-05	9.482199862283843e-06																								
homo_sapiens	7_0,2_0,1_1			2.9247438502021216e-07		2.8296630604807272e-05												1.4020008845542632e-07					1.6966365988138554e-07					1.673787630803699e-07			
ornithorhynchus_anatinus	7_0,2_0,1_1										3.8915835826233097e-07						5.3255239849617856e-08														
homo_sapiens	7_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1																			1.6509166784919018e-08											
bos_taurus	7_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1																														
