	Specie	group	tissue	delta_psi	new_path	alt_path	gene
0	bos_taurus	1.0	brain	0.3652136676891068	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	SNAP-25
1	homo_sapiens	1.0	multi-cellular organism	0.4528219058569653	3_6,1_1	7_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	SNAP-25
2	homo_sapiens	1.0	multi-cellular organism	0.3054668992697948	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	SNAP-25
3	homo_sapiens	1.0	multi-cellular organism	0.3991060120493504	3_6,1_1	7_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1	SNAP-25
4	homo_sapiens	1.0	multi-cellular organism	0.2919651855411369	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1	SNAP-25
5	homo_sapiens	1.0	frontal cortex	0.29853204581942794	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	SNAP-25
6	homo_sapiens	1.0	frontal cortex	0.26577283602683266	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1	SNAP-25
7	homo_sapiens	1.0	prefrontal cortex	0.2231394235117413	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	SNAP-25
8	mus_musculus	1.0	Ammon's horn	0.25035307117141603	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	SNAP-25
9	mus_musculus	1.0	brain	0.3452434459981183	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	SNAP-25
10	mus_musculus	1.0	brain	0.20524816796440404	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1	SNAP-25
11	mus_musculus	1.0	cerebellum	0.2798144301821702	3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	SNAP-25
12	homo_sapiens	1.0	multi-cellular organism	0.4440998515860865	3_6,1_1	7_0,3_0,2_0,1_1	SNAP-25
13	homo_sapiens	1.0	multi-cellular organism	0.2790174636783798	3_6,1_1	7_0,6_0,2_0,1_1	SNAP-25
14	homo_sapiens	1.0	frontal cortex	0.22096685589114426	3_6,1_1	7_0,6_0,2_0,1_1	SNAP-25
15	bos_taurus	1.0	brain	0.3652136676891068	6_0,3_1,3_2,3_3,3_5,3_6,1_1	7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,1_1	SNAP-25
