TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000010961	ENSBTAE00000089042	4_1	ENSBTAT00000010961	ENSBTAE00000089043	7_0	bos_taurus	16	GSE41637						7.122686063534459e-08						0.0001609421492168238				5.069926221417053e-07																			1.267318140005324e-08																		1.038271788103895e-07				3.0058429891607014e-07				
ENSBTAT00000010961	ENSBTAE00000089042	4_1	ENSBTAT00000010961	ENSBTAE00000089043	7_0	bos_taurus	16	GSE43013																																																	5.153190375844297e-05												
ENSBTAT00000010961	ENSBTAE00000089042	4_1	ENSBTAT00000068441	ENSBTAE00000089043	7_0	bos_taurus	16	GSE41637						7.122686063534459e-08						0.0001609421492168238				5.069926221417053e-07																			1.267318140005324e-08																		1.038271788103895e-07				3.0058429891607014e-07				
ENSBTAT00000010961	ENSBTAE00000089042	4_1	ENSBTAT00000068441	ENSBTAE00000089043	7_0	bos_taurus	16	GSE43013																																																	5.153190375844297e-05												
ENSBTAT00000068441	ENSBTAE00000089042	4_1	ENSBTAT00000010961	ENSBTAE00000089043	7_0	bos_taurus	16	GSE41637						7.122686063534459e-08						0.0001609421492168238				5.069926221417053e-07																			1.267318140005324e-08																		1.038271788103895e-07				3.0058429891607014e-07				
ENSBTAT00000068441	ENSBTAE00000089042	4_1	ENSBTAT00000010961	ENSBTAE00000089043	7_0	bos_taurus	16	GSE43013																																																	5.153190375844297e-05												
ENSBTAT00000068441	ENSBTAE00000089042	4_1	ENSBTAT00000068441	ENSBTAE00000089043	7_0	bos_taurus	16	GSE41637						7.122686063534459e-08						0.0001609421492168238				5.069926221417053e-07																			1.267318140005324e-08																		1.038271788103895e-07				3.0058429891607014e-07				
ENSBTAT00000068441	ENSBTAE00000089042	4_1	ENSBTAT00000068441	ENSBTAE00000089043	7_0	bos_taurus	16	GSE43013																																																	5.153190375844297e-05												
ENSBTAT00000010961	ENSBTAE00000089043	7_0				bos_taurus	3	GSE41637												8.607212843109296e-08																																													5.24787828281026e-08				
ENSBTAT00000068441	ENSBTAE00000089043	7_0				bos_taurus	3	GSE41637												8.607212843109296e-08																																													5.24787828281026e-08				
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						7.110095691997307e-08						8.914831183406226e-05				9.05869599268516e-07																																					5.730174868420141e-08				6.573224123637088e-08				
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						1.0728504047435437e-07																																											7.473684776203177e-05												
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						7.110095691997307e-08						8.914831183406226e-05				9.05869599268516e-07																																					5.730174868420141e-08				6.573224123637088e-08				
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						1.0728504047435437e-07																																											7.473684776203177e-05												
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						7.110095691997307e-08						8.914831183406226e-05				9.05869599268516e-07																																					5.730174868420141e-08				6.573224123637088e-08				
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						1.0728504047435437e-07																																											7.473684776203177e-05												
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						7.110095691997307e-08						8.914831183406226e-05				9.05869599268516e-07																																					5.730174868420141e-08				6.573224123637088e-08				
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						1.0728504047435437e-07																																											7.473684776203177e-05												
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						7.110095691997307e-08						8.914831183406226e-05				9.05869599268516e-07																																					5.730174868420141e-08				6.573224123637088e-08				
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						1.0728504047435437e-07																																											7.473684776203177e-05												
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						7.110095691997307e-08						8.914831183406226e-05				9.05869599268516e-07																																					5.730174868420141e-08				6.573224123637088e-08				
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						1.0728504047435437e-07																																											7.473684776203177e-05												
ENSBTAT00000010961	ENSBTAE00000089043	7_0				bos_taurus	1	GSE41637																1.1466703788209064e-08																																													
ENSBTAT00000068441	ENSBTAE00000089043	7_0				bos_taurus	1	GSE41637																1.1466703788209064e-08																																													
ENSBTAT00000010961	ENSBTAE00000089043	7_0				bos_taurus	1	GSE41637																																				2.6425654829047946e-08																									
ENSBTAT00000068441	ENSBTAE00000089043	7_0				bos_taurus	1	GSE41637																																				2.6425654829047946e-08																									
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	8	GSE41637						5.805612578282299e-09										9.520639595174159e-08																																					6.455978060727228e-09				1.9962216089622633e-07				
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	8	GSE41637						5.805612578282299e-09										9.520639595174159e-08																																					6.455978060727228e-09				1.9962216089622633e-07				
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																4.5866815152836256e-08																																													
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																4.5866815152836256e-08																																													
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																4.5866815152836256e-08																																													
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																4.5866815152836256e-08																																													
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																4.5866815152836256e-08																																													
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																4.5866815152836256e-08																																													
ENSBTAT00000010961	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												6.664447405680575e-08																																																	
ENSBTAT00000068441	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												6.664447405680575e-08																																																	
ENSBTAT00000071478	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												6.664447405680575e-08																																																	
ENSBTAT00000010961	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000068441	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000071478	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000010961	ENSBTAE00000089044	6_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	13	GSE41637						2.3222450313129197e-08						1.3000375552937336e-05				6.077353007750804e-07																																					4.264700436874366e-08				2.4401875562318345e-08				
ENSBTAT00000010961	ENSBTAE00000089044	6_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	13	GSE43013						5.3642520237177185e-08																																											6.766941152271917e-06												
ENSBTAT00000068441	ENSBTAE00000089044	6_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	13	GSE41637						2.3222450313129197e-08						1.3000375552937336e-05				6.077353007750804e-07																																					4.264700436874366e-08				2.4401875562318345e-08				
