TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000010961	ENSBTAE00000089042	4_1	ENSBTAT00000010961	ENSBTAE00000089043	7_0	bos_taurus	16	GSE43013																																																	8.096317315817172e-07												
ENSBTAT00000010961	ENSBTAE00000089042	4_1	ENSBTAT00000010961	ENSBTAE00000089043	7_0	bos_taurus	16	GSE41637						0.0						1.0057400245817015e-06				5.733351894104532e-09																			0.0																		0.0				0.0				
ENSBTAT00000010961	ENSBTAE00000089042	4_1	ENSBTAT00000068441	ENSBTAE00000089043	7_0	bos_taurus	16	GSE43013																																																	8.096317315817172e-07												
ENSBTAT00000010961	ENSBTAE00000089042	4_1	ENSBTAT00000068441	ENSBTAE00000089043	7_0	bos_taurus	16	GSE41637						0.0						1.0057400245817015e-06				5.733351894104532e-09																			0.0																		0.0				0.0				
ENSBTAT00000068441	ENSBTAE00000089042	4_1	ENSBTAT00000010961	ENSBTAE00000089043	7_0	bos_taurus	16	GSE43013																																																	8.096317315817172e-07												
ENSBTAT00000068441	ENSBTAE00000089042	4_1	ENSBTAT00000010961	ENSBTAE00000089043	7_0	bos_taurus	16	GSE41637						0.0						1.0057400245817015e-06				5.733351894104532e-09																			0.0																		0.0				0.0				
ENSBTAT00000068441	ENSBTAE00000089042	4_1	ENSBTAT00000068441	ENSBTAE00000089043	7_0	bos_taurus	16	GSE43013																																																	8.096317315817172e-07												
ENSBTAT00000068441	ENSBTAE00000089042	4_1	ENSBTAT00000068441	ENSBTAE00000089043	7_0	bos_taurus	16	GSE41637						0.0						1.0057400245817015e-06				5.733351894104532e-09																			0.0																		0.0				0.0				
ENSBTAT00000010961	ENSBTAE00000089043	7_0				bos_taurus	3	GSE41637												0.0																																													0.0				
ENSBTAT00000068441	ENSBTAE00000089043	7_0				bos_taurus	3	GSE41637												0.0																																													0.0				
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						0.0																																											7.230646907029689e-07												
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						0.0						3.578853529087161e-06				3.440011136462719e-08																																					0.0				0.0				
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						0.0																																											7.230646907029689e-07												
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						0.0						3.578853529087161e-06				3.440011136462719e-08																																					0.0				0.0				
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						0.0																																											7.230646907029689e-07												
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						0.0						3.578853529087161e-06				3.440011136462719e-08																																					0.0				0.0				
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						0.0																																											7.230646907029689e-07												
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						0.0						3.578853529087161e-06				3.440011136462719e-08																																					0.0				0.0				
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						0.0																																											7.230646907029689e-07												
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						0.0						3.578853529087161e-06				3.440011136462719e-08																																					0.0				0.0				
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089044	6_0	bos_taurus	15	GSE43013						0.0																																											7.230646907029689e-07												
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089044	6_0	bos_taurus	15	GSE41637						0.0						3.578853529087161e-06				3.440011136462719e-08																																					0.0				0.0				
ENSBTAT00000010961	ENSBTAE00000089043	7_0				bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000068441	ENSBTAE00000089043	7_0				bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000010961	ENSBTAE00000089043	7_0				bos_taurus	1	GSE41637																																				0.0																									
ENSBTAT00000068441	ENSBTAE00000089043	7_0				bos_taurus	1	GSE41637																																				0.0																									
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	8	GSE41637						3.6267281450279264e-08										0.0																																					3.814659431020658e-08				0.0				
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	8	GSE41637						3.6267281450279264e-08										0.0																																					3.814659431020658e-08				0.0				
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000010961	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000010961	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000068441	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000068441	ENSBTAE00000089043	7_0	ENSBTAT00000071478	ENSBTAE00000089047	1_1	bos_taurus	1	GSE41637																0.0																																													
ENSBTAT00000010961	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000068441	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000071478	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000010961	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000068441	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000071478	ENSBTAE00000089044	6_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000010961	ENSBTAE00000089044	6_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	13	GSE43013						0.0																																											6.18264231389675e-06												
ENSBTAT00000010961	ENSBTAE00000089044	6_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	13	GSE41637						3.0587572587368504e-08						1.8411477316156794e-05				5.733351894104532e-08																																					5.68761890678277e-08				0.0				
ENSBTAT00000068441	ENSBTAE00000089044	6_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	13	GSE43013						0.0																																											6.18264231389675e-06												
ENSBTAT00000068441	ENSBTAE00000089044	6_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	13	GSE41637						3.0587572587368504e-08						1.8411477316156794e-05				5.733351894104532e-08																																					5.68761890678277e-08				0.0				
ENSBTAT00000071478	ENSBTAE00000089044	6_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	13	GSE43013						0.0																																											6.18264231389675e-06												
ENSBTAT00000071478	ENSBTAE00000089044	6_0	ENSBTAT00000068441	ENSBTAE00000534292	3_0	bos_taurus	13	GSE41637						3.0587572587368504e-08						1.8411477316156794e-05				5.733351894104532e-08																																					5.68761890678277e-08				0.0				
ENSBTAT00000010961	ENSBTAE00000089044	6_0	ENSBTAT00000010961	ENSBTAE00000089045	3_1	bos_taurus	8	GSE43013						0.0																																											6.157056188208797e-06												
ENSBTAT00000010961	ENSBTAE00000089044	6_0	ENSBTAT00000010961	ENSBTAE00000089045	3_1	bos_taurus	8	GSE41637												1.700837278444377e-05				3.440011136462719e-08																																					1.706285672034831e-07								
ENSBTAT00000010961	ENSBTAE00000089044	6_0	ENSBTAT00000071478	ENSBTAE00000089045	3_1	bos_taurus	8	GSE43013						0.0																																											6.157056188208797e-06												
ENSBTAT00000010961	ENSBTAE00000089044	6_0	ENSBTAT00000071478	ENSBTAE00000089045	3_1	bos_taurus	8	GSE41637												1.700837278444377e-05				3.440011136462719e-08																																					1.706285672034831e-07								
ENSBTAT00000068441	ENSBTAE00000089044	6_0	ENSBTAT00000010961	ENSBTAE00000089045	3_1	bos_taurus	8	GSE43013						0.0																																											6.157056188208797e-06												
ENSBTAT00000068441	ENSBTAE00000089044	6_0	ENSBTAT00000010961	ENSBTAE00000089045	3_1	bos_taurus	8	GSE41637												1.700837278444377e-05				3.440011136462719e-08																																					1.706285672034831e-07								
ENSBTAT00000068441	ENSBTAE00000089044	6_0	ENSBTAT00000071478	ENSBTAE00000089045	3_1	bos_taurus	8	GSE43013						0.0																																											6.157056188208797e-06												
