gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
SNAP23	2_0	I	5_0,2_0,2_1	5_0,2_1	mus_musculus,monodelphis_domestica,xenopus_tropicalis,gorilla_gorilla,homo_sapiens,rattus_norvegicus	homo_sapiens,mus_musculus	[0.00021860664087251287, 2.7430400730488262e-05, 0.00048110706732144403, 1.5857917107736e-05, 0.00035003625588969395, 9.207230375746361e-05]	[2.5807461390505945e-07, 7.406005743821832e-07]	ENST00000249647,ENST00000349777/ENST00000397138,ENST00000564153,ENST00000567094,ENSGGOT00000015855,ENSGGOT00000043438,ENSGGOT00000049278,ENSGGOT00000051779,ENSGGOT00000054530,ENSMMUT00000019711,ENSMMUT00000019712,ENSMMUT00000056844,ENSMMUT00000071916,ENSMODT00000022690,ENSMUST00000028743/ENSMUST00000110711,ENSMUST00000116437,ENSOANT00000016942,ENSOANT00000016943,ENSRNOT00000074392,ENSSSCT00000037285,ENSSSCT00000037345/ENSSSCT00000045675/ENSSSCT00000046474/ENSSSCT00000048710,ENSXETT00000000093	
SNAP23	2_0	E	5_0,2_0,2_2	5_0,2_1,2_2	homo_sapiens,xenopus_tropicalis,mus_musculus	homo_sapiens,mus_musculus	[0.0001591833021461844, 0.00019512408467560236, 9.886894450072064e-05]	[0.00033220284392291574, 0.00016451979349375582]		
SNAP23	2_0	E	5_0,2_0,3_0	5_0,2_1,2_2,2_3,3_0	monodelphis_domestica,mus_musculus	homo_sapiens,mus_musculus	[1.230138629749023e-05, 9.886097285528748e-05]	[0.0003185848732499977, 0.0001832241979236296]		
SNAP23	2_1	I	2_0,2_1,2_2	2_0,2_2	mus_musculus,monodelphis_domestica,xenopus_tropicalis,bos_taurus,gorilla_gorilla,homo_sapiens,rattus_norvegicus	homo_sapiens,xenopus_tropicalis,mus_musculus	[0.0002839756083766356, 4.34109470879195e-05, 0.0006401294859162561, 0, 1.4940406904684225e-05, 0.0005230346995638529, 8.74514510029929e-05]	[2.158784087603005e-07, 2.3864185296252406e-07, 1.7683759655718352e-07]	ENSBTAT00000085048,ENST00000249647,ENST00000349777/ENST00000397138,ENST00000564153,ENST00000567094,ENSGGOT00000015855,ENSGGOT00000043438,ENSGGOT00000049278,ENSGGOT00000051779,ENSGGOT00000054530,ENSMMUT00000019711,ENSMMUT00000019712,ENSMMUT00000056844,ENSMMUT00000071916,ENSMODT00000022690,ENSMUST00000028743/ENSMUST00000110711,ENSMUST00000116437,ENSOANT00000016942,ENSOANT00000016943,ENSRNOT00000074392,ENSSSCT00000037285,ENSSSCT00000037345/ENSSSCT00000045675/ENSSSCT00000046474/ENSSSCT00000048710,ENSXETT00000000093	
SNAP23	2_1	I	2_0,2_1,2_2,2_3,3_0	2_0,3_0	mus_musculus,monodelphis_domestica,xenopus_tropicalis,gorilla_gorilla,homo_sapiens,rattus_norvegicus	monodelphis_domestica,mus_musculus	[0.00026286140784554946, 3.323691386182756e-05, 0.0005120403349152981, 1.4248101857531546e-05, 0.0004458061103439558, 6.727988442659482e-05]	[1.2472355025086893e-07, 1.6089430569089153e-07]	ENST00000249647,ENSGGOT00000015855,ENSGGOT00000051779,ENSMMUT00000071916,ENSMODT00000022690,ENSMUST00000028743/ENSMUST00000110711,ENSOANT00000016942,ENSRNOT00000074392,ENSSSCT00000037345/ENSSSCT00000045675/ENSSSCT00000046474/ENSSSCT00000048710,ENSXETT00000000093	
SNAP23	2_1	E	5_0,2_1,2_2	5_0,2_0,2_2	homo_sapiens,mus_musculus	homo_sapiens,xenopus_tropicalis,mus_musculus	[0.00033220284392291574, 0.00016451979349375582]	[0.0001591833021461844, 0.00019512408467560236, 9.886894450072064e-05]		
SNAP23	2_1	E	2_0,2_1,2_2,2_3,4_0	2_0,3_0,4_0	gorilla_gorilla,homo_sapiens,monodelphis_domestica	monodelphis_domestica,mus_musculus	[1.004913529645991e-05, 0.00035002768825141743, 2.899352132530538e-05]	[2.1336696939849643e-05, 0.0001526573144892619]	ENST00000349777/ENST00000397138,ENSGGOT00000043438,ENSMMUT00000056844	
SNAP23	2_1	E	5_0,2_1,2_2,2_3,3_0	5_0,2_0,3_0	homo_sapiens,mus_musculus	monodelphis_domestica,mus_musculus	[0.0003185848732499977, 0.0001832241979236296]	[1.230138629749023e-05, 9.886097285528748e-05]		
SNAP23	3_0	I	2_3,3_0,4_0	2_3,4_0	mus_musculus,monodelphis_domestica,xenopus_tropicalis,gorilla_gorilla,sus_scrofa,homo_sapiens	gorilla_gorilla,homo_sapiens,sus_scrofa,monodelphis_domestica	[0.00026289337072810505, 2.7718758869546048e-05, 0.00023727354153048818, 1.8034367212045253e-05, 3.732100897553898e-05, 0.0003694988939016544]	[2.665920800112792e-07, 4.013665626546379e-06, 1.205485638563153e-07, 1.5866980007712928e-07]	ENST00000249647,ENSGGOT00000015855,ENSGGOT00000051779,ENSMMUT00000071916,ENSMODT00000022690,ENSMUST00000028743/ENSMUST00000110711,ENSOANT00000016942,ENSSSCT00000037345/ENSSSCT00000045675/ENSSSCT00000046474/ENSSSCT00000048710,ENSXETT00000000093	ENST00000349777/ENST00000397138,ENSGGOT00000043438,ENSMMUT00000056844
SNAP23	3_0	E	2_0,3_0,4_0	2_0,2_1,2_2,2_3,4_0	monodelphis_domestica,mus_musculus	gorilla_gorilla,homo_sapiens,monodelphis_domestica	[2.1336696939849643e-05, 0.0001526573144892619]	[1.004913529645991e-05, 0.00035002768825141743, 2.899352132530538e-05]		ENST00000349777/ENST00000397138,ENSGGOT00000043438,ENSMMUT00000056844
SNAP23	2_2	I	2_0,2_2,2_3,3_0	2_0,3_0	homo_sapiens,xenopus_tropicalis,mus_musculus	monodelphis_domestica,mus_musculus	[0.00014578240515646096, 0.00012805033738317226, 0.00011040492218996722]	[1.2472355025086893e-07, 1.6089430569089153e-07]		
