Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	5_0,2_0,2_1	3.6966772369055414e-07				2.391365122242077e-06			7.520790096102161e-07	3.4763349469628397e-07	5.3198765141751725e-08	1.858808420512071e-07	4.4290918342074e-08	1.8545469465898318e-06			1.2759793496960304e-07	3.396630207270585e-06	1.6567857662832984e-07			1.0542276355841872e-06					9.405857137570145e-07	2.4839007290024764e-06					4.1934799197740385e-06			1.8863576856525262e-06	1.6917797180576033e-06		3.1614345438594072e-06		2.1457069891090465e-06		8.420482385236906e-07
monodelphis_domestica	5_0,2_0,2_1					1.2227881548696326e-06				4.505305330661809e-07		1.3039895030060676e-07						2.995138939530193e-06				3.5665311705547355e-07					8.795621239250008e-07						2.3978388557750684e-06						1.842179980854428e-06				
xenopus_tropicalis	5_0,2_0,2_1						1.2429742742009604e-05			1.2294875772669386e-06					1.836575963107359e-06	6.284727182787601e-06		1.0031385411284116e-05			3.265418801167526e-06	2.894739955087958e-06					5.942923326975922e-06			6.4677837397663e-06						7.501805757243889e-07			6.292754978985063e-06				
gorilla_gorilla	5_0,2_0,2_1					1.7633525076755398e-06						4.0089923894817984e-07								5.522727991124915e-07		5.561845426295559e-07					1.2628898943811244e-06							7.810628121320709e-07					2.2236120934728908e-06				
homo_sapiens	5_0,2_0,2_1		1.2460816812265353e-06	1.1158846225569761e-06	4.113788921960986e-06	9.337291191451449e-07				5.510715133752121e-07		1.0936965977434333e-07		1.4746282460844056e-06				1.8806313678240561e-06		4.898629831204297e-07		1.457294874796411e-06	7.0332929082744516e-06	5.305772204861758e-06	3.2084924915536007e-06	6.4857821115198875e-06	6.178066839226557e-07	3.0847238341101326e-06	1.7608375371189427e-06		3.478232749058128e-06	7.659490357782014e-07	5.636163828840491e-06	5.225304007820446e-07	2.147150530997387e-06	9.031462852822646e-07		2.531668364564206e-06	2.462006906056591e-06	1.1568362686470725e-06		9.669751778271424e-07	
rattus_norvegicus	5_0,2_0,2_1					4.9523206830502474e-06				8.393461966895917e-07				3.0678196048550696e-06								2.139696192820986e-06					1.0033704714395893e-06	4.666311820902026e-06								1.6066989865368348e-06	4.244233033846528e-06		1.3759335778342355e-06				
homo_sapiens	5_0,2_1																							8.765425724894131e-08							1.5888305550447998e-08							5.102889301848713e-08	3.5863273493143494e-08				
mus_musculus	5_0,2_1					1.9057301304297185e-08												3.5607663652288034e-08									8.985850890349152e-09	1.2750681187690926e-07					4.1660496080771675e-08				1.6284415514957252e-08		3.195747636017885e-08				3.453746382561245e-08
homo_sapiens	5_0,2_0,2_2									3.207845258476757e-07																					1.5898003716047828e-06								1.0627859530852003e-06				
xenopus_tropicalis	5_0,2_0,2_2															2.6093238048571377e-06					1.3865527755965781e-06																						
mus_musculus	5_0,2_0,2_2	1.5046864384963678e-07				1.1433085879486185e-06																5.956219561285497e-07					4.3379508575798426e-07	1.0394867099189197e-06									8.815355879866586e-07		1.346445267880344e-06				
homo_sapiens	5_0,2_1,2_2																							3.6202878680318407e-06							8.14038234124452e-06							1.6388599689013332e-06	4.1109637738506674e-06				
mus_musculus	5_0,2_1,2_2					1.1429542240551828e-06												3.566521295819099e-06									5.204765221919785e-07	2.2308268482338343e-06					4.448790544695623e-06				8.685980231082464e-07		3.360571886280456e-06				5.465320448137221e-07
monodelphis_domestica	5_0,2_0,3_0																																						9.305013532051112e-07				
mus_musculus	5_0,2_0,3_0					1.155655711093641e-06																						1.0439528874176092e-06															4.084255121200331e-07
homo_sapiens	5_0,2_1,2_2,2_3,3_0																							4.416989364273433e-06							9.772834701815986e-06							2.0981106724060613e-06	4.722914148308034e-06				
mus_musculus	5_0,2_1,2_2,2_3,3_0					1.6782358844630414e-06												4.505242753237204e-06									7.759442197415524e-07	2.8282799332379185e-06					5.94089827377359e-06				1.311590790472451e-06		3.938598252962454e-06				6.641828425532467e-07
mus_musculus	2_0,2_1,2_2	4.381759847536136e-07				2.39395980624158e-06		1.4990011655566842e-07	1.0529106134543027e-06	4.5633131271598536e-07	1.1703728331185381e-07	2.660003383960172e-07	3.6909098618395e-08	1.5975211974785584e-06			3.827938049088092e-07	5.663431704827754e-06	6.053640299881284e-07			1.1800105223648082e-06					1.0316979811704035e-06	3.6167161435996987e-06					7.0141620344361015e-06			1.801287931456903e-06	1.676145560779951e-06		5.165758389157658e-06		3.2544753651057286e-06		9.839886890503476e-07
monodelphis_domestica	2_0,2_1,2_2					1.3846782799287654e-06				5.39144746925631e-07		1.2948139257815715e-07						5.317800111748269e-06				3.7987363066523714e-07					9.35434511967054e-07						4.409352822490535e-06						2.9724277591606967e-06				
xenopus_tropicalis	2_0,2_1,2_2						1.4423667742860648e-05			2.0367159453064295e-06					1.9437760385660167e-06	8.070039250815254e-06		1.4292463282089327e-05			4.261011688115286e-06	4.695458602383094e-06					8.735053889888981e-06			1.0107603338161058e-05						9.437755630081022e-07			9.33990921246206e-06				
bos_taurus	2_0,2_1,2_2																																										
gorilla_gorilla	2_0,2_1,2_2					1.8555186917109122e-06						4.2980570836634943e-07								6.334893872172694e-07		3.992721906294384e-07					1.0671901825413217e-06							6.935004631326861e-07					2.0870886852456694e-06				
homo_sapiens	2_0,2_1,2_2		2.0348505980772904e-06	1.5488170428681104e-06	4.685581963719622e-06	1.0897229794627419e-06				8.564621416646635e-07		1.5197413617555345e-07		2.6474564814603633e-06				3.3162888422167666e-06		1.053424510600397e-06		1.6028602421001277e-06	6.9223936996147275e-06	6.587820748949806e-06	3.610854715633807e-06	7.615191966806629e-06	8.051290299783337e-07	3.2511654230762316e-06	2.5728093592881275e-06		1.0032645636046707e-05	7.142833166516702e-07	1.1261632517672053e-05	5.442713009802283e-07	2.1603369280461307e-06	9.427298140855626e-07		3.0341942509481363e-06	5.51278134446687e-06	1.4971768133170359e-06		1.5792022387300458e-06	
rattus_norvegicus	2_0,2_1,2_2					4.636765273863174e-06				7.384230672206708e-07				2.865843710988872e-06								2.064915455060922e-06					9.869816639183175e-07	4.818037071543086e-06								1.5541029865966188e-06	3.7310804717984185e-06		1.3921639616720544e-06				
homo_sapiens	2_0,2_2									8.062133898499667e-08																					2.3550140248134124e-08								4.10565087827673e-08				
xenopus_tropicalis	2_0,2_2															1.347075660390372e-07					1.0393428692348694e-07																						
mus_musculus	2_0,2_2	3.6481439575116735e-08				2.4955397090174742e-08																3.889732463812166e-08					1.7847512849138402e-08	1.0457364441524608e-08									1.0891230716476998e-08		1.23519301564556e-08				
mus_musculus	2_0,2_1,2_2,2_3,3_0	3.7801324567545377e-07				2.30373867555624e-06			1.2033264153763458e-06	4.346103527774401e-07	1.2767703634020415e-07	2.804234277675464e-07		1.4701626814985807e-06			4.010220813330382e-07	5.553697957741532e-06	6.053640299881284e-07			1.1777524069531394e-06					1.031554949230765e-06	3.5212245809208502e-06					7.22358401864383e-06			1.3265354825078512e-06	1.7153645593083033e-06		4.841191504401055e-06		3.2563402529184043e-06		8.829111646715596e-07
monodelphis_domestica	2_0,2_1,2_2,2_3,3_0					1.36075817084953e-06				4.4661573392298067e-07		1.2959608729346334e-07						4.671366886421524e-06				3.2939225930696077e-07					8.765995308325578e-07						3.942534971998013e-06						2.699780359263464e-06				
xenopus_tropicalis	2_0,2_1,2_2,2_3,3_0						1.223339463409902e-05			1.8088596729767183e-06					1.5024987270322865e-06	6.948353308248012e-06		1.3643348319804231e-05			3.697191873551562e-06	4.382238231338792e-06					8.089557149862379e-06			9.311188115678324e-06						9.679749364185662e-07			8.914727245246132e-06				
gorilla_gorilla	2_0,2_1,2_2,2_3,3_0					1.8441190867251998e-06						3.659903688711054e-07								6.334893872172693e-07		3.212303767020074e-07					9.374843575557917e-07							5.958676116161773e-07					2.0357913998850375e-06				
homo_sapiens	2_0,2_1,2_2,2_3,3_0		2.1917986708325266e-06	1.839201240430495e-06	4.259541090559802e-06	1.0811142031470907e-06				8.502772589866184e-07		1.3911490554025692e-07		2.6963174305761576e-06				3.3731581583217635e-06		9.94351726272589e-07		1.3651216790123534e-06	5.289002866248376e-06	5.900755804732416e-06	3.2304861034665546e-06	7.189523395292482e-06	7.427845685039766e-07	2.893596896768009e-06	2.424060409059792e-06		1.071896634921708e-05	5.836489739314278e-07	1.097115895927435e-05	4.934254245751952e-07	1.8468298889459847e-06	7.190690391581733e-07		2.795777813429463e-06	5.423822933616135e-06	1.5145685661238514e-06		1.647032958586046e-06	
rattus_norvegicus	2_0,2_1,2_2,2_3,3_0					3.8089028320316635e-06				5.78417931209132e-07				2.4833287365493954e-06								1.718666321319532e-06					8.320558405222837e-07	4.032869306355998e-06								1.172814218532527e-06	3.0875351970368415e-06		1.1326536437427164e-06				
monodelphis_domestica	2_0,3_0																																						1.2472355025086893e-07				
mus_musculus	2_0,3_0					4.96496433802198e-08																						1.9389719438903403e-08															4.220529949154853e-08
homo_sapiens	5_0,2_1,2_2																							3.6202878680318407e-06							8.14038234124452e-06							1.6388599689013332e-06	4.1109637738506674e-06				
mus_musculus	5_0,2_1,2_2					1.1429542240551828e-06												3.566521295819099e-06									5.204765221919785e-07	2.2308268482338343e-06					4.448790544695623e-06				8.685980231082464e-07		3.360571886280456e-06				5.465320448137221e-07
homo_sapiens	5_0,2_0,2_2									3.207845258476757e-07																					1.5898003716047828e-06								1.0627859530852003e-06				
xenopus_tropicalis	5_0,2_0,2_2															2.6093238048571377e-06					1.3865527755965781e-06																						
mus_musculus	5_0,2_0,2_2	1.5046864384963678e-07				1.1433085879486185e-06																5.956219561285497e-07					4.3379508575798426e-07	1.0394867099189197e-06									8.815355879866586e-07		1.346445267880344e-06				
gorilla_gorilla	2_0,2_1,2_2,2_3,4_0																					2.782994523510917e-07					7.463485431620204e-07												1.5623332938862843e-06				
homo_sapiens	2_0,2_1,2_2,2_3,4_0		1.7041340058928912e-06	1.351770681196363e-06	3.5530427302743615e-06					7.301477582052412e-07								2.8030632924020664e-06				1.1980538964017031e-06	5.135852978268483e-06	5.099594647024859e-06		5.693526489750818e-06	6.152294507933924e-07	2.404582109528108e-06	2.0573343501987458e-06		9.108664631296408e-06	5.5042759604712e-07	9.654076844510299e-06					2.341116378543351e-06				1.3322313539148433e-06	
monodelphis_domestica	2_0,2_1,2_2,2_3,4_0					1.134226499439889e-06																																	2.4914723514085286e-06				
monodelphis_domestica	2_0,3_0,4_0																																						1.140843352768686e-06				
mus_musculus	2_0,3_0,4_0					1.199755199309356e-06																						1.7760888655692578e-06															4.009301554762451e-07
homo_sapiens	5_0,2_1,2_2,2_3,3_0																							4.416989364273433e-06							9.772834701815986e-06							2.0981106724060613e-06	4.722914148308034e-06				
