,path,embryo,gastrula,blastula,brain,egg cell,female gonad,heart,liver,mesonephros,skeletal muscle tissue,testis,Species,adult mammalian kidney,colon,lung,spleen,cerebellum,placenta,kidney,prefrontal cortex,frontal cortex,zone of skin,Ammon's horn,bone marrow macrophage,brown adipose tissue,embryonic stem cell,fibroblast,thymus,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,stomach,thyroid gland
0,"2_0,2_1,2_2",,,,,,,,,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"5_0,2_0,2_1,2_2,2_3,3_0,4_0,2_2,2_3,3_0,4_0",,,,,,,0.3622607704453763,0.3350317311047952,,,0.34299093088487065,gorilla_gorilla,0.33949583748340134,,,,0.36318424702665597,,,0.34846502707025473,0.33724706470147386,,,,,,,,,,,,,,,,,,
2,"5_0,2_0,2_1,2_2,2_3,3_0,4_0",,,,,,,0.33594951259172223,0.3395471265996283,,,0.3325024837814642,gorilla_gorilla,0.3293573113732732,,,,0.33531267489104,,,0.3405448827029056,0.3392455658256308,,,,,,,,,,,,,,,,,,
3,"5_0,2_0,2_1,2_2,2_3,3_0,2_2,2_3,3_0,4_0",,,,,,,0.30178971696290147,0.3254211422955765,,,0.3245065853336651,gorilla_gorilla,0.3311468511433256,,,,0.3015030780823041,,,0.3109900902268397,0.3235073694728953,,,,,,,,,,,,,,,,,,
4,"5_0,2_0,2_2,2_3,3_0,4_0,4_0,2_3,3_0,2_3,4_0",,,,0.1689233743908215,,,,,,,,homo_sapiens,,,,,,,,,,,,,,,,,,,,,,,,0.09559593059331413,,,
5,"5_0,2_1,2_2,2_3,3_0,4_0,4_0,2_3,3_0,2_3,4_0",,,,,,,,,,,,homo_sapiens,,,,,,,,,,,,,,,,,,,,,0.16076093724894697,,,0.15332574383636235,,0.16482713721896258,
6,"5_0,2_0,2_2,2_3,3_0,4_0,2_3,3_0,2_3,4_0",,,,0.1689233743908215,,,,,,,,homo_sapiens,,,,,,,,,,,,,,,,,,,,,,,,0.09559593059331413,,,
7,"5_0,2_0,2_1,2_2,2_3,3_0,4_0,2_3,3_0,2_3,4_0",,,,0.2280221370822575,,0.3442234250771483,0.3270370906137187,0.33883465623536363,,,,homo_sapiens,,,0.3382108099659122,,,0.32900042184211675,,,,,,,,,,,0.35877493375059494,0.36846285876892787,0.3343290004639816,0.2990556293615272,0.21093401926513128,0.34219574476537534,0.345289154283183,0.15763641475379028,0.3242221364719873,0.21338363340088054,0.35661852647308817
8,"5_0,2_1,2_2,2_3,3_0,4_0",,,,,,,,,,,1.0,homo_sapiens,,,,,,,,,,,,,,,,,,,,,0.20046782218314205,,,0.18603288604915327,,0.19796435495293307,
9,"5_0,2_0,2_1,2_2,2_3,3_0,4_0,4_0,2_3,3_0,2_3,4_0",,,,0.2280221370822575,,0.3442234250771483,0.3270370906137187,0.33883465623536363,,,,homo_sapiens,,,0.3382108099659122,,,0.32900042184211675,,,,,,,,,,,0.35877493375059494,0.36846285876892787,0.3343290004639816,0.2990556293615272,0.21093401926513128,0.34219574476537534,0.345289154283183,0.15763641475379028,0.3242221364719873,0.21338363340088054,0.35661852647308817
10,"5_0,2_0,2_1,2_2,2_3,4_0",,,,0.20610897705384193,,0.31155314984570337,0.34592581877256245,0.3223306875292727,,,,homo_sapiens,,,0.3235783800681756,,,0.34199915631576644,,,,,,,,,,,0.2824501324988101,0.26307428246214426,0.3313419990720368,0.4018887412769456,0.21690320203764832,0.3156085104692493,0.309421691433634,0.15417667942027544,0.35155572705602556,0.21044124102634323,0.28676294705382366
11,"5_0,2_0,2_1,2_2,2_3,3_0,4_0",,,,1.0,,1.0,1.0,1.0,,,0.29745376491219244,monodelphis_domestica,0.3959058511273799,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,"5_0,2_0,2_1,2_2,2_3,4_0",,,,,,,,,,,0.26786724916066645,monodelphis_domestica,0.26846279144911467,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"5_0,2_0,3_0,4_0",,,,,,,,,,,0.18623862429923402,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"5_0,2_0,2_1,2_2,2_3,4_0,2_2,2_3,3_0,4_0",,,,,,,,,,,0.24844036162790714,monodelphis_domestica,0.3356313574235054,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"5_0,2_1,2_2,2_3,3_0,4_0,2_3,3_0",,,,,,0.24370530438289767,,0.17084687692326112,,,0.17373280886099987,mus_musculus,0.12797255362945797,,0.1480155105131295,0.16556441152446624,,0.2499435025827513,,,,0.1591348647347214,,,,,,,,,,,,,,,,,
16,"5_0,2_0,2_2,2_3,3_0",,,,,,,0.179216531667927,0.12621540860723152,,,0.09706894610658036,mus_musculus,0.10589917077537093,,0.08702617412335929,0.13519803666255237,,,,,,,0.14334025250566979,,,,,,,,,,,,,,,,
17,"5_0,2_0,2_1,2_2,2_3,3_0",,,,0.48019955730590974,,0.2661520762897677,0.2803156253217413,0.1966579878267079,,0.5340584052137068,0.22194996864919103,mus_musculus,0.1644957497311429,0.5153454914451766,0.16783945129692285,0.19680316386447028,0.41866858620110114,0.2587161277496809,,,,0.22565157707349875,0.2762200406139378,0.5060240963855422,0.49090909090909096,0.5232558139534883,0.5223021582733813,0.49010913927324606,,,,,,,,,,,
18,"5_0,2_0,3_0,4_0,2_3,3_0",,,,,,,,,,,,mus_musculus,0.1218363387644657,,0.1155638136517262,,,,,,,0.14463085792916736,,,,,,,,,,,,,,,,,
19,"5_0,2_0,3_0",,,,,,,,,,,,mus_musculus,0.08256473242416344,,0.05929859185798411,,,,,,,0.11350808470639182,,,,,,,,,,,,,,,,,
