TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000015855	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE30352						0.0								0.0															0.0						0.0														0.0								0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000015855	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE43520																									0.0																																0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000043438	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE30352						0.0								0.0															0.0						0.0														0.0								0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000043438	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE43520																									0.0																																0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000045060	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE30352						0.0								0.0															0.0						0.0														0.0								0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000045060	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE43520																									0.0																																0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000049278	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE30352						0.0								0.0															0.0						0.0														0.0								0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000049278	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE43520																									0.0																																0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000051779	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE30352						0.0								0.0															0.0						0.0														0.0								0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000051779	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE43520																									0.0																																0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000054530	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE30352						0.0								0.0															0.0						0.0														0.0								0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000054530	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE43520																									0.0																																0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000063004	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE30352						0.0								0.0															0.0						0.0														0.0								0.0				
ENSGGOT00000015855	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000063004	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE43520																									0.0																																0.0				
ENSGGOT00000051779	ENSGGOE00000161915/ENSGGOE00000339334	5_0	ENSGGOT00000015855	ENSGGOE00000161919	2_0	gorilla_gorilla	13	GSE30352						0.0								0.0															0.0						0.0														0.0								0.0				
