Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	12_0,10_0,13_0	3.180136354518069e-06								1.9991750840991567e-06		6.395012846734264e-07	8.1200016960469e-08	7.167074981536675e-08				3.5607663652288034e-08				8.578262886913762e-08						1.2690453190869308e-08					6.199636779848485e-08							4.400469034421593e-08				3.72995891002538e-08
monodelphis_domestica	12_0,10_0,13_0									1.0636431872823334e-06		1.9944804669460352e-06						1.4358184630728454e-07																										
gorilla_gorilla	12_0,10_0,13_0											2.841678273991457e-07								5.685161167334468e-07														9.18023356144933e-07										
sus_scrofa	12_0,10_0,13_0																					4.6227651242007057e-07												5.5366961041088e-07										
rattus_norvegicus	12_0,10_0,13_0									2.6667100826101493e-06												1.7296079653289702e-08						2.3555296726465454e-08								1.1580859809332895e-07	3.515791958917361e-08			3.278936335312423e-08				
gorilla_gorilla	12_0,13_0					8.40721323172153e-07						2.2145802178025824e-07								3.2486635241911244e-08		9.611521130647311e-08					1.0542591397775652e-07							1.0897577746315863e-07						7.251666809036916e-07				
sus_scrofa	12_0,13_0					4.990601600949207e-07																5.747221505763038e-07			1.4071609718275817e-06		2.0697435850443844e-07	4.2046683477058124e-06						5.761902399831871e-07										
mus_musculus	12_0,13_0	1.1115003317916286e-06				7.519085796792502e-07			1.0027720128136213e-07	4.791045949541807e-07	4.255901211340138e-08	2.533591539913302e-07	2.9527278894716e-08	2.091447166119125e-06			5.468482927268704e-08	9.562771588864365e-07	1.6567857662832984e-07			2.1896010896147008e-07					1.0602625147596969e-07	1.41212268648236e-06					3.991440613978732e-06			1.5734168393890216e-07	3.844122701457814e-07			2.0603950041279123e-07		5.823838783052962e-07		1.9984565210614745e-07
monodelphis_domestica	12_0,13_0					5.965839972946953e-07				2.243375325570624e-07		4.771354635695711e-07						9.86920485673113e-07				6.358660769390322e-08					2.3138980041472768e-07						4.5059430223419064e-07							1.4389965406523003e-07				
homo_sapiens	12_0,13_0		1.826984895286745e-07	2.2205847211875726e-07	7.103507130192012e-07	6.080013217948248e-07				1.1892234041996283e-07		6.061726023003759e-08		3.299815840149026e-07				7.013080008753302e-07		1.7297349664358338e-07		1.4230018488770112e-07	1.7844511285644265e-07	1.0875963975806715e-06	7.451387636709616e-07	4.3662987840148705e-07	4.9104621498310386e-08	5.897596422515853e-07	3.047256292655153e-07		3.5055221336068506e-07	7.082877311303361e-08	5.796192194700498e-07	2.071122255622263e-07	8.597696277306761e-07			1.0023345778108292e-06		8.646723011187346e-07	6.731018763320574e-08		2.9216549088890036e-07	
bos_taurus	12_0,13_0					1.2747548196386262e-06				6.739764938455825e-07				3.944089352838532e-06								1.0454509417362939e-07					1.1181614662190121e-07	9.131114391760749e-07						2.9441153875698807e-07		1.0373590847908806e-07	2.511524812222701e-07			1.5148186448825778e-06				
rattus_norvegicus	12_0,13_0					1.7260674840784976e-06				7.249055752534502e-07				9.685801484326014e-07								3.560717500481715e-07					9.829191379449539e-08	2.5010307648503534e-06								2.191152827057682e-07	1.99370073535313e-06			1.3285586336397649e-06				
monodelphis_domestica	12_0,10_0,5_0,13_0									5.194274382218176e-07		9.104222946545858e-07																																
sus_scrofa	12_0,10_0,5_0,13_0																					4.081360199744767e-07												5.348980112467029e-07										
gorilla_gorilla	12_0,13_0					8.40721323172153e-07						2.2145802178025824e-07								3.2486635241911244e-08		9.611521130647311e-08					1.0542591397775652e-07							1.0897577746315863e-07						7.251666809036916e-07				
sus_scrofa	12_0,13_0					4.990601600949207e-07																5.747221505763038e-07			1.4071609718275817e-06		2.0697435850443844e-07	4.2046683477058124e-06						5.761902399831871e-07										
