,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,kidney,prefrontal cortex,cerebellum,female gonad,placenta,frontal cortex,Ammon's horn,bone marrow macrophage,brown adipose tissue,cerebral cortex,embryonic stem cell,fibroblast,thymus,zone of skin,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland,gastrula,blastula,egg cell,embryo,mesonephros,temporal lobe
0,"12_0,13_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bos_taurus,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"12_0,13_0",1.0,,,1.0,1.0,,,,1.0,gorilla_gorilla,,0.10611087575147299,0.4379879354263027,,,0.05405405405405405,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"12_0,10_0,13_0",,,,,,,,,,gorilla_gorilla,,0.893889124248527,0.5620120645736972,,,0.9459459459459459,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"12_0,13_0",1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,homo_sapiens,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
4,"12_0,13_0",1.0,0.1241211242499352,,1.0,1.0,,,,1.0,monodelphis_domestica,,,0.1410792639830558,0.8729928791427083,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"12_0,10_0,13_0",,0.5884908633052158,,,,,,,,monodelphis_domestica,,,0.5897273579294534,0.12700712085729177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"12_0,10_0,5_0,13_0",,0.28738801244484896,,,,,,,,monodelphis_domestica,,,0.2691933780874908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"12_0,13_0",1.0,0.1933214394661021,0.9668669242266416,0.7185080455737712,1.0,0.9910932508709319,1.0,1.0,0.8240123467336233,mus_musculus,,,0.283761205021269,0.9641010096705075,0.9847052345756951,,0.2589921778181527,1.0,1.0,0.26666666666666666,1.0,1.0,1.0,0.8427141573218844,,,,,,,,,,,,,,,,,,,
8,"12_0,10_0,13_0",,0.806678560533898,0.03313307577335846,0.2814919544262288,,0.008906749129068092,,,0.1759876532663767,mus_musculus,,,0.716238794978731,0.035898990329492474,0.015294765424304867,,0.7410078221818474,,,0.7333333333333333,,,,0.1572858426781156,,,,,,,,,,,,,,,,,,,
9,"12_0,13_0",1.0,0.21373458798986467,1.0,0.9536754956442836,1.0,0.9906696400313035,0.654224124547284,0.9826710847975886,0.9759140473813064,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"12_0,10_0,13_0",,0.7862654120101353,,0.046324504355716355,,0.009330359968696479,0.3457758754527161,0.01732891520241139,0.024085952618693646,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"12_0,13_0",1.0,,,0.39769452449567716,1.0,1.0,,,,sus_scrofa,1.0,0.3461105385111678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"12_0,10_0,13_0",,,,0.31988472622478387,,,,,,sus_scrofa,,0.3325826675269089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"12_0,10_0,5_0,13_0",,,,0.2824207492795389,,,,,,sus_scrofa,,0.32130679396192335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"6_0,14_0,9_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bos_taurus,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"6_0,14_0,9_0",1.0,,,,1.0,,,,1.0,gorilla_gorilla,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
