TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	23	GSE41637						7.360271149357271e-07						7.487401447271571e-07				1.2752723735754097e-06													9.67495451973192e-09						6.718639315963238e-08	3.4842279509369764e-07																	1.5258637724082632e-07				7.047874363651362e-07				
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	23	GSE43013						5.427750745244082e-07																													7.704719520064476e-08														1.5036126175310708e-07												
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	7	GSE41637						5.8056125782822997e-08						1.338723265244574e-08				1.0320033409388158e-07																				8.907441016833381e-08																					8.540656446811421e-08				
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	7	GSE43013						1.0728504047435437e-07																																																							
ENSBTAT00000011767	ENSBTAE00000502085	1_0	ENSBTAT00000011767	ENSBTAE00000095456	2_0	bos_taurus	19	GSE41637						1.9072616072748053e-07						1.9222510584085453e-07				1.253157006972083e-07													5.71322065457635e-08						1.267318140005324e-08	9.767470107576092e-08																					1.5726385854359495e-07				
ENSBTAT00000011767	ENSBTAE00000502085	1_0	ENSBTAT00000011767	ENSBTAE00000095456	2_0	bos_taurus	19	GSE43013						5.3642520237177185e-08																																											1.5036126175310708e-07												
ENSBTAT00000011767	ENSBTAE00000502085	1_0	ENSBTAT00000011767	ENSBTAE00000095457	12_0	bos_taurus	2	GSE41637												1.338723265244574e-08				1.1466703788209064e-08																																													
ENSBTAT00000011767	ENSBTAE00000502085	1_0	ENSBTAT00000011767	ENSBTAE00000095458	13_0	bos_taurus	1	GSE41637												1.338723265244574e-08																																																	
ENSBTAT00000011767	ENSBTAE00000095456	2_1	ENSBTAT00000011767	ENSBTAE00000095457	12_0	bos_taurus	23	GSE41637						1.0372879925293342e-06						1.345125192365374e-06				1.8358174169958e-06													8.707459067758727e-08						1.3940499540058563e-07	5.627108559393626e-07																1.0684740004107856e-07	2.1655688379394182e-07				1.2013519537999794e-06				
ENSBTAT00000011767	ENSBTAE00000095456	2_1	ENSBTAT00000011767	ENSBTAE00000095457	12_0	bos_taurus	23	GSE43013						6.926897768868955e-07																													1.4439176952474532e-07														5.439618108872956e-07												
ENSBTAT00000011767	ENSBTAE00000095457	12_0				bos_taurus	4	GSE41637												9.650985869246972e-07																																																	
ENSBTAT00000011767	ENSBTAE00000095457	12_0				bos_taurus	4	GSE43013																																																	7.164115192626938e-07												
ENSBTAT00000011767	ENSBTAE00000095457	12_0				bos_taurus	1	GSE41637						1.1611225156564598e-08																																																							
ENSBTAT00000011767	ENSBTAE00000095457	12_0	ENSBTAT00000011767	ENSBTAE00000095458	13_0	bos_taurus	32	GSE41637						1.4118712987233948e-06						6.739764938455825e-07				3.944089352838531e-06													1.0454509417362939e-07						7.924052371905709e-08	9.13111439176075e-07																1.0373590847908808e-07	2.511524812222701e-07				1.5148186448825778e-06				
