TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	23	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	23	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																	0.0				0.0				
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	7	GSE43013						0.0																																																							
ENSBTAT00000011767	ENSBTAE00000502085	1_0				bos_taurus	7	GSE41637						0.0						0.0				0.0																				0.0																					0.0				
ENSBTAT00000011767	ENSBTAE00000502085	1_0	ENSBTAT00000011767	ENSBTAE00000095456	2_0	bos_taurus	19	GSE43013						5.3642520237177185e-08																																											0.0												
ENSBTAT00000011767	ENSBTAE00000502085	1_0	ENSBTAT00000011767	ENSBTAE00000095456	2_0	bos_taurus	19	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																					0.0				
ENSBTAT00000011767	ENSBTAE00000502085	1_0	ENSBTAT00000011767	ENSBTAE00000095457	12_0	bos_taurus	2	GSE41637												0.0				0.0																																													
ENSBTAT00000011767	ENSBTAE00000502085	1_0	ENSBTAT00000011767	ENSBTAE00000095458	13_0	bos_taurus	1	GSE41637												0.0																																																	
ENSBTAT00000011767	ENSBTAE00000095456	2_1	ENSBTAT00000011767	ENSBTAE00000095457	12_0	bos_taurus	23	GSE43013						0.0																													0.0														0.0												
ENSBTAT00000011767	ENSBTAE00000095456	2_1	ENSBTAT00000011767	ENSBTAE00000095457	12_0	bos_taurus	23	GSE41637						0.0						0.0				0.0													0.0						0.0	0.0																0.0	0.0				0.0				
ENSBTAT00000011767	ENSBTAE00000095457	12_0				bos_taurus	4	GSE43013																																																	0.0												
ENSBTAT00000011767	ENSBTAE00000095457	12_0				bos_taurus	4	GSE41637												0.0																																																	
