Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
gorilla_gorilla	9_1,11_0,13_0					7.649089673426564e-07						2.3704865636120042e-06								1.689305032579385e-06							8.274336707609413e-07							2.8486307462965713e-06						6.444412241650734e-07				
homo_sapiens	9_1,11_0,13_0		4.294947496011406e-06	1.3222346422032326e-05	1.8696074741009795e-06	1.5231294597854904e-06				1.777678278254441e-06		7.816194200213733e-07		3.910528336593961e-05				7.794682775524672e-06		7.907712558575454e-06		0.00016423448058741578	0.00027890362572615426	1.9813644267774765e-05	2.434969658032695e-06		1.1603659093904222e-07	2.963995205517585e-06			0.00012691964787139542	0.00016062221440071964	1.0622968784935351e-05	1.2406572915123042e-06	3.159651763480189e-05			3.1530120684483624e-05		5.9938387515873265e-06	9.503130132081553e-06		1.7188756792816025e-05	
xenopus_tropicalis	9_1,11_0,13_0									2.652228326049572e-06						6.945087755879151e-05		6.578520366216292e-07			7.155851162011007e-05	0.000233259563594406					8.159880000583621e-07			2.6815836068189986e-06										2.4045991961697736e-06				
gorilla_gorilla	9_1,13_0					5.305442007082825e-06						5.585419212331946e-07								6.172460695963136e-07		1.2749768170649663e-06					1.7968044350678916e-06							1.1313122081296089e-06						1.4547071846039131e-06				
homo_sapiens	9_1,13_0		4.869343258967484e-06	3.1315951168254466e-06	4.313664233727029e-06	4.416082628450428e-06				3.8115253313623283e-07		1.6002770516619472e-07		3.2658504800673017e-06				1.6731573814255378e-05		4.990168818313877e-07		1.888454004913616e-06	2.2953430876713066e-06	1.0945423080860138e-05	1.1099973553689664e-05	2.5394095358995233e-07	5.45089068153271e-07	8.187798424152529e-06	1.0849116561325485e-06		8.917217986868578e-06	5.054157049359899e-07	3.9517167879034995e-05	4.44518979029529e-07	1.6608827181326217e-06	1.1219369962755136e-07		8.637183926263031e-06	2.1708021895579217e-07	2.2444280165120683e-06	3.3466083427465743e-06		5.509302034589467e-06	
xenopus_tropicalis	9_1,13_0						1.4993447266147821e-05			3.8454134217037975e-07					1.2698450556726231e-06	1.2764074249603351e-05		1.6438064220430058e-05			1.3191999084400939e-05	6.509916666553935e-07					5.867754349760776e-06			9.846211643875286e-06						0.0				2.2578004626266388e-06				
mus_musculus	1_1,11_0,13_0	1.0300784592530972e-05				1.4387545695700438e-06		4.830114866793754e-07	4.011088051254488e-07	1.0615682354049848e-05	9.894970316365829e-07	2.141527336538104e-06	8.193819893283692e-07	1.0023145341507916e-05			2.8800676750281854e-06	4.2837106997252966e-05	1.4006211978041112e-05			0.00035427690930944463					5.114997779477969e-07	1.90199701188956e-05					2.8930316971180334e-05			0.0012745402802237544	3.9857011742026146e-06			1.8432848126851168e-06		1.7312696175271167e-06		8.399005062444536e-05
monodelphis_domestica	1_1,11_0,13_0					1.590426127042537e-06				4.876319668896597e-06		1.2558589344834132e-06						4.2706925534379443e-05				6.577970963647108e-05					4.505829659380689e-07						9.406327140879925e-06							1.912016639499036e-06				
xenopus_tropicalis	1_1,11_0,13_0						6.270834174636659e-06			5.852246400577989e-06					2.7216921226728557e-07	0.00015388541674818846		1.4180207958062027e-06			0.0001598513723481546	0.0005729806801590716					1.6193374255733185e-06			6.519662499040261e-06						0.0007999344874563032				3.982426499381446e-06				
bos_taurus	1_1,11_0,13_0					7.91213252708539e-06				1.2084404354326055e-05				0.00048633937318199563								0.0008398628189187701					7.022041795308309e-07	2.021035142642073e-05						7.2166182846894496e-06		0.00041918991507214717	1.8015481636731463e-05			2.870457645894042e-06				
