,path,blastula,embryo,female gonad,gastrula,mesonephros,testis,brain,egg cell,heart,liver,skeletal muscle tissue,Species,adult mammalian kidney,colon,lung,spleen,placenta,cerebellum,kidney,prefrontal cortex,frontal cortex,embryonic stem cell,fibroblast,thymus,zone of skin,Ammon's horn,bone marrow,bone marrow macrophage,brown adipose tissue,cerebral cortex,heart left ventricle,intestine,multi-cellular organism,muscle of leg,stomach,adipose tissue,adrenal gland,adrenal tissue,lymph node,prostate gland,temporal lobe,thoracic mammary gland,thyroid gland,leukocyte
0,"1_1,11_0,13_0",,,,,,0.9607852891464711,1.0,,1.0,1.0,1.0,bos_taurus,0.9865216079387925,0.9998349841990353,0.9984244036220111,0.9992837988556799,,,,0.9929590360203735,,,,,,,,,,,,,,,,,,,,,,,,
1,"1_1,13_0",,,,,,0.039214710853528824,,,,,,bos_taurus,0.013478392061207461,0.00016501580096469186,0.00157559637798891,0.0007162011443201017,,,,0.007040963979626524,,,,,,,,,,,,,,,,,,,,,,,,
2,"1_1,9_0,9_1,11_0,13_0",,,,,,0.29432713365584967,,,,0.27849936639513284,,gorilla_gorilla,0.29039192063620983,,,,,0.33786767395657524,,0.2656975284093687,0.2850627137970354,,,,,,,,,,,,,,,,,,,,,,,
3,"1_1,11_0,13_0",,,,,,0.24543741633127106,,,0.9895144579245133,0.29022360630530314,,gorilla_gorilla,0.12136769090007181,,,,,0.44088593693995876,,0.6075105388218172,0.5781071835803876,,,,,,,,,,,,,,,,,,,,,,,
4,"1_1,9_0,9_1,13_0",,,,,,0.4602354500128793,,,0.01048554207548666,0.4312770272995641,,gorilla_gorilla,0.5882403884637184,,,,,0.22124638910346608,,0.12679193276881398,0.13683010262257697,,,,,,,,,,,,,,,,,,,,,,,
5,"1_1,9_0,9_1,11_0,13_0",,,0.301158533165307,,,0.310397513652973,0.2925516846652367,,0.2838864419340848,0.294189362543819,,homo_sapiens,0.2644592821871063,0.3172336206251172,0.25501157215824666,,0.28859860427449335,0.28765802064963275,0.24298759749500592,0.2760045294051467,0.3097351500083454,,,,,,,,,,0.25757932598935307,0.2820045361723683,0.31173196219752813,0.2823211266597195,0.2787519439792017,0.27830495449320974,0.3089427425434913,0.2712450377565072,,0.2505747270080666,,0.29829197984103717,0.29365843901934197,
6,"1_1,9_0,9_1,13_0",,,0.46314115603314654,,,0.17023750148366049,0.06944594752319873,,0.004727121967144985,0.5606572509656141,0.026962482624103713,homo_sapiens,0.4676847926724676,0.03308843584054553,0.4518645574551766,,0.5299028582798265,0.09675705683066464,0.5471554975072395,0.15732285279236607,0.05443325282246364,,,,,,,,,,0.0034884422628116535,0.1592968341116337,0.03639182907248814,0.001231805805181505,0.09522107059399337,0.27655672865098,0.08707807823235882,0.43792793866257407,0.29316800305444773,0.02212924915782213,0.11111111111111112,0.11228595474764393,0.11135212223443919,1.0
7,"1_1,11_0,13_0",,,0.23570031080154644,,,0.5193649848633665,0.6380023678115646,,0.7113864360987703,0.14515338649056683,0.9730375173758964,homo_sapiens,0.267855925140426,0.6496779435343372,0.290082744881411,,0.18149853744568017,0.6155849225197025,0.20985690499775456,0.5666726178024872,0.635831597169191,,,,,,,,,,0.7388461602129521,0.5572888463626424,0.651792567181299,0.7162733943201215,0.6249288494984769,0.4451383168558103,0.6039791792241499,0.2908270235809188,0.7068319969455523,0.7272960238341113,0.888888888888889,0.589422065411319,0.5949894387462189,
8,"1_1,13_0",,,,,,,,,,,,homo_sapiens,,,0.003041125505165852,,,,,,,,,,,,,,,,8.607153488317213e-05,0.001409783353355586,8.364154868493087e-05,0.00017367321497733856,0.0010981359283280113,,,,,,,,,
9,"1_1,13_0",,,0.0009644939275456681,,,,,,,,,monodelphis_domestica,,,,,0.00697325931173429,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"1_1,11_0,13_0",,,0.9990355060724543,,,1.0,1.0,,1.0,1.0,,monodelphis_domestica,1.0,,,,0.9930267406882658,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"1_1,11_0,13_0",,,0.9911732294002996,,,0.9716645316902837,0.9979519393839116,,0.9994626662696615,0.8827135158960989,0.999886897751925,mus_musculus,0.8978593693813768,0.9926973917533009,0.9902012528311226,0.9785428151796128,0.9642221296632472,1.0,,,,0.902857142857143,0.9963735267452403,0.9511142645133578,0.9994250642800573,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
12,"1_1,13_0",,,0.008826770599700261,,,0.028335468309716276,0.0020480606160884064,,0.0005373337303385275,0.1172864841039012,0.00011310224807511349,mus_musculus,0.10214063061862326,0.00730260824669917,0.009798747168877363,0.021457184820387144,0.0357778703367529,,,,,0.09714285714285698,0.003626473254759744,0.048885735486642275,0.0005749357199426161,,,,,,,,,,,,,,,,,,,
13,"1_1,11_0,13_0",,,0.9934642997503117,,,0.9623094226576532,1.0,,1.0,1.0,,ornithorhynchus_anatinus,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"1_1,13_0",,,0.006535700249688203,,,0.03769057734234674,,,,,,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"1_1,11_0,13_0",,,,,,0.9826212156303469,0.9990284775431348,,0.9999838490027605,0.9090149146719421,0.9999932231144417,rattus_norvegicus,0.9846882748588144,0.9997800490454869,0.9957351530813889,0.9965925443638368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"1_1,13_0",,,,,,0.017378784369653122,0.000971522456865146,,1.6150997239409143e-05,0.09098508532805802,6.776885558268759e-06,rattus_norvegicus,0.015311725141185714,0.00021995095451310878,0.004264846918611089,0.0034074556361631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"1_1,11_0,13_0",,,,,,,,,1.0,1.0,,sus_scrofa,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
18,"1_1,9_0,9_1,11_0,13_0",,0.23643219588974265,0.24455246574989853,0.23497338492780082,0.2264279385967457,0.2712401655686113,0.23404343828767957,,0.21346666086204455,0.2625493703688418,,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"1_1,9_0,9_1,13_0",0.7338156818655749,0.07145019892294192,0.6909464781844105,0.07130180352477303,0.45023705104333944,0.2570196435881395,0.05020182813527841,0.7517990412359472,0.0007587156393151785,0.5885574980862274,3.0250778957558158e-05,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"1_1,11_0,13_0",0.24437967351200893,0.6909918837557855,0.06078492341573951,0.6918380229934141,0.32167560173891946,0.46776646492437746,0.7157547335770419,0.24820095876405276,0.7857746234986404,0.14889313154493086,0.9999697492210425,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"1_1,13_0",0.02180464462241616,0.0011257214315299729,0.0037161326499515635,0.0018867885540120712,0.0016594086209953374,0.003973725918871755,,,,,,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"2_1,2_2,7_1",,,,,,0.45665004367791956,,,0.9952329314534949,0.30028128102515406,0.9956087480597896,bos_taurus,0.6196899647213203,0.041327358043286404,0.2930776387663079,0.2981086712227976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"2_1,7_1",,,,,,0.5433499563220804,1.0,,0.004767068546505176,0.6997187189748459,0.00439125194021035,bos_taurus,0.3803100352786796,0.9586726419567136,0.7069223612336921,0.7018913287772024,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,"6_1,2_0,2_1,2_2,7_1",,,,,,,,,0.23855824068823175,0.2542265367843615,,gorilla_gorilla,0.25888077997952463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"6_1,2_0,2_1,7_1",,,,,,0.7066027831954368,,,0.0319798773550033,0.4137293065678333,,gorilla_gorilla,0.28283111922158144,,,,,0.1690355051740393,,0.5477811700371938,0.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,
26,"6_1,2_2,7_1",,,,,,0.29339721680456327,,,0.729461881956765,0.33204415664780523,,gorilla_gorilla,0.4582881007988939,,,,,0.8309644948259606,,0.4522188299628061,0.5999999999999999,,,,,,,,,,,,,,,,,,,,,,,
27,"6_1,7_1",,,,,,,,,0.0001623309853607263,,,homo_sapiens,,,,,0.0011981354411415826,,,,,,,,,,,,,,6.69440829034447e-05,0.008397900896783668,0.00031866556026774413,0.0002580383433406646,0.002757733635637589,,0.00139250685516287,,,0.0018798233375398048,,,0.0013631906753391388,
28,"6_1,2_2,7_1",,,0.46857546279265305,,,0.19742446721236803,0.569762931785759,,0.691117522883911,0.5015823973598602,0.9015046027296574,homo_sapiens,0.6275802869316032,0.06930134956801451,0.5699004437982503,,0.584571820455568,0.7581243003898327,0.9734396460829032,0.8359178259788329,0.5956472855047742,,,,,,,,,,0.735424356095736,0.5071117693280407,0.7005011425573086,0.7156693316251088,0.3485377533178426,0.22189784720799335,0.10536339066820212,0.9145163037824049,0.30776937219624073,0.04495736345910505,1.0,0.8547974417836022,0.6795611132041786,
29,"6_1,2_0,2_1,7_1",,,0.28726069793789094,,,0.5711166218557967,0.4302370682142409,,0.027277335429025846,0.49841760264013985,0.09849539727034265,homo_sapiens,0.37241971306839683,0.714485915662976,0.16044877470709604,,0.16266079228690408,0.24187569961016742,0.02656035391709683,0.164082174021167,0.4043527144952258,,,,,,,,,,0.0377105780706849,0.2064545897088691,0.07246800364261544,0.0012692193956543197,0.40190103854460246,0.5456591501058439,0.6527538772237664,0.08548369621759513,0.6922306278037592,0.7705999402926617,,0.14520255821639788,0.08078945254208528,
30,"6_1,2_0,2_1,2_2,7_1",,,0.24416383926945598,,,0.2314589109318352,,,0.2814428107017024,,,homo_sapiens,,0.21621273476900943,0.2696507814946535,,0.25156925181638645,,,,,,,,,,,,,,0.22679812175067565,0.27803574006630644,0.22671218823980832,0.2828034106358961,0.24680347450191745,0.2324430026861629,0.24049022525286862,,,0.18256287291069348,,,0.23828624357839706,
31,"6_1,2_2,7_1",,,1.0,,,1.0,1.0,,1.0,1.0,,monodelphis_domestica,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"2_0,7_1",,,0.5586441759998866,,,0.8689873781141589,0.10842698543701224,,0.005422257243383988,1.0,0.0005802486130917922,mus_musculus,0.6129091925190703,0.933833597036039,0.5859888579859678,0.6597055976470552,0.12122354378592974,1.0,,,,1.0,1.0,1.0,0.014110797000689634,1.0,,,1.0,,,,,,,,,,,,,,,
33,"2_0,2_2,7_1",,,0.4413558240001134,,,0.13101262188584104,0.8915730145629878,,0.9945777427566159,,0.9994197513869081,mus_musculus,0.3870908074809296,0.06616640296396106,0.41401114201403216,0.34029440235294495,0.8787764562140702,,,,,,,,0.9858892029993104,,,,,,,,,,,,,,,,,,,
34,"2_0,2_2,7_1",,,,,,,,,0.997099866010374,,0.9992285896469629,rattus_norvegicus,,,,0.2846661226836762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"2_0,7_1",,,,,,1.0,1.0,,0.0029001339896260747,1.0,0.0007714103530370511,rattus_norvegicus,1.0,1.0,1.0,0.7153338773163238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"6_1,2_0,2_1,2_2,7_1",,,,,,,,,0.26971907418157953,0.3117458135288745,,sus_scrofa,0.29381037212023914,,0.2817531305903399,,,,0.36012861736334406,0.3641440941267264,,,,,,,,,,,,,,,,,,,,,,,,
37,"6_1,2_2,7_1",,,,,,,,,0.5451929629723113,0.1837080715470436,,sus_scrofa,0.35597381629076247,,0.2737030411449016,,,,0.3987138263665595,0.41129398842709486,,,,,,,,,,,,,,,,,,,,,,,,
38,"6_1,2_0,7_1",,,,,,,,,0.0052436962063656355,0.5045461149240817,,sus_scrofa,0.15085000309884042,,0.25491949910554573,,,,0.24115755627009652,0.22456191744617868,,,,,,,,,,,,,,,,,,,,,,,,
39,"6_1,2_0,2_2,7_1",,,,,,,,,0.17984426663974357,,,sus_scrofa,0.19936580849015786,,0.1896243291592129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"6_1,2_2,7_1",1.0,1.0,1.0,0.9996676271781321,1.0,1.0,1.0,,1.0,1.0,0.9999238530363602,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"6_1,7_1",,,,0.00033237282186797526,,,,,,,7.614696363982486e-05,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"13_0,2_6",,,,,,,,,,,,gorilla_gorilla,,,,,,0.012347915386086877,,0.011019463540932523,0.020833333333333322,,,,,,,,,,,,,,,,,,,,,,,
43,"13_0,3_0,2_6",,,,,,1.0,,,1.0,,,gorilla_gorilla,,,,,,0.9876520846139132,,0.9889805364590676,0.9791666666666667,,,,,,,,,,,,,,,,,,,,,,,
