Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	2_2,11_0,5_0	2.6143596919677955e-07				5.497866684862813e-07	2.1652239058040992e-07	7.52079009610216e-08	6.582330201157803e-07	1.5002051769973986e-06	5.197321880036646e-07	5.9054557789432e-08	1.2314179762444092e-05	1.3671207318171757e-07	6.782471611279434e-06	2.7655577791036596e-06		8.884440407477695e-07					2.020523072011377e-07	1.6757113295443997e-06				1.234964179630032e-05			0.00043547661036246035	1.17229546008717e-06			6.402345873544492e-07		7.993270412881376e-07		0.00013748943841543907
monodelphis_domestica	2_2,11_0,5_0					8.908934998382103e-07			2.904767977294868e-07						1.6152837793601916e-05			9.334463587473649e-07										9.904922694970363e-06							3.5081406880020223e-07				
bos_taurus	2_2,11_0,5_0					3.26535146371308e-06			2.4908262333530625e-06				0.0003900353543457122					0.00033313780537846385					8.280209059570865e-07	1.2724552891085964e-05					1.482930823750561e-06		0.0011056943458944224	3.25352106595258e-05			4.508694159809725e-06				
gorilla_gorilla	2_2,11_0,5_0					3.891003778328218e-06					1.0318097576827886e-05						1.8679815264098965e-06	1.4494378225794423e-05					1.8812820480658056e-06						4.271887191403565e-06						1.3871031962548792e-06				
sus_scrofa	2_2,11_0,5_0					2.32271442855268e-06												0.00018047524924075454			3.8257188921562394e-06		1.4847041752951418e-06	4.061327381306751e-06					1.8045282563994847e-06										
homo_sapiens	2_2,11_0,5_0		6.229908517408477e-06	1.5203787579268382e-05	1.3642367019878904e-05	4.941858481266589e-06			2.134023643660994e-06		1.1858323508382843e-06		0.00011249193989075576		1.743263220856348e-05		1.451737169895301e-06	1.4773539613818145e-05	5.289732570546807e-05	8.906921732839255e-06	2.9311535951978744e-06		2.2295369593779862e-07	7.286699067687307e-06	7.076135332120269e-06	4.0409261260875454e-05	0.0007476334727496133	1.3095639478166366e-05	8.802330539821862e-07	5.3525792172786833e-05	0.00014963298326742844		2.1871719619519665e-05	2.1708021895579206e-07	2.1707647672730196e-05	4.287567778987104e-05		7.511731658342224e-05	
rattus_norvegicus	2_2,11_0,5_0					8.3849456266762e-07			1.2007183389174299e-06				4.599238175966752e-05					3.2877637370709125e-06						4.531593965119791e-06							0.0008790978924912366	3.4785671292945232e-06			1.3694050644977908e-06				
homo_sapiens	2_2,5_0																									2.3831399991179732e-08	1.2196206317471532e-07												
bos_taurus	2_2,5_0																	2.9024863559195762e-08													8.129615859812473e-08								
mus_musculus	2_0,11_0,5_0	2.7253530728400904e-07				9.696599318070797e-07		1.0027720128136213e-07	4.5733447660111e-07		2.3946945620054304e-07		2.533850356595219e-05	1.731686260301756e-07	1.1878626649962568e-05	3.326316038461084e-06		1.2628913339090222e-06					2.5611745097936094e-07	3.605146813723997e-06				1.545779379358067e-05			0.0001818014199263677	2.5922126201552666e-06			1.3075314307076304e-06		1.966588165481832e-06		7.417911885423213e-05
bos_taurus	2_0,11_0,5_0					6.733284276688191e-06			2.292484677381191e-06				0.0008554256714485303					0.0001285020099879494					1.991184048746976e-06	3.222020292497045e-05					1.5022059646892885e-06		0.00040182591674814134	7.400035652780837e-05			6.983679466184179e-06				
gorilla_gorilla	2_0,11_0,5_0					5.047583847745739e-06					6.428997129202078e-06						1.9979280673775415e-06	1.1721425686466049e-05					2.710237017975424e-06						4.299871957953268e-06						2.055473602469417e-06				
sus_scrofa	2_0,11_0,5_0					3.668349922950724e-06												8.753268232473011e-05			6.5081194947025674e-06		2.2486362156617218e-06	2.231341043612062e-05					1.310948921012793e-06										
homo_sapiens	2_0,11_0,5_0		1.7787456172651144e-05	4.187714691346552e-05	1.2496964109106291e-05	8.711578560702051e-06			2.971562047118603e-06		6.477334040549595e-07		0.00024072886899588258		3.6070359347459116e-05		1.4238092317162428e-06	1.115364367349406e-05	3.497270850440647e-05	1.5465165717388043e-05	3.3358045224689056e-06	1.1057707824245425e-07	3.916848186718426e-07	1.2407911384731028e-05	1.484657917675329e-05	4.409428076518714e-05	0.0003109518344446415	2.7056329210831542e-05	8.5466278318546e-07	0.00011196805388563605	6.709251050899126e-05		4.0532236791616714e-05		3.599215215421042e-05	2.6155960338386507e-05		3.0357475695466424e-05	
rattus_norvegicus	2_0,11_0,5_0					1.6913191985585646e-06			1.0766255396599674e-06				9.494868859087491e-05					4.075450771672934e-06					4.5854358500465737e-07	8.958537396468527e-06							0.0003972249581195271	6.4675287759410835e-06			2.5474696929140505e-06				
homo_sapiens	2_0,2_2,5_0																									9.796870577625083e-08	2.2117550172156583e-07												
bos_taurus	2_0,2_2,5_0																	1.3112903690380933e-07													7.51307463582891e-08								
homo_sapiens	4_2,11_0,5_0				8.267923058447705e-06																					3.1917139762449884e-05	0.0003104422145120322								1.8103226802593595e-05				
bos_taurus	4_2,11_0,5_0					3.1550458610902718e-06							0.0003853533219059744					0.00012506825453307454					7.923538551611305e-07	1.2183766971266938e-05							0.00040003015415954245	3.199826187364596e-05			3.3387290987792383e-06				
rattus_norvegicus	4_2,11_0,5_0												4.588275833170398e-05											4.449662290738885e-06							0.00039662441844014537								
mus_musculus	4_2,11_0,5_0																											9.104644441007805e-06			0.00018155396731997836						6.354240302411605e-07		7.292775741716974e-05
homo_sapiens	4_2,2_2,5_0																									6.643280577501037e-06	0.0004021054805334591												
bos_taurus	4_2,2_2,5_0																	0.00021746759089785769													0.0006550645576757891								
mus_musculus	4_2,2_0,2_2					6.977625177155024e-07			1.3268246507891336e-07						3.974124602229235e-06			5.927458558535878e-07						2.0326212547548788e-06				5.818852836924774e-06			5.72916549496957e-07	1.648548159558121e-06			8.890645055413092e-07		8.959096573890229e-07		1.1972459595774767e-06
bos_taurus	4_2,2_0,2_2					4.018124197511202e-06			7.397394913100815e-07				0.0004581307179867618					3.141375292263637e-06					1.1689349833788189e-06	1.8120511429226557e-05					1.0686484808358639e-06		2.0206626362270425e-06	4.813156540114353e-05			3.394170157125143e-06				
