,path,colon,lung,skeletal muscle tissue,adult mammalian kidney,brain,heart,liver,spleen,testis,Species,prefrontal cortex,kidney,female gonad,placenta,cerebellum,frontal cortex,thymus,zone of skin,Ammon's horn,bone marrow macrophage,embryonic stem cell,fibroblast,bone marrow,brown adipose tissue,multi-cellular organism,muscle of leg,adrenal tissue,adipose tissue,adrenal gland,heart left ventricle,intestine,lymph node,prostate gland,stomach,thoracic mammary gland,thyroid gland,cerebral cortex,leukocyte
0,"4_2,2_0,2_2,11_0,5_0",0.21764821866798167,0.22032013952537324,0.1813935875263749,0.22453424931969485,0.2628739571585984,0.173783296273796,0.22310046482903886,0.22967468155871335,0.21523410829493866,bos_taurus,0.2996379250473968,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4_2,2_0,11_0,5_0",0.44941195193045924,0.47917989909176023,0.0881681953041486,0.44049264199901095,0.32825342126411255,0.09062769556734825,0.46786423753050305,0.4626899851578332,0.37286610683384924,bos_taurus,0.39852908179862007,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4_2,2_0,2_2,5_0",,,0.0004500658777348848,,,0.0021745446556651576,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"4_2,11_0,5_0",0.19777132523109867,0.1740524325823139,0.13101367088630628,0.19452686792394291,,0.12926624531805156,0.1770439841355896,0.18221109024450516,0.18186023487059597,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"4_2,2_2,5_0",,,0.21453985774880216,,,0.22476702068544566,,,,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4_2,2_2,11_0,5_0",0.13516850417046047,0.12644752880055254,0.3844346226566331,0.14044624075735135,0.408872621577289,0.37938119749969323,0.13199131350486853,0.12542424303894836,0.23003955000061602,bos_taurus,0.30183299315398315,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"4_2,2_2,11_0,5_0",,,,0.22310095957427709,,0.37789649653149887,0.21552647685014226,,0.23074325052730812,gorilla_gorilla,0.36316655703253325,,,,0.5034303255335575,0.34247341913822044,,,,,,,,,,,,,,,,,,,,,,
7,"4_2,2_0,2_2,11_0,5_0",,,,0.31678426958750977,,0.294414880869846,0.30318996095982015,,0.2879309150817018,gorilla_gorilla,0.27630819324903055,,,,0.26857470986398213,0.2770005595970901,,,,,,,,,,,,,,,,,,,,,,
8,"4_2,2_0,11_0,5_0",,,,0.46011477083821306,,0.3276886225986551,0.48128356219003765,,0.48132583439098997,gorilla_gorilla,0.3605252497184362,,,,0.22799496460246027,0.3805260212646894,,,,,,,,,,,,,,,,,,,,,,
9,"4_2,2_0,2_2,11_0,5_0",0.2456833199713865,0.2830164808719774,,0.2786761045539169,0.27948751650464526,0.28521246895207364,0.2898380942366661,,0.19777247580524557,homo_sapiens,0.30384971651569503,0.2799026454238134,0.25393605329830277,0.2591031302344993,0.25354524550524865,0.2857836419266649,,,,,,,,,0.17879847859430278,0.1815439334300605,0.24520358417028146,0.2257053003052211,0.22983373451262387,0.29407558449653826,0.2521862332055595,0.2666134744984554,0.2769917946030752,0.26627275516886023,0.27421496747064505,0.27981431004062374,,
10,"4_2,2_2,11_0,5_0",0.19985596680419643,0.20795775133044292,0.7615797637321327,0.20150788498924177,0.27972305778352335,0.4162929973366604,0.206268827203419,,0.19875298496298296,homo_sapiens,0.31294711553994586,0.32657787629398943,0.20419686206893767,0.19285560619514394,0.5462988939661579,0.3496129927490818,,,,,,,,,0.23796077122549947,0.37171219988349546,0.26350360158568115,0.16785022286723267,0.16953470992616876,0.4264483326597664,0.24542676221576415,0.1857831975411345,0.16960836613275987,0.21165664206246357,0.49203136307822337,0.5635308411494816,,
11,"4_2,2_0,11_0,5_0",0.5544607132244169,0.5090257677975796,0.23842023626786743,0.5198160104568414,0.4407894257118314,0.2984945337112659,0.5038930785599148,,0.38018230150398385,homo_sapiens,0.3832031679443591,0.39351947828219713,0.5418670846327596,0.5480412635703568,0.2001558605285933,0.3646033653242533,,,,,,,,,0.25660378447452303,0.10081951568137036,0.2891805112231635,0.6064444768275462,0.6006315555612074,0.27947608284369535,0.5023870045786764,0.5476033279604101,0.5533998392641649,0.5220706027686762,0.23375366945113168,0.15665484880989475,,
12,"4_2,2_0,2_2,5_0",,,,,,,,,,homo_sapiens,,,,,,,,,,,,,,,0.03404304903837039,0.0003545336649492821,,,,,,,,,,,,
