TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						danio_rerio	1	SRP022612																																																													2.6314678717245726e-08
						danio_rerio	4	GSE39703																			0.0																																										
						danio_rerio	6	GSE39703																			0.0																																										
						danio_rerio	61	GSE39703																			3.5244192625011916e-08								5.072938712812823e-07																												0.0						
						danio_rerio	61	GSE68666																			0.0																																										
						danio_rerio	61	SRP022612																																																													1.564298270454368e-08
						danio_rerio	61	GSE71755																													0.0																																
						danio_rerio	61	GSE63191																											0.0																																		
						danio_rerio	61	GSE42846																			0.0																																										
						danio_rerio	61	GSE63133																												0.0																																	
						danio_rerio	61	SRP044781											2.5549490986433398e-08	0.0							4.1812813775114426e-08			0.0							0.0		2.6720400322900006e-08	0.0			0.0									0.0		0.0											0.0				
						danio_rerio	1	GSE71755																													1.0742133159912336e-07																																
						danio_rerio	2	GSE39703																			0.0																																										
						danio_rerio	1	SRP044781																																0.0																													
						danio_rerio	3	GSE39703																			0.0																																										
						danio_rerio	3	SRP022612																																																													0.0
						danio_rerio	63	GSE39703																			0.0																																				0.0						
						danio_rerio	63	GSE68666																			0.0																																										
						danio_rerio	63	SRP022612																																																													0.0
						danio_rerio	63	GSE71755																													0.0																																
						danio_rerio	63	GSE63191																											0.0																																		
						danio_rerio	63	GSE42846																			0.0																																										
						danio_rerio	63	GSE63133																												0.0																									0.0								
						danio_rerio	63	SRP044781											0.0	0.0							0.0			0.0							0.0		0.0	0.0			0.0				0.0					0.0		0.0											2.1768339760943575e-08				
						danio_rerio	2	GSE39703																			3.5114871102262475e-08																																										
						danio_rerio	2	SRP044781											0.0																																														0.0				
						danio_rerio	1	SRP022612																																																													0.0
						danio_rerio	67	GSE39703																			4.6724902757296455e-08								7.102114197937951e-07																												9.260410808492204e-08						
						danio_rerio	67	GSE68666																			1.30202331819601e-08																																										
						danio_rerio	67	SRP022612																																																													4.735214666008758e-08
						danio_rerio	67	GSE71755																													0.0																																
						danio_rerio	67	GSE63191																											0.0																																		
						danio_rerio	67	GSE71681																					0.0																																								
						danio_rerio	67	GSE42846																			0.0																																										
						danio_rerio	67	GSE63133																												0.0																									5.3195430916769526e-08								
						danio_rerio	67	SRP044781											3.83242364796501e-08	0.0							0.0			0.0							1.6354450930874085e-08		2.6720400322900006e-08	0.0			0.0				0.0					6.377460117197947e-08		0.0											0.0				
						danio_rerio	1	SRP022612																																																													0.0
						danio_rerio	1	SRP022612																																																													0.0
						danio_rerio	2	SRP022612																																																													0.0
						danio_rerio	67	GSE39703																			5.586550240516468e-07								4.159809744506515e-06																												1.2038534051039865e-06						
						danio_rerio	67	GSE68666																			1.2824952227052954e-08																																										
						danio_rerio	67	SRP022612																																																													8.684584050838602e-07
						danio_rerio	67	GSE71755																													2.9155406362805912e-08																																
						danio_rerio	67	GSE63191																											0.0																																		
						danio_rerio	67	GSE71681																					1.2045032763994746e-08																																								
						danio_rerio	67	GSE42846																			8.99997461616828e-08																																										
						danio_rerio	67	GSE63133																												1.689330252070035e-07																									1.0639086183353905e-07								
						danio_rerio	67	SRP044781											5.1098981972866796e-08	0.0							4.1812813775114426e-08			0.0							1.6354450930874085e-08		0.0	0.0			0.0				0.0					1.5943650292994868e-07		3.8051547670598404e-07											0.0				
