,path,adult mammalian kidney,brain,colon,liver,lung,spleen,testis,heart,skeletal muscle tissue,Species,cerebellum,female gonad,prefrontal cortex,kidney,adipose tissue,frontal cortex,heart left ventricle,intestine,multi-cellular organism,muscle of leg,placenta,prostate gland,stomach,adrenal gland,adrenal tissue,leukocyte,lymph node,thoracic mammary gland,thyroid gland
0,"4_2,6_0,6_1,10_0",0.27420901181189505,0.2463858586243179,0.2572408409677659,0.2834818166972604,0.2704984295518204,0.263312906671651,0.2946171654827948,0.24240669852547403,0.239841379848857,bos_taurus,,,0.26022620011468195,,,,,,,,,,,,,,,,
1,"4_2,6_1,10_0",0.020149703246612315,0.6874034756739311,0.02081521193730177,0.02449829588465125,0.06567087420228987,0.0237722576981946,0.01769333812587866,0.7177902970371924,0.7519560163251632,bos_taurus,,,0.6255386413860133,,,,,,,,,,,,,,,,
2,"4_2,10_0",,,,,0.002144799206554768,0.0002370543040580687,0.0023168496445314488,0.0004872899210607238,0.0003496165810004141,bos_taurus,,,,,,,,,,,,,,,,,,,
3,"4_2,6_0,10_0",0.7056412849414926,0.0662106657017511,0.7219439470949324,0.6920198874180884,0.6616858970393349,0.7126777813260963,0.685372646746795,0.03931571451627283,0.007852987244979468,bos_taurus,,,0.11423515849930481,,,,,,,,,,,,,,,,
4,"4_2,6_0,6_1,10_0",,0.22831811778024583,0.20493085483308768,,,,0.2361455371178882,0.2513591859295198,,homo_sapiens,0.15189903403455646,,0.19816904623863688,0.24744118264262968,,0.2456614257830598,0.23580659274314258,0.23307077431120138,0.2583403480370863,0.23052552198200746,0.24338407498538991,0.24801940727992647,,,0.24729149805141343,,,0.20828769680578638,0.2510293092433636
5,"4_2,6_0,10_0",0.9909503671238825,0.16520421637290597,0.7095267902466817,0.9822139374344967,0.9410145686134511,,0.6269683808247407,0.31035357227386806,0.026744472871333146,homo_sapiens,0.11014159463774925,0.9943413016799434,0.07410019718303025,0.7388713900218418,0.9648763025305375,0.05436457127383546,0.4181679690915804,0.7438995275544331,0.49195079956855864,0.0019125424494019108,0.7455190177696409,0.7233767023995141,0.895731936699004,0.97439912001784,0.6615311582918518,0.9837333206375798,0.8936963801730629,0.4776041728602517,0.23696721117214015
6,"4_2,6_1,10_0",0.009049632876117486,0.6016081930975119,0.0823680618849712,0.017786062565503327,0.042549705748571594,,0.12895248864281944,0.4334388502463602,0.9732555271286669,homo_sapiens,0.7278374106156481,0.004508452645598944,0.7277307565783329,0.0136874273355286,0.03258636833915485,0.6954916374696314,0.3359208996596048,0.01769768211317735,0.24836133435158558,0.7673002757231605,0.007998701404611315,0.022318250181643597,0.09689295732262355,0.025600879982159926,0.09117734365673466,0.016266679362420298,0.10630361982693713,0.3141081303339619,0.5120034795844962
7,"4_2,10_0",,0.004869472749336361,0.003174293035259417,,0.016435725637977325,,0.00793359341455167,0.004848391550251963,,homo_sapiens,0.010121960712046244,0.0011502456744577362,,,0.0025373291303076332,0.004482365473473312,0.01010453850567233,0.005332016021188139,0.0013475180427695698,0.00026165984543017435,0.003098205840357882,0.006285640138915854,0.007375105978372529,,,,,,
8,"4_2,6_1,10_0",,1.0,,,,,1.0,1.0,,monodelphis_domestica,1.0,1.0,,,,,,,,,,,,,,,,,
9,"4_2,10_0",0.004687276757615097,0.006118573930495234,0.00033091430869884516,0.016647053384891787,0.0013878866535574235,0.0022583690055069214,0.00276073199542765,,,rattus_norvegicus,,,,,,,,,,,,,,,,,,,
10,"4_2,6_0,6_1,10_0",0.2872314667646485,0.21518285000994894,0.28203563820008104,0.2869754047573182,0.2933219775801221,0.2807274775953967,0.30933944635040156,0.3006952705359374,0.23295452669953437,rattus_norvegicus,,,,,,,,,,,,,,,,,,,
11,"4_2,6_0,10_0",0.7042284167015344,0.12487029270172963,0.7107265118248877,0.6860299682896951,0.6657211338116633,0.7031269871923506,0.6810355009275725,0.5868048329585273,0.08295035227608888,rattus_norvegicus,,,,,,,,,,,,,,,,,,,
12,"4_2,6_1,10_0",0.003852839776202133,0.6538282833578262,0.006906935666332428,0.010347573568094924,0.03956900195465724,0.013887166206745807,0.006864320726598284,0.11249989650553531,0.6840951210243768,rattus_norvegicus,,,,,,,,,,,,,,,,,,,
13,"4_2,6_1,10_0",0.007171350178436925,,,,0.13100152074733867,,,0.18773234200743494,,sus_scrofa,,,0.6176552155297723,,,,,,,,,,,,,,,,
14,"4_2,10_0",,,,,0.0026069954377579835,,,0.007434944237918214,,sus_scrofa,,,,,,,,,,,,,,,,,,,
15,"4_2,6_0,10_0",0.992828649821563,,,1.0,0.6778188138170759,,,0.8048327137546469,,sus_scrofa,,,0.13533916875510024,1.0,,,,,,,,,,,,,,,
16,"4_2,6_0,6_1,10_0",,,,,0.18857266999782749,,,,,sus_scrofa,,,0.24700561571512752,,,,,,,,,,,,,,,,
