TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000013077	ENSBTAE00000106633/ENSBTAE00000487855	4_1	ENSBTAT00000013077	ENSBTAE00000106638	1_0	bos_taurus	19	GSE41637						1.9739082766159817e-07						1.338723265244574e-08				1.1466703788209064e-08													3.4979523428242235e-05							7.153209020210385e-08																9.46122087155874e-05	5.164782448581782e-08				1.3575056184419225e-06				
ENSBTAT00000013077	ENSBTAE00000106633/ENSBTAE00000487855	4_1	ENSBTAT00000013077	ENSBTAE00000106638	1_0	bos_taurus	19	GSE43013						2.0355722259966458e-07																																											7.360288468924702e-08												
ENSBTAT00000013077	ENSBTAE00000106633/ENSBTAE00000487855	4_1	ENSBTAT00000075495	ENSBTAE00000106638	1_0	bos_taurus	19	GSE41637						1.9739082766159817e-07						1.338723265244574e-08				1.1466703788209064e-08													3.4979523428242235e-05							7.153209020210385e-08																9.46122087155874e-05	5.164782448581782e-08				1.3575056184419225e-06				
ENSBTAT00000013077	ENSBTAE00000106633/ENSBTAE00000487855	4_1	ENSBTAT00000075495	ENSBTAE00000106638	1_0	bos_taurus	19	GSE43013						2.0355722259966458e-07																																											7.360288468924702e-08												
ENSBTAT00000075495	ENSBTAE00000106633/ENSBTAE00000487855	4_1	ENSBTAT00000013077	ENSBTAE00000106638	1_0	bos_taurus	19	GSE41637						1.9739082766159817e-07						1.338723265244574e-08				1.1466703788209064e-08													3.4979523428242235e-05							7.153209020210385e-08																9.46122087155874e-05	5.164782448581782e-08				1.3575056184419225e-06				
ENSBTAT00000075495	ENSBTAE00000106633/ENSBTAE00000487855	4_1	ENSBTAT00000013077	ENSBTAE00000106638	1_0	bos_taurus	19	GSE43013						2.0355722259966458e-07																																											7.360288468924702e-08												
ENSBTAT00000075495	ENSBTAE00000106633/ENSBTAE00000487855	4_1	ENSBTAT00000075495	ENSBTAE00000106638	1_0	bos_taurus	19	GSE41637						1.9739082766159817e-07						1.338723265244574e-08				1.1466703788209064e-08													3.4979523428242235e-05							7.153209020210385e-08																9.46122087155874e-05	5.164782448581782e-08				1.3575056184419225e-06				
ENSBTAT00000075495	ENSBTAE00000106633/ENSBTAE00000487855	4_1	ENSBTAT00000075495	ENSBTAE00000106638	1_0	bos_taurus	19	GSE43013						2.0355722259966458e-07																																											7.360288468924702e-08												
ENSBTAT00000013077	ENSBTAE00000106638	1_0	ENSBTAT00000075495	ENSBTAE00000514252	11_0	bos_taurus	12	GSE41637						2.3222450313129197e-08																							4.897530310918743e-07							5.0574388502539894e-08																2.1126742054091923e-07					6.379930690133911e-07				
ENSBTAT00000013077	ENSBTAE00000106638	1_0	ENSBTAT00000075495	ENSBTAE00000514252	11_0	bos_taurus	12	GSE43013						8.836798124053799e-08																													8.189850563891686e-08																										
