Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	5_0,3_1,8_0	1.4654025180499512e-06				1.9540036347477536e-06		0.0	0.0	7.867401927345058e-07	0.0	4.916319662895213e-07	0.0	2.184715248503095e-06			0.0	1.6527383243520015e-05	0.0			4.023249538675622e-06					5.405696921244011e-07	2.343862177051293e-05					4.9192620670931635e-05			1.0339360812167476e-06	7.555544658821633e-06		2.138651289919031e-06		8.32081560143558e-06		2.549777538024806e-08
monodelphis_domestica	5_0,3_1,8_0					2.156543752736523e-06				2.0045792628468934e-06		2.381089529235607e-07						3.202227842266834e-05				5.061950044494253e-07					5.387488720094097e-07						2.118647011588872e-05						7.671345261098711e-07				
xenopus_tropicalis	5_0,3_1,8_0						2.52806100165062e-06			4.568814949576239e-06					1.1294130359001316e-06	4.305118953893744e-06		2.194832819189268e-05			4.706938590045375e-06	0.0008517751720615733					8.335796404576246e-06			4.198048025083704e-05						4.622080321398654e-06			1.17204675947146e-05				
bos_taurus	5_0,3_1,8_0					1.4148096246733325e-05				3.851592789169586e-06				2.230562433125862e-05								2.6485624137056202e-06					2.678841565813573e-06	3.8878134633602826e-05						2.3789585028655025e-06		2.1013594263468688e-06	1.5882337740218626e-05		1.7654889987723598e-06				
gorilla_gorilla	5_0,3_1,8_0					2.5136391791497096e-06						6.5712436315345475e-06								1.624331762095562e-06		1.6964131811941976e-06					2.4933608687962644e-06							3.2056692502181988e-06					9.596193246071571e-06				
sus_scrofa	5_0,3_1,8_0					7.0584377946873695e-06																1.3993234970553487e-05			1.134523533535988e-05		4.479564332688249e-06	3.588302192189848e-05						4.100840674352177e-06									
homo_sapiens	5_0,3_1,8_0		3.4816610594611486e-05	2.3469266733864842e-05	8.570247454988948e-06	7.432333483241687e-06				6.373133953137407e-06		1.7469885089091306e-06		2.3551865902747324e-05				8.571322123286785e-05		1.488888382718734e-05		7.653222409446294e-06	1.0963204916801053e-05	2.731714430729823e-05	2.144707713390019e-05	1.0121704161035105e-05	9.511627673269795e-07	4.025114293285323e-05	1.1570470691556314e-05		4.9846060421658965e-05	9.495813671061162e-07	8.422571566155018e-05	4.121870437443677e-06	1.3892461337985438e-05	1.9187284783013185e-06		2.1547397247961714e-05	2.0265339322991983e-05	1.239733678778889e-05		1.1391632396613249e-05	
rattus_norvegicus	5_0,3_1,8_0					7.77605626144249e-06				2.201752391140619e-06				1.9948536117755573e-05								8.762986513459244e-06					1.398497353111743e-06	4.267540553718755e-05								2.506437830211815e-06	1.9555145535899597e-05		3.619605054495698e-07				
mus_musculus	5_0,8_0					5.579503188073476e-08																5.717336337061046e-08						5.444277454552043e-08					6.606694257911237e-08				4.17528846337318e-08				3.645565780744444e-08		2.3359732458979026e-08
homo_sapiens	5_0,8_0									8.06213389849967e-08		4.2604476401210094e-08						2.8407148408914206e-08						7.451855928793494e-08							1.8997131972897858e-08												
xenopus_tropicalis	5_0,8_0						1.0571034604070356e-07									1.0270075150442328e-07					1.0705294187843905e-07	4.1216712025450645e-08																					
bos_taurus	5_0,8_0																											1.5172316550761968e-07											1.2200937781159171e-08				
rattus_norvegicus	5_0,8_0					4.038584093955774e-07								1.2301853431683207e-08													5.84087312175043e-08	4.71105934529309e-08								1.7690098729679318e-08	1.2220915478215368e-08						
