TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						danio_rerio	1	SRP044781																																																									6.530501928283072e-08				
						danio_rerio	1	SRP044781																																																									2.1768339760943575e-08				
						danio_rerio	1	SRP044781																																																									2.8298841689226646e-07				
						danio_rerio	1	SRP044781																																																									4.353667952188715e-08				
						danio_rerio	1	SRP044781																			2.0906406887557213e-08																																										
						danio_rerio	66	GSE39703																			1.8280356941669847e-06								6.087526455375387e-07																												6.482287565944543e-07						
						danio_rerio	66	GSE42846																			5.989327592248594e-07																																										
						danio_rerio	66	GSE63191																											4.242326985255797e-07																																		
						danio_rerio	66	SRP022612																																																													1.1544423591355447e-06
						danio_rerio	66	GSE71755																													1.4753725795214962e-07																																
						danio_rerio	66	SRP044781											5.620888017015348e-07	1.82730898225554e-06							4.913005618575944e-06			3.5949683572448224e-06							4.0886127327185214e-07		1.4161812171137002e-06	2.359290817475242e-06			6.008236451021247e-08				2.675762713897684e-07					4.1453490761786655e-07		1.6115949601665208e-06											6.748185325892508e-07				
						danio_rerio	66	GSE71681																					2.9179717442066957e-07																																								
						danio_rerio	66	GSE63133																												3.37866050414007e-07																									3.1917258550061714e-07								
						danio_rerio	66	GSE68666																			7.225660255376334e-07																																										
						danio_rerio	1	SRP044781																						5.2100990684707574e-08																																							
						danio_rerio	2	GSE42846																			5.807146634691743e-08																																										
						danio_rerio	2	SRP044781																			2.0906406887557213e-08																																										
						danio_rerio	64	GSE39703																			6.80015687328741e-07								3.0437632276876935e-07																												2.778123242547661e-07						
						danio_rerio	64	GSE42846																			7.305519880093707e-07																																										
						danio_rerio	64	GSE63191																											6.455686226620337e-07																																		
						danio_rerio	64	SRP022612																																																													9.474770821538882e-07
						danio_rerio	64	GSE71755																													1.0928440840305091e-07																																
						danio_rerio	64	SRP044781											7.537099840997852e-07	1.6123314549313589e-06							4.097655749961213e-06			4.689089161623682e-06							5.396968807188449e-07		1.0153752122702003e-06	2.435396972877669e-06			1.802470935306374e-07				2.2298022615814034e-07					2.8698570527390763e-07		1.119163166782306e-06											1.959150578484922e-06				
						danio_rerio	64	GSE71681																					2.207288193051269e-07																																								
						danio_rerio	64	GSE63133																												6.75732100828014e-07																									2.6597715458384764e-07								
						danio_rerio	64	GSE68666																			6.685344154672498e-07																																										
						danio_rerio	1	SRP044781																													1.6354450930874085e-08																																
						danio_rerio	40	GSE39703																			0.0								0.0																																		
						danio_rerio	40	GSE42846																			0.0																																										
						danio_rerio	40	GSE63191																											0.0																																		
						danio_rerio	40	SRP022612																																																													0.0
						danio_rerio	40	GSE71755																													0.0																																
						danio_rerio	40	SRP044781											0.0								0.0			0.0									0.0	0.0												0.0		0.0											0.0				
						danio_rerio	40	GSE71681																					0.0																																								
						danio_rerio	40	GSE63133																												0.0																									0.0								
						danio_rerio	1	GSE39703																			9.78007161750844e-08																																										
						danio_rerio	65	GSE39703																			1.458668054305142e-06								4.0583509702502584e-07																												1.1112492970190644e-06						
						danio_rerio	65	GSE42846																			7.466673897497734e-07																																										
						danio_rerio	65	GSE63191																											5.152669814173823e-07																																		
						danio_rerio	65	SRP022612																																																													1.1056626306517514e-06
						danio_rerio	65	GSE71755																													3.256547664579227e-07																																
						danio_rerio	65	SRP044781											8.431332025523022e-07	1.6481610428187222e-06							4.411251853274572e-06			3.907574301353068e-06							6.378235863040893e-07		1.3360200161450004e-06	2.3085533805402902e-06			1.2016472902042494e-07				4.013644070846526e-07					2.550984046879179e-07		1.5892116968308746e-06											2.155065636333414e-06				
						danio_rerio	65	GSE71681																					1.3340608099011526e-07																																								
						danio_rerio	65	GSE63133																												5.63110084023345e-07																									4.255634473341562e-07								
						danio_rerio	65	GSE68666																			1.5909964395802845e-06																																										
						danio_rerio	67	GSE39703																			1.8155748675814392e-06								3.0437632276876935e-07																												3.7041643233968814e-07						
						danio_rerio	67	GSE42846																			8.593535758064564e-07																																										
						danio_rerio	67	GSE63191																											4.978902539947409e-07																																		
