TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
						danio_rerio	1	SRP044781																																																									0.0				
						danio_rerio	1	SRP044781																																																									0.0				
						danio_rerio	1	SRP044781																																																									0.0				
						danio_rerio	1	SRP044781																																																									0.0				
						danio_rerio	1	SRP044781																			0.0																																										
						danio_rerio	66	GSE39703																			5.418750528463646e-09								2.0291754851251292e-07																												9.260410808492204e-08						
						danio_rerio	66	GSE68666																			3.1521526532268626e-08																																										
						danio_rerio	66	SRP022612																																																													1.9225197968842107e-08
						danio_rerio	66	GSE71755																													0.0																																
						danio_rerio	66	GSE63191																											0.0																																		
						danio_rerio	66	GSE71681																					0.0																																								
						danio_rerio	66	GSE42846																			0.0																																										
						danio_rerio	66	GSE63133																												0.0																									0.0								
						danio_rerio	66	SRP044781											1.2774745493216699e-08	0.0							0.0			0.0							0.0		0.0	2.5368718467475717e-08			0.0				0.0					0.0		0.0											0.0				
						danio_rerio	1	SRP044781																						0.0																																							
						danio_rerio	2	GSE42846																			0.0																																										
						danio_rerio	2	SRP044781																			0.0																																										
						danio_rerio	64	GSE39703																			1.2404515969541103e-08								0.0																												0.0						
						danio_rerio	64	GSE68666																			1.869657430521567e-08																																										
						danio_rerio	64	SRP022612																																																													4.5500534335470676e-08
						danio_rerio	64	GSE71755																													0.0																																
						danio_rerio	64	GSE63191																											1.0084408922943175e-08																																		
						danio_rerio	64	GSE71681																					2.4718244150402805e-08																																								
						danio_rerio	64	GSE42846																			4.348973498934387e-08																																										
						danio_rerio	64	GSE63133																												5.63110084023345e-08																									0.0								
						danio_rerio	64	SRP044781											1.2774745493216699e-08	0.0							2.0906406887557211e-07			0.0							0.0		2.6720400322900006e-08	1.0147487386990287e-07			0.0				0.0					0.0		4.476652667129224e-08											4.353667952188715e-08				
						danio_rerio	1	SRP044781																													0.0																																
						danio_rerio	40	GSE39703																			1.1646415835795561e-07								1.0145877425625646e-07																																		
						danio_rerio	40	SRP022612																																																													1.1082798352314427e-07
						danio_rerio	40	GSE71755																													1.1662162545122365e-07																																
						danio_rerio	40	GSE63191																											9.504078966218475e-08																																		
						danio_rerio	40	GSE71681																					3.707736622560421e-08																																								
						danio_rerio	40	GSE42846																			1.4466774770053997e-07																																										
						danio_rerio	40	GSE63133																												5.63110084023345e-08																									1.0639086183353905e-07								
						danio_rerio	40	SRP044781											1.2774745493216699e-08								1.4634484821290047e-07			1.0420198136941515e-07									8.016120096870002e-08	1.268435923373786e-07												6.377460117197947e-08		1.1191631667823061e-07											4.353667952188715e-08				
						danio_rerio	1	GSE39703																			0.0																																										
