Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
danio_rerio	ENSDARG00000008434	ENSDART00000012507/ENSDART00000147617	ENSDARE00000043240	ENSDARE00000043240_SE_1	1_1	18979839.0	18979483.0	23																		0.0	0.0
danio_rerio	ENSDARG00000008434							23												ENSDART00000012507/ENSDART00000147617	ENSDARE00000277726	ENSDARE00000277726_SE_0	2_0	18954976.0	18954833.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000026245	ENSGGOT00000052875	ENSGGOE00000322988	ENSGGOE00000322988_SE_3	3_0	30375186.0	30375102.0	20																		0.0	0.0
gorilla_gorilla	ENSGGOG00000026245							20												ENSGGOT00000030135	ENSGGOE00000215731	ENSGGOE00000215731_SE_0/ENSGGOE00000358020_SE_0	2_0	30318875.0	30318738.0	0.0	0.0
gorilla_gorilla	ENSGGOG00000026245							20												ENSGGOT00000052875	ENSGGOE00000358020	ENSGGOE00000215731_SE_0/ENSGGOE00000358020_SE_0	2_0	30318875.0	30318738.0	0.0	0.0
homo_sapiens	ENSG00000171552							20												ENST00000307677/ENST00000376062	ENSE00001469296/ENSE00003844866	ENSE00001469296_SE_0	2_0	31666086.0	31665949.0	0.0	0.0
homo_sapiens	ENSG00000171552							20												ENST00000376055	ENSE00001469296/ENSE00003844866	ENSE00001469296_SE_0	2_0	31666086.0	31665949.0	0.0	0.0
macaca_mulatta	ENSMMUG00000005985	ENSMMUT00000008370	ENSMMUE00000057934	ENSMMUE00000057934_SE_3/ENSMMUE00000421999_SE_3	1_5	32358268.0	32358282.0	10																		0.0	0.0
macaca_mulatta	ENSMMUG00000005985	ENSMMUT00000070562	ENSMMUE00000385414	ENSMMUE00000385414_SE_1	3_0	32357804.0	32357888.0	10																		0.0	0.0
macaca_mulatta	ENSMMUG00000005985	ENSMMUT00000070562	ENSMMUE00000421999	ENSMMUE00000057934_SE_3/ENSMMUE00000421999_SE_3	1_5	32358268.0	32358282.0	10																		0.0	0.0
macaca_mulatta	ENSMMUG00000005985	ENSMMUT00000070562	ENSMMUE00000057935	ENSMMUE00000057935_SE_4/ENSMMUE00000409970_SE_4	2_0	32416095.0	32416232.0	10																		0.0	0.0
macaca_mulatta	ENSMMUG00000005985							10												ENSMMUT00000008370	ENSMMUE00000409970	ENSMMUE00000057935_SE_4/ENSMMUE00000409970_SE_4	2_0	32416095.0	32416232.0	0.0	0.0
macaca_mulatta	ENSMMUG00000005985							10												ENSMMUT00000070562	ENSMMUE00000385414	ENSMMUE00000385414_SE_1	3_0	32357804.0	32357888.0	0.0	0.0
macaca_mulatta	ENSMMUG00000005985							10												ENSMMUT00000070562	ENSMMUE00000421999	ENSMMUE00000057934_SE_3/ENSMMUE00000421999_SE_3	1_2	32358068.0	32358069.0	0.0	0.0
macaca_mulatta	ENSMMUG00000005985							10												ENSMMUT00000070562	ENSMMUE00000057935	ENSMMUE00000057935_SE_4/ENSMMUE00000409970_SE_4	2_0	32416095.0	32416232.0	0.0	0.0
macaca_mulatta									32360456.0	32382532.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR649368	1	0							5.048995706788461e-08	0.0
macaca_mulatta									32360456.0	32386327.0	1.0	1.0	260.0	1.0	10.4	25.0	SRR1051537,SRR1051539,SRR1051572,SRR1051637,SRR306777,SRR306778,SRR306779,SRR306780,SRR306781,SRR306782,SRR306787,SRR306788,SRR594446,SRR594450,SRR594453,SRR594455,SRR594457,SRR594458,SRR594459,SRR594460,SRR594462,SRR594463,SRR594464,SRR594471,SRR649368	1,1,3,1,6,1,33,6,11,1,1,3,12,1,1,131,1,2,6,1,5,4,1,2,25	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0							1.0235867234054905e-05	1.4681503500474176e-08
macaca_mulatta									32369343.0	32377212.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR306780	1	0							9.232183317186244e-08	0.0
macaca_mulatta									32370328.0	32380159.0	1.0	1.0	0.0	1.0	0.0	1.0	SRR306780	0	1							0.0	9.232183317186244e-08
macaca_mulatta									32375616.0	32375656.0	1.0	1.0	9.0	0.0	3.0	3.0	SRR306778,SRR306781,SRR649368	1,7,1	0,0,0							8.073500994493186e-07	0.0
macaca_mulatta									32376688.0	32376843.0	1.0	1.0	1.0	4.0	1.0	1.0	SRR306780	1	4							9.232183317186244e-08	3.6928733268744977e-07
macaca_mulatta									32376787.0	32376843.0	1.0	1.0	1.0	5.0	0.3333333333333333	3.0	SRR306778,SRR306780,SRR594459	0,0,1	1,4,0							1.2517253782613954e-08	4.666536516525003e-07
macaca_mulatta									32376886.0	32376986.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR306780	1	0							9.232183317186244e-08	0.0
macaca_mulatta									32376901.0	32376986.0	1.0	1.0	2.0	0.0	2.0	1.0	SRR594455	2	0							2.936300700094835e-08	0.0
macaca_mulatta									32376961.0	32376986.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR306780	1	0							9.232183317186244e-08	0.0
macaca_mulatta									32376987.0	32377298.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR306781	1	0							9.421340334519763e-08	0.0
macaca_mulatta									32377146.0	32377212.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR306780	1	0							9.232183317186244e-08	0.0
macaca_mulatta									32377175.0	32377589.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR306781	1	0							9.421340334519763e-08	0.0
macaca_mulatta									32377282.0	32377307.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR306780	1	0							9.232183317186244e-08	0.0
macaca_mulatta									32377371.0	32377472.0	1.0	1.0	0.0	2.0	0.0	2.0	SRR594455,SRR649368	0,0	1,1							0.0	6.517146056835879e-08
macaca_mulatta									32377371.0	32377538.0	1.0	1.0	0.0	17.0	0.0	5.0	SRR306780,SRR306781,SRR306787,SRR594455,SRR649368	0,0,0,0,0	1,1,1,11,3							0.0	5.480872111145025e-07
macaca_mulatta									32377371.0	32377643.0	1.0	1.0	0.0	1.0	0.0	1.0	SRR649368	0	1							0.0	5.048995706788461e-08
macaca_mulatta									32377371.0	32377769.0	1.0	1.0	0.0	1.0	0.0	1.0	SRR306780	0	1							0.0	9.232183317186244e-08
macaca_mulatta									32377419.0	32377472.0	1.0	1.0	0.0	2.0	0.0	2.0	SRR594455,SRR649368	0,0	1,1							0.0	6.517146056835879e-08
macaca_mulatta									32377419.0	32377538.0	1.0	1.0	0.0	21.0	0.0	4.0	SRR306781,SRR306787,SRR594455,SRR649368	0,0,0,0	1,1,16,3							0.0	5.29172895445011e-07
macaca_mulatta									32377419.0	32377643.0	1.0	1.0	0.0	1.0	0.0	1.0	SRR649368	0	1							0.0	5.048995706788461e-08
macaca_mulatta									32377467.0	32377538.0	1.0	1.0	5.0	21.0	1.25	4.0	SRR306781,SRR306787,SRR594455,SRR649368	0,0,5,0	1,1,16,3							7.340751750237087e-08	5.29172895445011e-07
macaca_mulatta									32377467.0	32377643.0	1.0	1.0	0.0	1.0	0.0	1.0	SRR649368	0	1							0.0	5.048995706788461e-08
macaca_mulatta									32377533.0	32377604.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR306780	1	0							9.232183317186244e-08	0.0
macaca_mulatta									32377584.0	32377643.0	1.0	1.0	0.0	1.0	0.0	1.0	SRR649368	0	1							0.0	5.048995706788461e-08
macaca_mulatta									32377584.0	32377769.0	1.0	1.0	0.0	2.0	0.0	2.0	SRR306780,SRR594455	0,0	1,1							0.0	1.0700333667233662e-07
macaca_mulatta									32382722.0	32386327.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594455	1	0							1.4681503500474176e-08	0.0
macaca_mulatta									32383123.0	32385298.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR306789	1	0							8.750828812873939e-08	0.0
macaca_mulatta									32383176.0	32385200.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR649369	1	0							2.3810556734151657e-08	0.0
macaca_mulatta									32383176.0	32386327.0	1.0	1.0	5.0	0.0	1.6666666666666667	3.0	SRR1051577,SRR1051578,SRR1051662	1,3,1	0,0,0							9.694253504895747e-07	0.0
macaca_mulatta									32385457.0	32386327.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594463	1	0							1.3178657191036431e-08	0.0
macaca_mulatta									32385858.0	32386327.0	1.0	1.0	2.0	0.0	2.0	1.0	SRR1051663	2	0							8.975130720535162e-08	0.0
macaca_mulatta									32386017.0	32386327.0	1.0	1.0	77.0	0.0	2.40625	32.0	SRR1051538,SRR1051539,SRR1051541,SRR1051542,SRR1051543,SRR1051544,SRR1051545,SRR1051551,SRR1051572,SRR1051573,SRR1051577,SRR1051578,SRR1051602,SRR1051628,SRR1051632,SRR1051637,SRR1051662,SRR306779,SRR306781,SRR306782,SRR306784,SRR594446,SRR594453,SRR594455,SRR594456,SRR594459,SRR594462,SRR594463,SRR594464,SRR594471,SRR649368,SRR649369	2,1,1,1,2,2,1,1,5,3,2,2,1,1,1,2,2,1,1,1,1,2,1,30,1,1,1,3,1,1,1,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0							6.353742144600874e-06	0.0
macaca_mulatta									32386017.0	32386525.0	1.0	1.0	3.0	0.0	1.5	2.0	SRR1051545,SRR1051572	1,2	0,0							2.6324130323253435e-07	0.0
macaca_mulatta									32409484.0	32409822.0	1.0	1.0	2.0	0.0	1.0	2.0	SRR594463,SRR594472	1,1	0,0							1.032621492740037e-07	0.0
monodelphis_domestica	ENSMODG00000019490	ENSMODT00000024743	ENSMODE00000202460	ENSMODE00000202460_SE_0	1_5	401808501.0	401808518.0	1	401808519.0	401824909.0	1.0	1.0	0.0	1.0	0.0	1.0	SRR306750	0	1							0.0	3.179330384695161e-08
monodelphis_domestica	ENSMODG00000019490	ENSMODT00000024743	ENSMODE00000202460	ENSMODE00000202460_SE_0	1_5	401808501.0	401808518.0	1	401808519.0	401834588.0	1.0	1.0	66.0	0.0	4.125	16.0	SRR306743,SRR306744,SRR306749,SRR306750,SRR306751,SRR306752,SRR306755,SRR306756,SRR649376,SRR649377,SRR649378,SRR649379,SRR649380,SRR943346,SRR943347,SRR943348	2,1,1,1,1,2,1,9,2,12,9,7,3,5,7,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0							3.169409394826811e-06	0.0
monodelphis_domestica	ENSMODG00000019490	ENSMODT00000024743	ENSMODE00000202460	ENSMODE00000202460_SE_0	1_5	401808501.0	401808518.0	1	401808519.0	401842840.0	1.0	1.0	3.0	0.0	1.0	3.0	SRR306749,SRR306754,SRR649377	1,1,1	0,0,0							1.7878670090519946e-07	0.0
monodelphis_domestica	ENSMODG00000019490	ENSMODT00000024743	ENSMODE00000202460	ENSMODE00000202460_SE_0	1_5	401808501.0	401808518.0	1	401808519.0	401848770.0	1.0	1.0	1365.0	5.0	59.34782608695652	23.0	SRR306742,SRR306743,SRR306744,SRR306745,SRR306746,SRR306747,SRR306748,SRR306749,SRR306750,SRR306751,SRR306752,SRR306753,SRR306754,SRR306755,SRR306756,SRR649376,SRR649377,SRR649378,SRR649379,SRR649380,SRR943346,SRR943347,SRR943348	14,41,16,25,17,16,42,25,74,33,32,11,4,4,16,111,339,253,30,21,113,65,63	0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0	ENSMODT00000024743	ENSMODE00000238812	ENSMODE00000238812_SE_1	2_0	401848771.0	401848908.0	6.769281708676007e-05	2.39261772643519e-07
monodelphis_domestica	ENSMODG00000019490							1	401806569.0	401848770.0	1.0	1.0	89.0	0.0	4.684210526315788	19.0	SRR306742,SRR306743,SRR306744,SRR306745,SRR306746,SRR306747,SRR306748,SRR306749,SRR306750,SRR306751,SRR306754,SRR306755,SRR306756,SRR649376,SRR649377,SRR649378,SRR943346,SRR943347,SRR943348	4,6,3,5,8,3,11,6,7,1,1,1,1,13,4,3,2,5,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSMODT00000024743	ENSMODE00000238812	ENSMODE00000238812_SE_1	2_0	401848771.0	401848908.0	4.9397946779599795e-06	0.0
monodelphis_domestica	ENSMODG00000019490							1	401806428.0	401848770.0	1.0	1.0	10.0	0.0	1.6666666666666667	6.0	SRR306743,SRR306745,SRR306750,SRR649376,SRR649377,SRR649378	1,1,4,1,1,2	0,0,0,0,0,0	ENSMODT00000024743	ENSMODE00000238812	ENSMODE00000238812_SE_1	2_0	401848771.0	401848908.0	4.3075983324847553e-07	0.0
monodelphis_domestica	ENSMODG00000019490							1	401807593.0	401848770.0	1.0	1.0	56.0	0.0	3.733333333333333	15.0	SRR306742,SRR306743,SRR306744,SRR306745,SRR306746,SRR306748,SRR306749,SRR306750,SRR306751,SRR306754,SRR649376,SRR649377,SRR649378,SRR943346,SRR943347	3,1,3,1,1,8,4,17,1,1,2,1,7,2,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSMODT00000024743	ENSMODE00000238812	ENSMODE00000238812_SE_1	2_0	401848771.0	401848908.0	2.6648147137916287e-06	0.0
monodelphis_domestica	ENSMODG00000019490							1	401808330.0	401848770.0	1.0	1.0	45.0	0.0	2.6470588235294112	17.0	SRR306743,SRR306744,SRR306748,SRR306749,SRR306750,SRR306751,SRR306753,SRR306754,SRR306756,SRR649376,SRR649377,SRR649378,SRR649379,SRR649380,SRR943346,SRR943347,SRR943348	4,1,3,1,4,1,1,1,1,3,7,4,4,4,3,1,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSMODT00000024743	ENSMODE00000238812	ENSMODE00000238812_SE_1	2_0	401848771.0	401848908.0	1.9994285022528848e-06	0.0
monodelphis_domestica	ENSMODG00000019490							1	401820002.0	401848770.0	1.0	1.0	2.0	0.0	1.0	2.0	SRR649377,SRR943346	1,1	0,0	ENSMODT00000024743	ENSMODE00000238812	ENSMODE00000238812_SE_1	2_0	401848771.0	401848908.0	8.246067350296295e-08	0.0
monodelphis_domestica	ENSMODG00000019490							1	401820173.0	401848770.0	1.0	1.0	11.0	0.0	3.6666666666666665	3.0	SRR649377,SRR649378,SRR943346	5,1,5	0,0,0	ENSMODT00000024743	ENSMODE00000238812	ENSMODE00000238812_SE_1	2_0	401848771.0	401848908.0	4.5937290296297604e-07	0.0
monodelphis_domestica	ENSMODG00000019490							1	401820373.0	401848770.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR649377	1	0	ENSMODT00000024743	ENSMODE00000238812	ENSMODE00000238812_SE_1	2_0	401848771.0	401848908.0	4.152006968064174e-08	0.0
