Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000016773	ENSBTAT00000022306	ENSBTAP00000022306	1	ENSBTAE00000182237	5658324	5658649	1	1	326	5658324	5658649	0	2	5658650	5662686	1	1	8	0	4.0	2	SRR594478,SRR594490	3,5	0,0	ENSBTAG00000016773	ENSBTAT00000022306	ENSBTAP00000022306	1	ENSBTAE00000182240	5662687	5663017	2	327	657	5662687	5663017	2	0	7
bos_taurus	ENSBTAG00000016773	ENSBTAT00000022306	ENSBTAP00000022306	1	ENSBTAE00000182240	5662687	5663017	2	327	657	5662687	5663017	2	0																										7
bos_taurus																										ENSBTAG00000016773	ENSBTAT00000022306	ENSBTAP00000022306	1	ENSBTAE00000182237	5658324	5658649	1	1	326	5658324	5658649	0	2	7
danio_rerio	ENSDARG00000052035	ENSDART00000143829	ENSDARP00000117387	-1	ENSDARE00001071386	58005222	58006818	3	466	787	58006497	58006818	2	-1																										1
danio_rerio	ENSDARG00000052035	ENSDART00000143829	ENSDARP00000117387	-1	ENSDARE00001019948	58008411	58008744	2	140	465	58008411	58008736	-1	2																										1
danio_rerio	ENSDARG00000052035	ENSDART00000143829	ENSDARP00000117387	-1	ENSDARE00001008993	58009086	58009216	1					-1	-1																										1
danio_rerio																										ENSDARG00000052035	ENSDART00000143829	ENSDARP00000117387	-1	ENSDARE00001071386	58005222	58006818	3	466	787	58006497	58006818	2	-1	1
danio_rerio																										ENSDARG00000052035	ENSDART00000143829	ENSDARP00000117387	-1	ENSDARE00001019948	58008411	58008744	2	140	465	58008411	58008736	-1	2	1
danio_rerio																										ENSDARG00000052035	ENSDART00000143829	ENSDARP00000117387	-1	ENSDARE00001008993	58009086	58009216	1					-1	-1	1
homo_sapiens	ENSG00000171773	ENST00000301944	ENSP00000305631	-1	ENSE00001255300	17455425	17455959	2	412	724	17455647	17455959	2	-1	17455960	17460081	2	2	1	0	1.0	1	ERR030880	1	0															19
