Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000012667	ENSBTAT00000016830	ENSBTAE00000504719	ENSBTAE00000504518_SE_30/ENSBTAE00000504719_SE_30	23_0	29760825	29760761	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000031316	ENSBTAE00000504719	ENSBTAE00000504518_SE_30/ENSBTAE00000504719_SE_30	23_0	29760825	29760761	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000077892	ENSBTAE00000504719	ENSBTAE00000504518_SE_30/ENSBTAE00000504719_SE_30	23_0	29760825	29760761	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000016830	ENSBTAE00000512993	ENSBTAE00000512993_SE_7	19_0	29713892	29713869	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000031316	ENSBTAE00000512993	ENSBTAE00000512993_SE_7	19_0	29713892	29713869	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000016830	ENSBTAE00000502385	ENSBTAE00000502385_SE_1	1_0	29708402	29708332	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000031316	ENSBTAE00000491765	ENSBTAE00000491765_SE_23	2_2	29740009	29739998	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000077892	ENSBTAE00000491765	ENSBTAE00000491765_SE_23	2_2	29740009	29739998	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000031316	ENSBTAE00000537306	ENSBTAE00000537306_SE_21	7_0	29737678	29737657	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000077892	ENSBTAE00000537306	ENSBTAE00000537306_SE_21	7_0	29737678	29737657	28																	
bos_taurus	ENSBTAG00000012667	ENSBTAT00000077892	ENSBTAE00000491278	ENSBTAE00000491278_SE_4	12_0	29710590	29710553	28																	
