Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000497836	27322295	27322300	17	1927	1932	27322295	27322300	0	0	27322301	27323386	2	2	208	1	9.043478260869565	23	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636840,SRR636890	1,39,14,20,20,29,24,16,4,4,1,3,1,5,5,1,1,3,4,4,1,4,4	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000057599	27323387	27323487	16	1826	1926	27323387	27323487	1	0	19
bos_taurus	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000497836	27322295	27322300	17	1927	1932	27322295	27322300	0	0	27322301	27323386	2	2	208	1	9.043478260869565	23	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR594499,SRR636840,SRR636890	1,39,14,20,20,29,24,16,4,4,1,3,1,5,5,1,1,3,4,4,1,4,4	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAP00000068397	-1	ENSBTAE00000057599	27323387	27323487	16	2192	2292	27323387	27323487	1	0	19
bos_taurus	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000057599	27323387	27323487	16	1826	1926	27323387	27323487	1	0	27323488	27323630	2	2	5607	4	169.9090909090909	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	494,353,1698,249,194,309,965,210,357,21,8,194,15,13,18,50,23,32,20,34,91,17,5,34,49,28,24,7,10,11,12,44,18	0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000057598	27323631	27323726	15	1730	1825	27323631	27323726	1	1	19
bos_taurus	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000057599	27323387	27323487	16	1826	1926	27323387	27323487	1	0	27323488	27323630	2	2	5607	4	169.9090909090909	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	494,353,1698,249,194,309,965,210,357,21,8,194,15,13,18,50,23,32,20,34,91,17,5,34,49,28,24,7,10,11,12,44,18	0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAP00000068397	-1	ENSBTAE00000057598	27323631	27323726	15	2096	2191	27323631	27323726	1	1	19
bos_taurus	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAP00000068397	-1	ENSBTAE00000057599	27323387	27323487	16	2192	2292	27323387	27323487	1	0	27323488	27323630	2	2	5607	4	169.9090909090909	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	494,353,1698,249,194,309,965,210,357,21,8,194,15,13,18,50,23,32,20,34,91,17,5,34,49,28,24,7,10,11,12,44,18	0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000057598	27323631	27323726	15	1730	1825	27323631	27323726	1	1	19
bos_taurus	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAP00000068397	-1	ENSBTAE00000057599	27323387	27323487	16	2192	2292	27323387	27323487	1	0	27323488	27323630	2	2	5607	4	169.9090909090909	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	494,353,1698,249,194,309,965,210,357,21,8,194,15,13,18,50,23,32,20,34,91,17,5,34,49,28,24,7,10,11,12,44,18	0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAP00000068397	-1	ENSBTAE00000057598	27323631	27323726	15	2096	2191	27323631	27323726	1	1	19
bos_taurus	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000057598	27323631	27323726	15	1730	1825	27323631	27323726	1	1	27323727	27323821	2	2	6418	4	194.48484848484847	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	580,349,1895,223,178,246,994,142,419,31,8,198,27,14,53,144,50,146,51,17,199,37,14,67,75,12,44,11,17,17,28,84,48	0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000057597	27323822	27324022	14	1529	1729	27323822	27324022	1	1	19
bos_taurus	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000057598	27323631	27323726	15	1730	1825	27323631	27323726	1	1	27323727	27323821	2	2	6418	4	194.48484848484847	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	580,349,1895,223,178,246,994,142,419,31,8,198,27,14,53,144,50,146,51,17,199,37,14,67,75,12,44,11,17,17,28,84,48	0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAP00000068397	-1	ENSBTAE00000057597	27323822	27324022	14	1895	2095	27323822	27324022	1	1	19
bos_taurus	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAP00000068397	-1	ENSBTAE00000057598	27323631	27323726	15	2096	2191	27323631	27323726	1	1	27323727	27323821	2	2	6418	4	194.48484848484847	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	580,349,1895,223,178,246,994,142,419,31,8,198,27,14,53,144,50,146,51,17,199,37,14,67,75,12,44,11,17,17,28,84,48	0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000007185	ENSBTAP00000007185	-1	ENSBTAE00000057597	27323822	27324022	14	1529	1729	27323822	27324022	1	1	19
bos_taurus	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAP00000068397	-1	ENSBTAE00000057598	27323631	27323726	15	2096	2191	27323631	27323726	1	1	27323727	27323821	2	2	6418	4	194.48484848484847	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	580,349,1895,223,178,246,994,142,419,31,8,198,27,14,53,144,50,146,51,17,199,37,14,67,75,12,44,11,17,17,28,84,48	0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000005462	ENSBTAT00000075605	ENSBTAP00000068397	-1	ENSBTAE00000057597	27323822	27324022	14	1895	2095	27323822	27324022	1	1	19
