Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000364294	ENSGGOE00000085154_SE_2/ENSGGOE00000364294_SE_2	4_1	109280146	109280271	12	109280272	109284777	1	1	3	0	1.0	3	SRR306806,SRR306807,SRR649366	1,1,1	0,0,0	ENSGGOT00000008355	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778	109284893
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000364294	ENSGGOE00000085154_SE_2/ENSGGOE00000364294_SE_2	4_1	109280146	109280271	12	109280272	109284777	1	1	3	0	1.0	3	SRR306806,SRR306807,SRR649366	1,1,1	0,0,0	ENSGGOT00000027259	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778	109284893
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000027259	ENSGGOE00000085154	ENSGGOE00000085154_SE_2/ENSGGOE00000364294_SE_2	4_1	109280146	109280271	12	109280272	109284777	1	1	3	0	1.0	3	SRR306806,SRR306807,SRR649366	1,1,1	0,0,0	ENSGGOT00000008355	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778	109284893
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000027259	ENSGGOE00000085154	ENSGGOE00000085154_SE_2/ENSGGOE00000364294_SE_2	4_1	109280146	109280271	12	109280272	109284777	1	1	3	0	1.0	3	SRR306806,SRR306807,SRR649366	1,1,1	0,0,0	ENSGGOT00000027259	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778	109284893
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778	109284893	12	109284894	109287769	1	1	1	0	1.0	1	SRR649367	1	0	ENSGGOT00000008355	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770	109287968
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778	109284893	12	109284894	109287769	1	1	1	0	1.0	1	SRR649367	1	0	ENSGGOT00000027259	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770	109287968
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000027259	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778	109284893	12	109284894	109287769	1	1	1	0	1.0	1	SRR649367	1	0	ENSGGOT00000008355	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770	109287968
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000027259	ENSGGOE00000085158	ENSGGOE00000085158_SE_3	9_0	109284778	109284893	12	109284894	109287769	1	1	1	0	1.0	1	SRR649367	1	0	ENSGGOT00000027259	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770	109287968
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770	109287968	12	109287969	109289092	1	1	2	0	1.0	2	SRR306810,SRR649367	1,1	0,0	ENSGGOT00000008355	ENSGGOE00000085164	ENSGGOE00000085164_SE_5	22_0	109289093	109289173
gorilla_gorilla	ENSGGOG00000008306	ENSGGOT00000008355	ENSGGOE00000231982	ENSGGOE00000231982_SE_4	1_0	109287770	109287968	12	109287969	109289092	1	1	2	0	1.0	2	SRR306810,SRR649367	1,1	0,0	ENSGGOT00000027259	ENSGGOE00000085164	ENSGGOE00000085164_SE_5	22_0	109289093	109289173
