Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000507190	ENSBTAE00000507190_SE_0	0_1	50958102.0	50958104.0	10.0	50958105.0	51059103.0	1.0	1.0	869.0	0.0	28.032258064516128	31.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	47,142,84,231,29,99,35,18,11,2,4,3,28,17,2,10,1,3,5,18,1,23,4,1,3,3,4,8,18,8,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000061089	ENSBTAE00000234401	ENSBTAE00000234401_SE_1	9_0	51059104.0	51059118.0	1.9425146293473346e-05	0.0
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000507190	ENSBTAE00000507190_SE_0	0_1	50958102.0	50958104.0	10.0	50958105.0	51072391.0	1.0	1.0	3.0	0.0	3.0	1.0	SRR594474	3	0	ENSBTAT00000061089	ENSBTAE00000234403	ENSBTAE00000234403_SE_4	22_0	51072392.0	51072486.0	3.440011136462719e-08	0.0
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000507190	ENSBTAE00000507190_SE_0	0_1	50958102.0	50958104.0	10.0	50958105.0	51072391.0	1.0	1.0	3.0	0.0	3.0	1.0	SRR594474	3	0	ENSBTAT00000076532	ENSBTAE00000234403	ENSBTAE00000234403_SE_4	22_0	51072392.0	51072486.0	3.440011136462719e-08	0.0
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000234401	ENSBTAE00000234401_SE_2/ENSBTAE00000499157_SE_2	9_2	51059170.0	51059247.0	10.0	51059248.0	51069188.0	1.0	1.0	673.0	0.0	21.70967741935484	31.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000061089	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189.0	51069278.0	1.7740194019701807e-05	0.0
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000234401	ENSBTAE00000234401_SE_2/ENSBTAE00000499157_SE_2	9_2	51059170.0	51059247.0	10.0	51059248.0	51069188.0	1.0	1.0	673.0	0.0	21.70967741935484	31.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000076532	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189.0	51069278.0	1.7740194019701807e-05	0.0
bos_taurus	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAE00000499157	ENSBTAE00000234401_SE_2/ENSBTAE00000499157_SE_2	9_2	51059170.0	51059247.0	10.0	51059248.0	51069188.0	1.0	1.0	673.0	0.0	21.70967741935484	31.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000061089	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189.0	51069278.0	1.7740194019701807e-05	0.0
bos_taurus	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAE00000499157	ENSBTAE00000234401_SE_2/ENSBTAE00000499157_SE_2	9_2	51059170.0	51059247.0	10.0	51059248.0	51069188.0	1.0	1.0	673.0	0.0	21.70967741935484	31.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	14,70,64,149,13,77,22,67,5,5,10,21,8,2,6,1,15,12,6,7,7,15,4,7,2,3,1,11,33,11,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000076532	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189.0	51069278.0	1.7740194019701807e-05	0.0
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189.0	51069278.0	10.0	51069279.0	51069852.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594480	1	0							1.2911956121454455e-08	0.0
bos_taurus	ENSBTAG00000021538	ENSBTAT00000076532	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189.0	51069278.0	10.0	51069279.0	51069852.0	1.0	1.0	1.0	0.0	1.0	1.0	SRR594480	1	0							1.2911956121454455e-08	0.0
bos_taurus	ENSBTAG00000021538	ENSBTAT00000061089	ENSBTAE00000234402	ENSBTAE00000234402_SE_3	14_0	51069189.0	51069278.0	10.0	51069279.0	51072391.0	1.0	1.0	820.0	0.0	24.84848484848485	33.0	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	18,67,70,181,14,120,37,58,17,10,29,11,22,7,12,3,9,4,5,17,6,13,5,24,2,1,2,3,3,8,24,11,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000061089	ENSBTAE00000234403	ENSBTAE00000234403_SE_4	22_0	51072392.0	51072486.0	2.2183859463867694e-05	0.0
