Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000008323	ENSBTAT00000068441	ENSBTAP00000070650	1	ENSBTAE00000495991	3478001	3478162	1					-1	-1	3478163	3479646	1	1	1	0	1.0	1	SRR594473	1	0															13
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAP00000010961	1	ENSBTAE00000367782	3478033	3478162	1					-1	-1	3478163	3479646	1	1	1	0	1.0	1	SRR594473	1	0															13
bos_taurus	ENSBTAG00000008323	ENSBTAT00000068441	ENSBTAP00000070650	1	ENSBTAE00000495991	3478001	3478162	1					-1	-1	3478163	3479679	1	1	1	0	1.0	1	SRR594473	1	0															13
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAP00000010961	1	ENSBTAE00000367782	3478033	3478162	1					-1	-1	3478163	3479679	1	1	1	0	1.0	1	SRR594473	1	0															13
bos_taurus	ENSBTAG00000008323	ENSBTAT00000068441	ENSBTAP00000070650	1	ENSBTAE00000495991	3478001	3478162	1					-1	-1	3478163	3479745	1	1	1	0	1.0	1	SRR594473	1	0															13
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAP00000010961	1	ENSBTAE00000367782	3478033	3478162	1					-1	-1	3478163	3479745	1	1	1	0	1.0	1	SRR594473	1	0															13
bos_taurus	ENSBTAG00000008323	ENSBTAT00000068441	ENSBTAP00000070650	1	ENSBTAE00000495991	3478001	3478162	1					-1	-1	3478163	3480670	1	1	1	0	1.0	1	SRR594473	1	0															13
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAP00000010961	1	ENSBTAE00000367782	3478033	3478162	1					-1	-1	3478163	3480670	1	1	1	0	1.0	1	SRR594473	1	0															13
bos_taurus	ENSBTAG00000008323	ENSBTAT00000068441	ENSBTAP00000070650	1	ENSBTAE00000495991	3478001	3478162	1					-1	-1	3478163	3487333	1	1	34	0	11.33333333333333	3	SRR594473,SRR636934,SRR636935	31,2,1	0,0,0															13
bos_taurus	ENSBTAG00000008323	ENSBTAT00000010961	ENSBTAP00000010961	1	ENSBTAE00000367782	3478033	3478162	1					-1	-1	3478163	3487333	1	1	34	0	11.33333333333333	3	SRR594473,SRR636934,SRR636935	31,2,1	0,0,0															13
