Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127109	ENSBTAE00000127109_SE_0	2_0	125697527	125697746	2	125697747	125698219	1	1	1058	88	36.48275862068965	29	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	34,99,18,26,57,392,29,197,7,1,2,3,4,41,1,26,6,0,9,1,0,1,57,36,2,3,3,2,1	0,5,1,1,4,5,0,26,0,0,0,2,0,12,0,8,0,1,1,0,1,0,9,10,0,0,0,1,1	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	ENSBTAE00000127115_SE_1	12_0	125698220	125698233
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127109	ENSBTAE00000127109_SE_0	2_0	125697527	125697746	2	125697747	125698260	1	1	6	0	6.0	1	SRR594478	6	0						
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	ENSBTAE00000127115_SE_1	12_1	125698234	125698322	2	125698323	125699049	1	1	2	0	2.0	1	SRR594477	2	0						
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	ENSBTAE00000127115_SE_1	12_1	125698234	125698322	2	125698323	125699090	1	1	1228	25	42.3448275862069	29	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	29,106,20,35,81,431,24,280,12,9,2,3,2,33,31,1,2,8,1,1,3,41,52,1,7,1,5,6,1	0,5,0,1,2,4,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	ENSBTAE00000127120_SE_2	13_0	125699091	125699189
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127115	ENSBTAE00000127115_SE_1	12_1	125698234	125698322	2	125698323	125702728	1	1	2	0	1.0	2	SRR594474,SRR594489	1,1	0,0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	ENSBTAE00000127125_SE_3	11_0	125702729	125702832
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	ENSBTAE00000127120_SE_2	13_0	125699091	125699189	2	125699190	125702728	1	1	1054	7	37.642857142857146	28	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594498,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	18,68,8,21,59,266,9,253,7,7,6,79,1,74,4,4,13,3,4,1,47,74,5,2,3,6,11,1	0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	ENSBTAE00000127125_SE_3	11_0	125702729	125702832
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127120	ENSBTAE00000127120_SE_2	13_0	125699091	125699189	2	125699190	125703289	1	1	10	0	2.0	5	SRR594473,SRR594474,SRR594478,SRR594480,SRR594487	1,2,3,3,1	0,0,0,0,0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	ENSBTAE00000127128_SE_4	9_0	125703290	125703330
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127125	ENSBTAE00000127125_SE_3	11_0	125702729	125702832	2	125702833	125703289	1	1	871	0	31.107142857142854	28	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	19,60,12,16,54,281,3,232,8,1,1,38,1,36,1,1,4,3,4,43,36,1,1,1,3,5,5,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	ENSBTAE00000127128_SE_4	9_0	125703290	125703330
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	ENSBTAE00000127128_SE_4	9_1	125703331	125703439	2	125703440	125704119	1	1	823	0	28.379310344827584	29	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594493,SRR594495,SRR594496,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	34,72,8,27,56,226,21,188,11,1,3,4,1,31,3,22,7,4,3,1,47,31,2,2,3,3,6,4,2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000295396	ENSBTAE00000295396_SE_5	7_1	125704120	125704275
bos_taurus	ENSBTAG00000011784	ENSBTAT00000015646/ENSBTAT00000072676/ENSBTAT00000076250/ENSBTAT00000078914	ENSBTAE00000127128	ENSBTAE00000127128_SE_4	9_1	125703331	125703439	2	125703440	125704121	1	1	1	0	1.0	1	SRR594476	1	0						
