TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000037254	ENSBTAE00000290896	1_0				bos_taurus	7	GSE41637						0.0						0.0				3.112441493102923e-08																			0.0																		0.0				0.0				
ENSBTAT00000037254	ENSBTAE00000290896	1_0	ENSBTAT00000037254	ENSBTAE00000456974	3_0	bos_taurus	33	GSE43013						1.519485854366734e-06																													2.6723952798312063e-07														5.695479365752489e-07												
ENSBTAT00000037254	ENSBTAE00000290896	1_0	ENSBTAT00000037254	ENSBTAE00000456974	3_0	bos_taurus	33	GSE41637						2.9547899456730503e-07						4.1864224109981497e-07				9.699574678579489e-07													6.44996967982128e-09						1.3437278631926474e-07	9.248979190166782e-08																3.671318966406844e-08	1.3395507642711657e-07				5.236839395352907e-07				
ENSBTAT00000037254	ENSBTAE00000456974	3_0	ENSBTAT00000037254	ENSBTAE00000407216	2_0	bos_taurus	33	GSE43013						1.3904329400510816e-05																													4.139004529768447e-06														3.4334072680156076e-06												
ENSBTAT00000037254	ENSBTAE00000456974	3_0	ENSBTAT00000037254	ENSBTAE00000407216	2_0	bos_taurus	33	GSE41637						7.635094564376002e-06						4.349404684074857e-06				1.647020074449345e-05													7.4298991500346296e-06						6.044031964247651e-06	2.0113572535374947e-05																7.493358659924048e-06	1.987166015408492e-05				4.066258640580606e-06				
ENSBTAT00000037254	ENSBTAE00000456974	3_0				bos_taurus	1	GSE41637																																				5.0574388502539894e-08																									
			ENSBTAT00000037254	ENSBTAE00000456974	3_0	bos_taurus	1	GSE41637						0.0																																																							
			ENSBTAT00000037254	ENSBTAE00000456974	3_0	bos_taurus	3	GSE41637						0.0																														0.0																	0.0								
						bos_taurus	1	GSE41637																																																									0.0				
						bos_taurus	3	GSE41637						0.0																													0.0																		0.0								
						bos_taurus	9	GSE41637						0.0						0.0				0.0																			0.0	0.0																	0.0				0.0				
