Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000277482	26390112	26391354	23	2923	3606	26390671	26391354	0	-1	26391355	26392070	2	2	1	0	1.0	1	SRR594477	1	0															19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000277482	26390112	26391354	20	2472	3155	26390671	26391354	0	-1	26391355	26392070	2	2	1	0	1.0	1	SRR594477	1	0															19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000277482	26390112	26391354	23	2923	3606	26390671	26391354	0	-1	26391355	26392437	2	2	2	0	2.0	1	SRR594475	2	0															19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000277482	26390112	26391354	20	2472	3155	26390671	26391354	0	-1	26391355	26392437	2	2	2	0	2.0	1	SRR594475	2	0															19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000277482	26390112	26391354	23	2923	3606	26390671	26391354	0	-1	26391355	26392912	2	2	26038	8	789.030303030303	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	1242,1064,6505,1325,854,1614,9781,230,130,19,90,82,81,60,164,558,29,19,66,53,588,51,59,175,616,1,9,50,59,48,137,200,79	0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014255	26392913	26393527	22	2308	2922	26392913	26393527	0	0	19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000277482	26390112	26391354	23	2923	3606	26390671	26391354	0	-1	26391355	26392912	2	2	26038	8	789.030303030303	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	1242,1064,6505,1325,854,1614,9781,230,130,19,90,82,81,60,164,558,29,19,66,53,588,51,59,175,616,1,9,50,59,48,137,200,79	0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000014255	26392913	26393527	19	1857	2471	26392913	26393527	0	0	19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000277482	26390112	26391354	20	2472	3155	26390671	26391354	0	-1	26391355	26392912	2	2	26038	8	789.030303030303	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	1242,1064,6505,1325,854,1614,9781,230,130,19,90,82,81,60,164,558,29,19,66,53,588,51,59,175,616,1,9,50,59,48,137,200,79	0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014255	26392913	26393527	22	2308	2922	26392913	26393527	0	0	19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000277482	26390112	26391354	20	2472	3155	26390671	26391354	0	-1	26391355	26392912	2	2	26038	8	789.030303030303	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	1242,1064,6505,1325,854,1614,9781,230,130,19,90,82,81,60,164,558,29,19,66,53,588,51,59,175,616,1,9,50,59,48,137,200,79	0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000014255	26392913	26393527	19	1857	2471	26392913	26393527	0	0	19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014255	26392913	26393527	22	2308	2922	26392913	26393527	0	0	26393528	26394327	2	2	2	0	2.0	1	SRR594481	2	0															19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000014255	26392913	26393527	19	1857	2471	26392913	26393527	0	0	26393528	26394327	2	2	2	0	2.0	1	SRR594481	2	0															19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014255	26392913	26393527	22	2308	2922	26392913	26393527	0	0	26393528	26394592	2	2	23817	3	721.7272727272726	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	966,1146,5733,1074,823,1945,4728,212,66,81,333,1626,124,106,211,1183,55,34,25,183,791,104,130,395,891,89,17,65,61,74,192,238,116	0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014253	26394593	26394665	21	2235	2307	26394593	26394665	2	0	19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014255	26392913	26393527	22	2308	2922	26392913	26393527	0	0	26393528	26394592	2	2	23817	3	721.7272727272726	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	966,1146,5733,1074,823,1945,4728,212,66,81,333,1626,124,106,211,1183,55,34,25,183,791,104,130,395,891,89,17,65,61,74,192,238,116	0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000014253	26394593	26394665	18	1784	1856	26394593	26394665	2	0	19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000014255	26392913	26393527	19	1857	2471	26392913	26393527	0	0	26393528	26394592	2	2	23817	3	721.7272727272726	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	966,1146,5733,1074,823,1945,4728,212,66,81,333,1626,124,106,211,1183,55,34,25,183,791,104,130,395,891,89,17,65,61,74,192,238,116	0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014253	26394593	26394665	21	2235	2307	26394593	26394665	2	0	19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000014255	26392913	26393527	19	1857	2471	26392913	26393527	0	0	26393528	26394592	2	2	23817	3	721.7272727272726	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	966,1146,5733,1074,823,1945,4728,212,66,81,333,1626,124,106,211,1183,55,34,25,183,791,104,130,395,891,89,17,65,61,74,192,238,116	0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000014253	26394593	26394665	18	1784	1856	26394593	26394665	2	0	19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014255	26392913	26393527	22	2308	2922	26392913	26393527	0	0	26393528	26395424	2	2	1	0	1.0	1	SRR594473	1	0															19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000014255	26392913	26393527	19	1857	2471	26392913	26393527	0	0	26393528	26395424	2	2	1	0	1.0	1	SRR594473	1	0															19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014253	26394593	26394665	21	2235	2307	26394593	26394665	2	0	26394666	26394809	2	2	32576	5	987.1515151515152	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	1339,1597,9603,1351,1005,2767,6553,427,112,97,645,2088,91,70,153,1154,23,71,101,122,1297,80,99,324,568,80,15,60,74,64,161,255,130	0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014252	26394810	26394996	20	2048	2234	26394810	26394996	1	2	19
bos_taurus	ENSBTAG00000001349	ENSBTAT00000081136	ENSBTAP00000062635	-1	ENSBTAE00000014253	26394593	26394665	21	2235	2307	26394593	26394665	2	0	26394666	26394809	2	2	32576	5	987.1515151515152	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	1339,1597,9603,1351,1005,2767,6553,427,112,97,645,2088,91,70,153,1154,23,71,101,122,1297,80,99,324,568,80,15,60,74,64,161,255,130	0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001349	ENSBTAT00000001780	ENSBTAP00000001780	-1	ENSBTAE00000014252	26394810	26394996	17	1597	1783	26394810	26394996	1	2	19
