gene	idE	type	paths	alt_paths	path_species	alt_path_species	path_values	alt_path_values	tr_path	tr_alt_path
TPM2	11_0	I	2_2,11_0,5_0	2_2,5_0	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,bos_taurus	[0.004192612338308945, 7.014042817160431e-05, 0.005665891117189813, 7.527398834703052e-05, 0.00020106564784309587, 0.05964005061237304, 0.0028266574455542834]	[6.590767287788895e-06, 1.9161718075544519e-07]	ENSBTAT00000015186,ENSDART00000158994,ENSDART00000170872,ENST00000329305,ENST00000360958/ENST00000645482,ENST00000607559,ENSGGOT00000050053,ENSGGOT00000067076,ENSMMUT00000022922,ENSMODT00000009441,ENSMUST00000107913,ENSRNOT00000022801,ENSSSCT00000053274/ENSSSCT00000056326	
TPM2	11_0	E	2_0,11_0,5_0	2_0,2_2,5_0	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,bos_taurus	[0.0022248990017322604, 0.004550505092471726, 6.781538427597751e-05, 0.00013272094669616072, 0.027054586148109894, 0.0015620268299815342]	[4.425965665180402e-05, 9.432483361127819e-07]	ENSBTAT00000046179,ENSDART00000163182,ENST00000378292/ENST00000378300,ENST00000647435,ENSGGOT00000049011,ENSMMUT00000022923,ENSMUST00000107914,ENSRNOT00000049000,ENSSSCT00000005854,ENSSSCT00000058312	
TPM2	11_0	E	4_2,11_0,5_0	4_2,2_2,5_0	homo_sapiens,bos_taurus,rattus_norvegicus,mus_musculus	homo_sapiens,bos_taurus	[0.02574895129730135, 0.0028967912920494277, 0.0013720851839162794, 0.002038831708658162]	[0.032079293531131675, 0.0026469458552861114]		
TPM2	2_0	I	4_2,2_0,2_2	4_2,2_2	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	gorilla_gorilla,sus_scrofa,mus_musculus,monodelphis_domestica,homo_sapiens,bos_taurus,rattus_norvegicus	[0.00017440029542298733, 0.0016279882838807125, 3.147117486176079e-05, 3.756995892216356e-05, 0.0010103634439973161, 0.0002445923385140517]	[4.977824143885025e-05, 0.00021244972047825616, 0.003946462689544165, 7.20581855821724e-06, 0.06415199629497556, 0.0052937000933914674, 0.003999652889864979]		ENSBTAT00000015186,ENSDART00000158994,ENSDART00000162428,ENSDART00000170872,ENST00000329305,ENST00000360958/ENST00000645482,ENST00000607559,ENSGGOT00000050053,ENSGGOT00000067076,ENSMMUT00000022922,ENSMODT00000009441,ENSMUST00000107913,ENSRNOT00000022801,ENSSSCT00000053274/ENSSSCT00000056326
TPM2	2_0	I	4_2,2_0,2_2,11_0	4_2,11_0	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,bos_taurus,rattus_norvegicus,mus_musculus	[0.001552586231188178, 0.0029323027630560644, 3.653581033519807e-05, 9.082241620430849e-05, 0.023268125258877503, 0.0011328607881741805]	[1.450258494489906e-06, 2.7320711259972558e-06, 2.531642184301746e-07, 1.3968434169952894e-06]		
TPM2	2_0	I	4_2,2_0,11_0	4_2,11_0	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,bos_taurus,rattus_norvegicus,mus_musculus	[0.00035963200658318563, 0.003282220680120275, 4.440272564498873e-05, 6.427597207941184e-05, 0.002275759151045196, 0.00043426297447187454]	[1.450258494489906e-06, 2.7320711259972558e-06, 2.531642184301746e-07, 1.3968434169952894e-06]	ENSBTAT00000046179,ENSDART00000163182,ENST00000378292/ENST00000378300,ENST00000647435,ENSGGOT00000049011,ENSMMUT00000022923,ENSMUST00000107914,ENSRNOT00000049000,ENSSSCT00000005854,ENSSSCT00000058312	
TPM2	2_0	E	4_2,2_0,11_0	4_2,2_2,11_0	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	[0.00035963200658318563, 0.003282220680120275, 4.440272564498873e-05, 6.427597207941184e-05, 0.002275759151045196, 0.00043426297447187454]	[0.004127710396131363, 7.563164377939993e-06, 0.005417315907399118, 4.8221661360461436e-05, 0.00020488852562342724, 0.06596782259180672, 0.0034545252886797086]	ENSBTAT00000046179,ENSDART00000163182,ENST00000378292/ENST00000378300,ENST00000647435,ENSGGOT00000049011,ENSMMUT00000022923,ENSMUST00000107914,ENSRNOT00000049000,ENSSSCT00000005854,ENSSSCT00000058312	ENSBTAT00000015186,ENSDART00000158994,ENSDART00000170872,ENST00000329305,ENST00000360958/ENST00000645482,ENST00000607559,ENSGGOT00000050053,ENSGGOT00000067076,ENSMMUT00000022922,ENSMODT00000009441,ENSMUST00000107913,ENSRNOT00000022801,ENSSSCT00000053274/ENSSSCT00000056326
TPM2	2_0	E	4_2,2_0,2_2,5_0	4_2,11_0,5_0	homo_sapiens,bos_taurus	homo_sapiens,bos_taurus,rattus_norvegicus,mus_musculus	[0.000675772551760807, 0.0010853893949807267]	[0.02574895129730135, 0.0028967912920494277, 0.0013720851839162794, 0.002038831708658162]		
TPM2	2_0	E	4_2,2_0,11_0,5_0	4_2,2_2,5_0	mus_musculus,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	homo_sapiens,bos_taurus	[0.001598510195688567, 0.004118430624404469, 6.422944890065528e-05, 0.00011111863635880571, 0.018682656879399535, 0.0012041477175192925]	[0.032079293531131675, 0.0026469458552861114]	ENSBTAT00000046179,ENSDART00000163182,ENST00000378292/ENST00000378300,ENST00000647435,ENSGGOT00000049011,ENSMMUT00000022923,ENSMUST00000107914,ENSRNOT00000049000,ENSSSCT00000005854,ENSSSCT00000058312	
TPM2	3_0	I	6_0,3_0,7_0	6_0,7_0	mus_musculus,monodelphis_domestica,bos_taurus,gorilla_gorilla,sus_scrofa,homo_sapiens,rattus_norvegicus	gorilla_gorilla,homo_sapiens	[0.004302448130254943, 0.0001729058177146088, 0.00852088071368433, 7.841861988633944e-05, 0.00023312358381214323, 0.05150521796720117, 0.004112961323468275]	[1.9894448188054844e-07, 1.125132427352154e-06]	ENSBTAT00000015186,ENSBTAT00000046179,ENSDART00000158994,ENSDART00000162428,ENSDART00000170872,ENST00000329305,ENST00000360958/ENST00000645482,ENST00000378292/ENST00000378300,ENST00000647435,ENSGGOT00000049011,ENSGGOT00000050053,ENSGGOT00000067076,ENSMMUT00000022920,ENSMMUT00000022922,ENSMMUT00000022923,ENSMODT00000009441,ENSMUST00000107913,ENSMUST00000107914,ENSRNOT00000022801,ENSRNOT00000049000,ENSSSCT00000005854,ENSSSCT00000053274/ENSSSCT00000056326,ENSSSCT00000058312	
