Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255311	55092790	55093254	1	1	465	55092790	55093254	0	0	55093255	55096655	1	1	102	0	11.33333333333333	9	SRR594473,SRR594474,SRR594475,SRR594476,SRR594481,SRR594490,SRR594491,SRR636934,SRR636935	16,1,13,5,60,2,1,2,2	0,0,0,0,0,0,0,0,0	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255310	55096656	55097275	2	466	1085	55096656	55097275	0	2	18
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255310	55096656	55097275	2	466	1085	55096656	55097275	0	2	55097276	55101155	1	1	1	0	1.0	1	SRR594481	1	0															18
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255310	55096656	55097275	2	466	1085	55096656	55097275	0	2	55097276	55101774	1	1	214	1	13.375	16	SRR594473,SRR594474,SRR594475,SRR594476,SRR594481,SRR594484,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594499,SRR636890,SRR636934,SRR636935	18,2,15,4,109,3,1,2,19,3,1,7,11,1,11,7	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255309	55101775	55101889	3	1086	1200	55101775	55101889	2	0	18
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255309	55101775	55101889	3	1086	1200	55101775	55101889	2	0	55101890	55102283	1	1	249	1	15.5625	16	SRR594473,SRR594474,SRR594475,SRR594476,SRR594481,SRR594484,SRR594485,SRR594488,SRR594489,SRR594490,SRR594491,SRR594493,SRR594499,SRR636890,SRR636934,SRR636935	16,5,27,2,135,4,2,1,1,25,2,5,11,1,11,1	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255307	55102284	55102495	4	1201	1412	55102284	55102495	0	2	18
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255309	55101775	55101889	3	1086	1200	55101775	55101889	2	0	55101890	55102355	1	1	4	0	2.0	2	SRR594481,SRR594490	2,2	0,0															18
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255307	55102284	55102495	4	1201	1412	55102284	55102495	0	2	55102496	55102764	1	1	353	0	25.214285714285715	14	SRR594473,SRR594474,SRR594475,SRR594476,SRR594478,SRR594481,SRR594482,SRR594490,SRR594491,SRR594493,SRR594497,SRR594499,SRR636934,SRR636935	37,5,25,1,1,133,1,104,1,8,3,11,12,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255306	55102765	55102933	5	1413	1581	55102765	55102933	2	0	18
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255306	55102765	55102933	5	1413	1581	55102765	55102933	2	0	55102934	55103486	1	1	377	0	23.5625	16	SRR594473,SRR594474,SRR594475,SRR594476,SRR594481,SRR594482,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594497,SRR594499,SRR636934,SRR636935	40,10,24,8,172,1,2,45,4,1,11,1,5,25,19,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000449826	55103487	55103640	6	1582	1735	55103487	55103640	0	1	18
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000449826	55103487	55103640	6	1582	1735	55103487	55103640	0	1	55103641	55103728	1	1	1	0	1.0	1	SRR594481	1	0															18
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000449826	55103487	55103640	6	1582	1735	55103487	55103640	0	1	55103641	55106038	1	1	341	0	18.944444444444443	18	SRR594473,SRR594474,SRR594475,SRR594476,SRR594478,SRR594480,SRR594481,SRR594482,SRR594490,SRR594491,SRR594492,SRR594493,SRR594496,SRR594498,SRR594499,SRR636890,SRR636934,SRR636935	35,5,27,5,1,2,186,1,31,2,1,1,2,1,18,1,15,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255304	55106039	55106164	7	1736	1861	55106039	55106164	1	1	18
bos_taurus	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255304	55106039	55106164	7	1736	1861	55106039	55106164	1	1	55106165	55106365	1	1	242	0	14.235294117647058	17	SRR594473,SRR594474,SRR594475,SRR594476,SRR594480,SRR594481,SRR594482,SRR594485,SRR594489,SRR594490,SRR594491,SRR594493,SRR594496,SRR594499,SRR636890,SRR636934,SRR636935	22,3,25,1,1,110,3,1,2,34,3,1,1,7,1,17,10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000023369	ENSBTAT00000042550	ENSBTAP00000040185	1	ENSBTAE00000255303	55106366	55106595	8	1862	2091	55106366	55106595	1	0	18
