Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p
bos_taurus	ENSBTAG00000016457	ENSBTAT00000021880	ENSBTAE00000526761	ENSBTAE00000467330_SE_19/ENSBTAE00000526761_SE_19	16_2	86098598	86098564	1																	
bos_taurus	ENSBTAG00000016457	ENSBTAT00000021880	ENSBTAE00000488472	ENSBTAE00000178707_SE_5/ENSBTAE00000488472_SE_5	2_2	86055402	86055214	1																	
bos_taurus	ENSBTAG00000016457							1												ENSBTAT00000021880	ENSBTAE00000511366	ENSBTAE00000511366_SE_8	3_2	86060348	86060278
bos_taurus	ENSBTAG00000016457							1												ENSBTAT00000021880	ENSBTAE00000497238	ENSBTAE00000497238_SE_0/ENSBTAE00000510096_SE_0	5_2	86048195	86048042
danio_rerio	ENSDARG00000022968	ENSDART00000104478	ENSDARE00000487131	ENSDARE00000487131_SE_14	16_1	37561814	37561797	22																	
danio_rerio	ENSDARG00000022968	ENSDART00000104478	ENSDARE00000487128	ENSDARE00000487128_SE_13	11_0	37561681	37561588	22																	
danio_rerio	ENSDARG00000022968	ENSDART00000104478	ENSDARE00000487124	ENSDARE00000487124_SE_12	12_0	37560258	37560202	22																	
danio_rerio	ENSDARG00000022968	ENSDART00000104478	ENSDARE00000487122	ENSDARE00000487122_SE_11	6_0	37559644	37559496	22																	
danio_rerio	ENSDARG00000022968	ENSDART00000104478	ENSDARE00000487120	ENSDARE00000487120_SE_10	10_0	37558433	37558340	22																	
danio_rerio	ENSDARG00000022968	ENSDART00000104478	ENSDARE00000487116	ENSDARE00000487116_SE_9	8_0	37558257	37558141	22																	
danio_rerio	ENSDARG00000022968	ENSDART00000104478	ENSDARE00000487114	ENSDARE00000487114_SE_8	4_0	37557602	37557432	22																	
