Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000438064	22100371	22100547	28	2891	3067	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000443277	22102486	22102592	27	2784	2890	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000438064	22100371	22100547	28	2891	3067	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000443277	22102486	22102592	26	2657	2763	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000438064	22100371	22100547	28	2891	3067	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000443277	22102486	22102592	25	2543	2649	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000438064	22100371	22100547	28	2891	3067	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000443277	22102486	22102592	25	2516	2622	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000438064	22100371	22100547	27	2764	2940	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000443277	22102486	22102592	27	2784	2890	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000438064	22100371	22100547	27	2764	2940	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000443277	22102486	22102592	26	2657	2763	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000438064	22100371	22100547	27	2764	2940	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000443277	22102486	22102592	25	2543	2649	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000438064	22100371	22100547	27	2764	2940	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000443277	22102486	22102592	25	2516	2622	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000438064	22100371	22100547	26	2650	2826	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000443277	22102486	22102592	27	2784	2890	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000438064	22100371	22100547	26	2650	2826	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000443277	22102486	22102592	26	2657	2763	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000438064	22100371	22100547	26	2650	2826	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000443277	22102486	22102592	25	2543	2649	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000438064	22100371	22100547	26	2650	2826	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000443277	22102486	22102592	25	2516	2622	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000438064	22100371	22100547	26	2623	2799	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000443277	22102486	22102592	27	2784	2890	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000438064	22100371	22100547	26	2623	2799	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000443277	22102486	22102592	26	2657	2763	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000438064	22100371	22100547	26	2623	2799	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000443277	22102486	22102592	25	2543	2649	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000438064	22100371	22100547	26	2623	2799	22100371	22100547	0	0	22100548	22102485	2	2	1381	4	47.62068965517241	29	SRR594473,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594484,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	256,413,21,32,108,20,10,67,36,78,1,40,1,8,16,46,1,99,1,13,1,12,14,8,5,3,2,29,40	1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000443277	22102486	22102592	25	2516	2622	22102486	22102592	1	0	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000443277	22102486	22102592	27	2784	2890	22102486	22102592	1	0	22102593	22103025	2	2	3	0	3.0	1	SRR594473	3	0															13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000443277	22102486	22102592	26	2657	2763	22102486	22102592	1	0	22102593	22103025	2	2	3	0	3.0	1	SRR594473	3	0															13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000443277	22102486	22102592	25	2543	2649	22102486	22102592	1	0	22102593	22103025	2	2	3	0	3.0	1	SRR594473	3	0															13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000443277	22102486	22102592	25	2516	2622	22102486	22102592	1	0	22102593	22103025	2	2	3	0	3.0	1	SRR594473	3	0															13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000443277	22102486	22102592	27	2784	2890	22102486	22102592	1	0	22102593	22124100	2	2	24	0	24.0	1	SRR594481	24	0															13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000443277	22102486	22102592	26	2657	2763	22102486	22102592	1	0	22102593	22124100	2	2	24	0	24.0	1	SRR594481	24	0															13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000085898	ENSBTAP00000060598	-1	ENSBTAE00000443277	22102486	22102592	25	2543	2649	22102486	22102592	1	0	22102593	22124100	2	2	24	0	24.0	1	SRR594481	24	0															13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000075769	ENSBTAP00000068202	-1	ENSBTAE00000443277	22102486	22102592	25	2516	2622	22102486	22102592	1	0	22102593	22124100	2	2	24	0	24.0	1	SRR594481	24	0															13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000443277	22102486	22102592	27	2784	2890	22102486	22102592	1	0	22102593	22127645	2	2	423	0	141.0	3	SRR594475,SRR594484,SRR594493	370,17,36	0,0,0	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000477785	22127646	22127795	26	2634	2783	22127646	22127795	1	1	13
bos_taurus	ENSBTAG00000013339	ENSBTAT00000061339	ENSBTAP00000053811	-1	ENSBTAE00000443277	22102486	22102592	27	2784	2890	22102486	22102592	1	0	22102593	22127645	2	2	423	0	141.0	3	SRR594475,SRR594484,SRR594493	370,17,36	0,0,0	ENSBTAG00000013339	ENSBTAT00000067562	ENSBTAP00000060461	-1	ENSBTAE00000477785	22127646	22127795	25	2507	2656	22127646	22127795	1	1	13
