Species	GeneID	TranscriptIDCluster_5p	ExonIDCluster_5p	SubexonIDCluster_5p	S_exonID_5p	S_exon_CodingStart_5p	S_exon_CodingEnd_5p	chr	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	TranscriptIDCluster_3p	ExonIDCluster_3p	SubexonIDCluster_3p	S_exonID_3p	S_exon_CodingStart_3p	S_exon_CodingEnd_3p	n_total_uq	n_total_mm
bos_taurus	ENSBTAG00000011424	ENSBTAT00000015186	ENSBTAE00000343332/ENSBTAE00000486886	ENSBTAE00000343332_SE_9	4_0	59863771.0	59863658.0	8																		0.0	0.0
bos_taurus	ENSBTAG00000011424	ENSBTAT00000046179	ENSBTAE00000343332/ENSBTAE00000486886	ENSBTAE00000343332_SE_9	4_0	59863771.0	59863658.0	8																		0.0	0.0
bos_taurus	ENSBTAG00000011424							8												ENSBTAT00000015186	ENSBTAE00000286906/ENSBTAE00000494101	ENSBTAE00000286906_SE_0	10_0	59857751.0	59857669.0	0.0	0.0
bos_taurus	ENSBTAG00000011424							8												ENSBTAT00000046179	ENSBTAE00000286906/ENSBTAE00000494101	ENSBTAE00000286906_SE_0	10_0	59857751.0	59857669.0	0.0	0.0
danio_rerio	ENSDARG00000104682	ENSDART00000158994	ENSDARE00001287996	ENSDARE00000895826_SE_0/ENSDARE00001287996_SE_0	4_0	6318348.0	6318461.0	10																		0.0	0.0
danio_rerio	ENSDARG00000104682	ENSDART00000158994	ENSDARE00001203924	ENSDARE00001203924_SE_1	6_0	6328606.0	6328731.0	10																		0.0	0.0
danio_rerio	ENSDARG00000104682	ENSDART00000162428	ENSDARE00001203924	ENSDARE00001203924_SE_1	6_0	6328606.0	6328731.0	10																		0.0	0.0
danio_rerio	ENSDARG00000104682	ENSDART00000170872	ENSDARE00001203924	ENSDARE00001203924_SE_1	6_0	6328606.0	6328731.0	10																		0.0	0.0
danio_rerio	ENSDARG00000104682	ENSDART00000158994	ENSDARE00001194531	ENSDARE00001194531_SE_3	3_0	6346659.0	6346792.0	10																		0.0	0.0
danio_rerio	ENSDARG00000104682	ENSDART00000162428	ENSDARE00001194531	ENSDARE00001194531_SE_3	3_0	6346659.0	6346792.0	10																		0.0	0.0
