Species	GeneID_5p	TranscriptID_5p	ProteinID_5p	Strand_5p	ExonID_5p	ExonRegionStart_5p	ExonRegionEnd_5p	ExonRank_5p	cDNA_CodingStart_5p	cDNA_CodingEnd_5p	GenomicCodingStart_5p	GenomicCodingEnd_5p	StartPhase_5p	EndPhase_5p	start	end	strand	motif	total_uq	total_mm	ave_uq	num_exp	name_exp	uq_per_exp	mm_per_exp	GeneID_3p	TranscriptID_3p	ProteinID_3p	Strand_3p	ExonID_3p	ExonRegionStart_3p	ExonRegionEnd_3p	ExonRank_3p	cDNA_CodingStart_3p	cDNA_CodingEnd_3p	GenomicCodingStart_3p	GenomicCodingEnd_3p	StartPhase_3p	EndPhase_3p	chr
bos_taurus	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000015843	35592011	35595394	12	1585	1793	35595186	35595394	1	-1	35595395	35596188	2	2	1584	0	48.0	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	58,334,9,239,119,228,22,50,127,10,30,10,25,21,30,3,2,20,24,29,7,12,26,37,2,5,12,17,10,15,32,10,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000476656	35596189	35596320	11	1453	1584	35596189	35596320	1	1	24
bos_taurus	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000015843	35592011	35595394	12	1585	1793	35595186	35595394	1	-1	35595395	35596188	2	2	1584	0	48.0	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	58,334,9,239,119,228,22,50,127,10,30,10,25,21,30,3,2,20,24,29,7,12,26,37,2,5,12,17,10,15,32,10,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001523	ENSBTAT00000070883	ENSBTAP00000061363	-1	ENSBTAE00000476656	35596189	35596320	11	1373	1504	35596189	35596320	1	1	24
bos_taurus	ENSBTAG00000001523	ENSBTAT00000070883	ENSBTAP00000061363	-1	ENSBTAE00000495670	35594329	35595394	12	1505	1713	35595186	35595394	1	-1	35595395	35596188	2	2	1584	0	48.0	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	58,334,9,239,119,228,22,50,127,10,30,10,25,21,30,3,2,20,24,29,7,12,26,37,2,5,12,17,10,15,32,10,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000476656	35596189	35596320	11	1453	1584	35596189	35596320	1	1	24
bos_taurus	ENSBTAG00000001523	ENSBTAT00000070883	ENSBTAP00000061363	-1	ENSBTAE00000495670	35594329	35595394	12	1505	1713	35595186	35595394	1	-1	35595395	35596188	2	2	1584	0	48.0	33	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594484,SRR594485,SRR594486,SRR594487,SRR594488,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594497,SRR594498,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	58,334,9,239,119,228,22,50,127,10,30,10,25,21,30,3,2,20,24,29,7,12,26,37,2,5,12,17,10,15,32,10,9	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	ENSBTAG00000001523	ENSBTAT00000070883	ENSBTAP00000061363	-1	ENSBTAE00000476656	35596189	35596320	11	1373	1504	35596189	35596320	1	1	24
bos_taurus	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000015843	35592011	35595394	12	1585	1793	35595186	35595394	1	-1	35595395	35597570	2	2	1	0	1.0	1	SRR594478	1	0	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000015841	35597571	35597724	10	1299	1452	35597571	35597724	0	1	24
bos_taurus	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000015843	35592011	35595394	12	1585	1793	35595186	35595394	1	-1	35595395	35597570	2	2	1	0	1.0	1	SRR594478	1	0	ENSBTAG00000001523	ENSBTAT00000070883	ENSBTAP00000061363	-1	ENSBTAE00000015841	35597571	35597724	10	1219	1372	35597571	35597724	0	1	24
bos_taurus	ENSBTAG00000001523	ENSBTAT00000070883	ENSBTAP00000061363	-1	ENSBTAE00000495670	35594329	35595394	12	1505	1713	35595186	35595394	1	-1	35595395	35597570	2	2	1	0	1.0	1	SRR594478	1	0	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000015841	35597571	35597724	10	1299	1452	35597571	35597724	0	1	24
bos_taurus	ENSBTAG00000001523	ENSBTAT00000070883	ENSBTAP00000061363	-1	ENSBTAE00000495670	35594329	35595394	12	1505	1713	35595186	35595394	1	-1	35595395	35597570	2	2	1	0	1.0	1	SRR594478	1	0	ENSBTAG00000001523	ENSBTAT00000070883	ENSBTAP00000061363	-1	ENSBTAE00000015841	35597571	35597724	10	1219	1372	35597571	35597724	0	1	24
bos_taurus	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000476656	35596189	35596320	11	1453	1584	35596189	35596320	1	1	35596321	35597570	2	2	914	1	31.51724137931035	29	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	23,148,10,94,58,195,8,29,74,1,60,20,13,20,5,23,10,19,3,11,12,20,8,5,10,10,16,4,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000015841	35597571	35597724	10	1299	1452	35597571	35597724	0	1	24
bos_taurus	ENSBTAG00000001523	ENSBTAT00000001995	ENSBTAP00000001995	-1	ENSBTAE00000476656	35596189	35596320	11	1453	1584	35596189	35596320	1	1	35596321	35597570	2	2	914	1	31.51724137931035	29	SRR594473,SRR594474,SRR594475,SRR594476,SRR594477,SRR594478,SRR594479,SRR594480,SRR594481,SRR594482,SRR594483,SRR594485,SRR594486,SRR594487,SRR594489,SRR594490,SRR594491,SRR594492,SRR594493,SRR594494,SRR594495,SRR594496,SRR594499,SRR636839,SRR636840,SRR636889,SRR636890,SRR636934,SRR636935	23,148,10,94,58,195,8,29,74,1,60,20,13,20,5,23,10,19,3,11,12,20,8,5,10,10,16,4,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	ENSBTAG00000001523	ENSBTAT00000070883	ENSBTAP00000061363	-1	ENSBTAE00000015841	35597571	35597724	10	1219	1372	35597571	35597724	0	1	24
